"sample_id","geo_accession","tissue_from_sample_id","inferred_group_from_sample_id","total_estimated_counts","detected_genes_count_gt0","detected_genes_count_ge1","gene_level_TPM_sum","genes_with_TPM_gt0","effective_length_NA_n","effective_length_nonpositive_n","effective_length_median"
"GSM7140502_CON5_synovium","GSM7140502","synovium","Control_52W",12170230.764,16538,16532,973601.740262,16538,0,0,2014.14721161888
"GSM7140503_RECON1_synovium","GSM7140503","synovium","Reconstruction_52W",14094628.713,16784,16781,984855.826685,16784,0,0,2032.1966341482
"GSM7140504_RECON2_synovium","GSM7140504","synovium","Reconstruction_52W",17333103.416,16919,16913,976979.006371,16919,0,0,2038.82187739849
"GSM7140505_RECON3_synovium","GSM7140505","synovium","Reconstruction_52W",17336699.904,16681,16677,983562.087811,16681,0,0,2033.74177209975
"GSM7140506_RECON4_synovium","GSM7140506","synovium","Reconstruction_52W",16300659.472,16561,16558,980960.397098,16561,0,0,2042.54890538812
"GSM7140507_CON6_synovium","GSM7140507","synovium","Control_52W",16132991.143,17390,17383,978012.259285,17390,0,0,2095.8009900274
"GSM7140508_RECON5_synovium","GSM7140508","synovium","Reconstruction_52W",15637431.341,16424,16422,986033.348687,16424,0,0,2097.53852505833
"GSM7140509_RECON6_synovium","GSM7140509","synovium","Reconstruction_52W",8900906.406,16066,16064,984638.562524,16066,0,0,1854.64304908243
"GSM7140510_RECON7_synovium","GSM7140510","synovium","Reconstruction_52W",13919113.6,16006,16005,983773.525034,16006,0,0,2036.75502366842
"GSM7140511_CON7_synovium","GSM7140511","synovium","Control_52W",11920148.361,17215,17210,979716.821622,17215,0,0,2075.1615
"GSM7140512_RECON8_synovium","GSM7140512","synovium","Reconstruction_52W",15195224.629,17139,17136,983263.7635,17139,0,0,1951.32909485032
"GSM7140513_RECON9_synovium","GSM7140513","synovium","Reconstruction_52W",10735154.558,16596,16594,976122.315347,16596,0,0,2095.95851558923
"GSM7140514_RECON10_synovium","GSM7140514","synovium","Reconstruction_52W",14154126.179,16572,16568,984848.563827,16572,0,0,2001.16093651422
"GSM7140515_RECON11_synovium","GSM7140515","synovium","Reconstruction_52W",9371263.441,16219,16217,978270.325574,16219,0,0,2053.44782637952
"GSM7140516_CON8_synovium","GSM7140516","synovium","Control_52W",9996314.29,16810,16803,976774.548033,16810,0,0,2150.80078990739
"GSM7140517_RECON12_synovium","GSM7140517","synovium","Reconstruction_52W",12986421.667,16005,16004,989178.247004,16005,0,0,2009.72110323323
"GSM7140518_CON9_synovium","GSM7140518","synovium","Control_52W",12285504.182,17058,17054,975982.697107,17058,0,0,2064.55098580503
"GSM7140519_REPAIR1_synovium","GSM7140519","synovium","Repair_52W",13369016.349,16813,16811,979067.622161,16813,0,0,2023.61497805478
"GSM7140520_REPAIR2_synovium","GSM7140520","synovium","Repair_52W",11851722.766,16783,16778,980626.187479,16783,0,0,2057.81287673925
"GSM7140521_REPAIR3_synovium","GSM7140521","synovium","Repair_52W",12406428.096,16357,16356,974547.634847,16357,0,0,2058.66247086815
"GSM7140522_REPAIR4_synovium","GSM7140522","synovium","Repair_52W",15881638.024,16890,16889,978649.104196,16890,0,0,2078.61959450549
"GSM7140523_CON10_synovium","GSM7140523","synovium","Control_52W",13966920.588,16999,16997,973436.502033,16999,0,0,2066.69266229263
"GSM7140524_REPAIR5_synovium","GSM7140524","synovium","Repair_52W",12703186.47,16666,16663,985606.317764,16666,0,0,2102.099
"GSM7140525_REPAIR6_synovium","GSM7140525","synovium","Repair_52W",13666054.37,16198,16192,983184.198656,16198,0,0,2016.65429025785
"GSM7140526_REPAIR7_synovium","GSM7140526","synovium","Repair_52W",11246102.401,17117,17106,981139.558942,17117,0,0,1997.83863328507
"GSM7140527_CON11_synovium","GSM7140527","synovium","Control_52W",16354930.297,16694,16688,979477.617884,16694,0,0,2043.19005599228
"GSM7140528_REPAIR8_synovium","GSM7140528","synovium","Repair_52W",15172038.29,16745,16742,983094.583946,16745,0,0,2060.14178482381
"GSM7140529_REPAIR9_synovium","GSM7140529","synovium","Repair_52W",16703038.678,16788,16782,984412.129498,16788,0,0,2012.17647606133
"GSM7140530_REPAIR10_synovium","GSM7140530","synovium","Repair_52W",14824418.45,16580,16576,973187.293597,16580,0,0,1974.24595779577
"GSM7140531_REPAIR11_synovium","GSM7140531","synovium","Repair_52W",17197856.187,16962,16960,977270.680521,16962,0,0,2059.42103445127
"GSM7140532_CON12_synovium","GSM7140532","synovium","Control_52W",11603076.121,16604,16597,978679.596994,16604,0,0,2056.304
"GSM7140533_REPAIR12_synovium","GSM7140533","synovium","Repair_52W",13788693.661,16413,16405,978558.318249,16413,0,0,1864.1368002809
