"geo_accession","sample_id","label_from_sample_id","tissue_from_sample_id","inferred_group_from_sample_id","file_order_index","inventory_quant_path","inventory_tissue","inventory_group","matched_quant_inventory_by_GSM"
"GSM7140473","GSM7140473_REPAIR3_cartilage","REPAIR3_cartilage","cartilage","Repair_52W",36,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140473_REPAIR3_cartilage_quant.sf.txt.gz","cartilage","Repair_52W",TRUE
"GSM7140474","GSM7140474_REPAIR4_cartilage","REPAIR4_cartilage","cartilage","Repair_52W",37,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140474_REPAIR4_cartilage_quant.sf.txt.gz","cartilage","Repair_52W",TRUE
"GSM7140475","GSM7140475_CON10_cartilage","CON10_cartilage","cartilage","Control_52W",38,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140475_CON10_cartilage_quant.sf.txt.gz","cartilage","Control_52W",TRUE
"GSM7140476","GSM7140476_REPAIR5_cartilage","REPAIR5_cartilage","cartilage","Repair_52W",39,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140476_REPAIR5_cartilage_quant.sf.txt.gz","cartilage","Repair_52W",TRUE
"GSM7140477","GSM7140477_REPAIR6_cartilage","REPAIR6_cartilage","cartilage","Repair_52W",40,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140477_REPAIR6_cartilage_quant.sf.txt.gz","cartilage","Repair_52W",TRUE
"GSM7140478","GSM7140478_REPAIR7_cartilage","REPAIR7_cartilage","cartilage","Repair_52W",41,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140478_REPAIR7_cartilage_quant.sf.txt.gz","cartilage","Repair_52W",TRUE
"GSM7140479","GSM7140479_CON11_cartilage","CON11_cartilage","cartilage","Control_52W",42,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140479_CON11_cartilage_quant.sf.txt.gz","cartilage","Control_52W",TRUE
"GSM7140480","GSM7140480_REPAIR8_cartilage","REPAIR8_cartilage","cartilage","Repair_52W",43,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140480_REPAIR8_cartilage_quant.sf.txt.gz","cartilage","Repair_52W",TRUE
"GSM7140481","GSM7140481_REPAIR9_cartilage","REPAIR9_cartilage","cartilage","Repair_52W",44,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140481_REPAIR9_cartilage_quant.sf.txt.gz","cartilage","Repair_52W",TRUE
"GSM7140482","GSM7140482_REPAIR10_cartilage","REPAIR10_cartilage","cartilage","Repair_52W",45,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140482_REPAIR10_cartilage_quant.sf.txt.gz","cartilage","Repair_52W",TRUE
"GSM7140483","GSM7140483_REPAIR11_cartilage","REPAIR11_cartilage","cartilage","Repair_52W",46,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140483_REPAIR11_cartilage_quant.sf.txt.gz","cartilage","Repair_52W",TRUE
"GSM7140484","GSM7140484_CON12_cartilage","CON12_cartilage","cartilage","Control_52W",47,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140484_CON12_cartilage_quant.sf.txt.gz","cartilage","Control_52W",TRUE
"GSM7140485","GSM7140485_REPAIR12_cartilage","REPAIR12_cartilage","cartilage","Repair_52W",48,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140485_REPAIR12_cartilage_quant.sf.txt.gz","cartilage","Repair_52W",TRUE
"GSM7140486","GSM7140486_CON1_synovium","CON1_synovium","synovium","Control_52W",49,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140486_CON1_synovium_quant.sf.txt.gz","synovium","Control_52W",TRUE
"GSM7140487","GSM7140487_ACLT1_synovium","ACLT1_synovium","synovium","ACLT_alone_52W",50,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140487_ACLT1_synovium_quant.sf.txt.gz","synovium","ACLT_alone_52W",TRUE
"GSM7140488","GSM7140488_ACLT2_synovium","ACLT2_synovium","synovium","ACLT_alone_52W",51,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140488_ACLT2_synovium_quant.sf.txt.gz","synovium","ACLT_alone_52W",TRUE
"GSM7140489","GSM7140489_ACLT3_synovium","ACLT3_synovium","synovium","ACLT_alone_52W",52,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140489_ACLT3_synovium_quant.sf.txt.gz","synovium","ACLT_alone_52W",TRUE
"GSM7140490","GSM7140490_ACLT4_synovium","ACLT4_synovium","synovium","ACLT_alone_52W",53,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140490_ACLT4_synovium_quant.sf.txt.gz","synovium","ACLT_alone_52W",TRUE
"GSM7140491","GSM7140491_CON2_synovium","CON2_synovium","synovium","Control_52W",54,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140491_CON2_synovium_quant.sf.txt.gz","synovium","Control_52W",TRUE
