"sample_id","group","time_point","sample_number","strandSpecific","source_column","Assigned","Unassigned_Unmapped","Unassigned_Read_Type","Unassigned_Singleton","Unassigned_MappingQuality","Unassigned_Chimera","Unassigned_FragmentLength","Unassigned_Duplicate","Unassigned_MultiMapping","Unassigned_Secondary","Unassigned_NonSplit","Unassigned_NoFeatures","Unassigned_Overlapping_Length","Unassigned_Ambiguity","total_fragments_considered","assigned_fragments","unassigned_fragments","assignment_rate_pct","parse_status"
"CON5","Control","t0",5,2,"CON5.bam",9018916,4214857,0,349781,0,0,0,0,0,0,0,11656240,0,85680,25325474,9018916,16306558,35.6120323749913,"PASS"
"CON6","Control","t0",6,2,"CON6.bam",5493857,1303116,0,274230,0,0,0,0,0,0,0,6838939,0,38506,13948648,5493857,8454791,39.3863046798514,"PASS"
"INJS1","ACLT_1W","t7",1,2,"INJS1.bam",7356098,1838271,0,318222,0,0,0,0,0,0,0,8715906,0,54035,18282532,7356098,10926434,40.2356632002613,"PASS"
"INJS2","ACLT_1W","t7",2,2,"INJS2.bam",7011135,2080466,0,243640,0,0,0,0,0,0,0,8205930,0,53023,17594194,7011135,10583059,39.8491400060725,"PASS"
"INJS3","ACLT_1W","t7",3,2,"INJS3.bam",6350816,1037020,0,276866,0,0,0,0,0,0,0,7767899,0,47121,15479722,6350816,9128906,41.0266799365002,"PASS"
"INJS4","ACLT_1W","t7",4,2,"INJS4.bam",4669958,853056,0,250036,0,0,0,0,0,0,0,5589535,0,32651,11395236,4669958,6725278,40.9816698838006,"PASS"
"INJS5","ACLT_1W","t7",5,2,"INJS5.bam",6363541,1637447,0,285361,0,0,0,0,0,0,0,7615973,0,43061,15945383,6363541,9581842,39.9083609343219,"PASS"
"INJS6","ACLT_1W","t7",6,2,"INJS6.bam",3936646,844831,0,149413,0,0,0,0,0,0,0,4756920,0,26288,9714098,3936646,5777452,40.5250801464016,"PASS"
"INJL1","ACLT_4W","t28",1,2,"INJL1.bam",5123729,2192523,0,216604,0,0,0,0,0,0,0,6492081,0,46458,14071395,5123729,8947666,36.4123741818064,"PASS"
"INJL2","ACLT_4W","t28",2,2,"INJL2.bam",4916502,1194917,0,250261,0,0,0,0,0,0,0,5893370,0,32002,12287052,4916502,7370550,40.0136826962236,"PASS"
"INJL3","ACLT_4W","t28",3,2,"INJL3.bam",6342431,1169544,0,263729,0,0,0,0,0,0,0,7592283,0,42243,15410230,6342431,9067799,41.1572766921714,"PASS"
"INJL4","ACLT_4W","t28",4,2,"INJL4.bam",7118316,2180918,0,224276,0,0,0,0,0,0,0,8333400,0,46528,17903438,7118316,10785122,39.7594920037146,"PASS"
"INJL5","ACLT_4W","t28",5,2,"INJL5.bam",6130614,1711589,0,229120,0,0,0,0,0,0,0,7377577,0,42246,15491146,6130614,9360532,39.5749546224663,"PASS"
"INJL6","ACLT_4W","t28",6,2,"INJL6.bam",4975535,799370,0,246224,0,0,0,0,0,0,0,6171254,0,31595,12223978,4975535,7248443,40.7030755454566,"PASS"
