"timepoint","gene_symbol","logFC","P.Value","FDR","P.Value_raw","P.Value_for_rank","p_value_replaced_for_rank","rank_stat","rank_order"
"4W","Klf3",0.557342300177383,7.19741456931784e-05,0.00031539083861143,7.19741456931784e-05,7.19741456931784e-05,FALSE,4.14282348133617,1888
"4W","Stard3nl",0.517471028884571,7.21276937299222e-05,0.000315773719705678,7.21276937299222e-05,7.21276937299222e-05,FALSE,4.14189795407614,1889
"4W","C1ra",0.970007728281538,7.23940241240012e-05,0.000316645078955022,7.23940241240012e-05,7.23940241240012e-05,FALSE,4.14029728182887,1890
"4W","Tm4sf1",0.691019057000927,7.24151989730891e-05,0.000316645078955022,7.24151989730891e-05,7.24151989730891e-05,FALSE,4.14017027168432,1891
"4W","Mboat1",0.615292104775052,7.26101761250818e-05,0.000317303809953196,7.26101761250818e-05,7.26101761250818e-05,FALSE,4.13900250980583,1892
"4W","AI467606",0.84230238430789,7.2659389857969e-05,0.000317421979007228,7.2659389857969e-05,7.2659389857969e-05,FALSE,4.13870825335508,1893
"4W","Tmem200b",0.942088857426628,7.2794878130936e-05,0.000317607755305926,7.2794878130936e-05,7.2794878130936e-05,FALSE,4.13789917669966,1894
"4W","Cd109",1.03000630166486,7.28206932025513e-05,0.000317607755305926,7.28206932025513e-05,7.28206932025513e-05,FALSE,4.1377451911998,1895
"4W","Ift56",0.574751662305635,7.28350279875214e-05,0.000317607755305926,7.28350279875214e-05,7.28350279875214e-05,FALSE,4.13765970855646,1896
"4W","Cyba",0.684039657479954,7.30561684506487e-05,0.000318299461004258,7.30561684506487e-05,7.30561684506487e-05,FALSE,4.13634310880595,1897
"4W","Sgsm2",0.758926501321382,7.3060354069572e-05,0.000318299461004258,7.3060354069572e-05,7.3060354069572e-05,FALSE,4.13631822741443,1898
"4W","Arhgap30",0.791416632457781,7.32839676338611e-05,0.000318982450789406,7.32839676338611e-05,7.32839676338611e-05,FALSE,4.13499102576425,1899
"4W","Clec7a",1.00677591218008,7.36480088007847e-05,0.000319983275870117,7.36480088007847e-05,7.36480088007847e-05,FALSE,4.13283899055281,1900
"4W","Arhgap28",0.592826649773532,7.39201625730586e-05,0.000320970896996029,7.39201625730586e-05,7.39201625730586e-05,FALSE,4.13123708664043,1901
"4W","Add3",0.38505061408386,7.40231116185789e-05,0.000321223057269347,7.40231116185789e-05,7.40231116185789e-05,FALSE,4.13063266295375,1902
"4W","Nrxn2",0.850636327948285,7.46263253558167e-05,0.000323644493727316,7.46263253558167e-05,7.46263253558167e-05,FALSE,4.12710794276902,1903
"4W","Map3k3",0.274035098549642,7.47755061667218e-05,0.000324151520542904,7.47755061667218e-05,7.47755061667218e-05,FALSE,4.1262406384816,1904
"4W","Nagpa",0.505931201397143,7.47887263619428e-05,0.000324151520542904,7.47887263619428e-05,7.47887263619428e-05,FALSE,4.12616386266759,1905
"4W","Iglon5",1.11029703764343,7.48168755686862e-05,0.000324151520542904,7.48168755686862e-05,7.48168755686862e-05,FALSE,4.12600043235288,1906
"4W","Sema4f",1.47773139040734,7.48338066075928e-05,0.000324151520542904,7.48338066075928e-05,7.48338066075928e-05,FALSE,4.1259021627467,1907
"4W","Igf2bp2",0.914446601008939,7.49434983907017e-05,0.000324430336547108,7.49434983907017e-05,7.49434983907017e-05,FALSE,4.12526603773922,1908
"4W","Sec63",0.254546624359243,7.53042611316748e-05,0.000325598248976459,7.53042611316748e-05,7.53042611316748e-05,FALSE,4.1231804483197,1909
"4W","Col4a2",0.847852220456759,7.56040842042194e-05,0.000326401709730882,7.56040842042194e-05,7.56040842042194e-05,FALSE,4.12145474286593,1910
"4W","Sh3bp1",0.78311930605945,7.60950731551057e-05,0.000328224485474087,7.60950731551057e-05,7.60950731551057e-05,FALSE,4.11864346111139,1911
"4W","Clcf1",1.28497893146111,7.62698527090549e-05,0.000328879280536997,7.62698527090549e-05,7.62698527090549e-05,FALSE,4.11764709231204,1912
"4W","Zfp385c",1.13691944195599,7.63749212454938e-05,0.000329233174510837,7.63749212454938e-05,7.63749212454938e-05,FALSE,4.11704922457479,1913
"4W","Ccdc74a",1.03674178230309,7.64923553196248e-05,0.000329640144116722,7.64923553196248e-05,7.64923553196248e-05,FALSE,4.11638196626338,1914
"4W","Camkk1",1.20189183673905,7.65174636395574e-05,0.000329649115095969,7.65174636395574e-05,7.65174636395574e-05,FALSE,4.1162394341701,1915
"4W","Ralb",0.583522025083839,7.67204686580303e-05,0.000330225565035587,7.67204686580303e-05,7.67204686580303e-05,FALSE,4.11508875287891,1916
"4W","Il7r",1.2227547258409,7.69147445507286e-05,0.000330962273215579,7.69147445507286e-05,7.69147445507286e-05,FALSE,4.11399039799821,1917
"4W","P2ry6",0.858955037147514,7.73548477098874e-05,0.000332556156100525,7.73548477098874e-05,7.73548477098874e-05,FALSE,4.11151246454143,1918
"4W","Susd2",0.937434468942264,7.74314415373107e-05,0.00033278550496792,7.74314415373107e-05,7.74314415373107e-05,FALSE,4.11108265542235,1919
"4W","Hps1",0.854372358330824,7.75851959549588e-05,0.00033332324118621,7.75851959549588e-05,7.75851959549588e-05,FALSE,4.11022113864415,1920
"4W","Crlf3",0.416663617441652,7.76031267723973e-05,0.00033332324118621,7.76031267723973e-05,7.76031267723973e-05,FALSE,4.11012077986757,1921
"4W","Ret",0.889221018651369,7.76269515197471e-05,0.000333325566273755,7.76269515197471e-05,7.76269515197471e-05,FALSE,4.10998746863689,1922
"4W","Hdgfl3",0.520710514873422,7.77628146652126e-05,0.000333808832008151,7.77628146652126e-05,7.77628146652126e-05,FALSE,4.10922802828436,1923
"4W","Prelid1",0.657627548206424,7.78403581611938e-05,0.000334005691150652,7.78403581611938e-05,7.78403581611938e-05,FALSE,4.10879517444741,1924
"4W","Lrrc8a",0.550529626297521,7.82401938848947e-05,0.000334954131476122,7.82401938848947e-05,7.82401938848947e-05,FALSE,4.10657008200579,1925
"4W","Cfap251",0.660603045155144,7.83855309047754e-05,0.000335175406341925,7.83855309047754e-05,7.83855309047754e-05,FALSE,4.10576409583779,1926
"4W","Bin3",0.436455806113537,7.88804765249243e-05,0.000337191072538315,7.88804765249243e-05,7.88804765249243e-05,FALSE,4.1030304744421,1927
"4W","Trnp1",1.14028591740018,7.95421440999399e-05,0.000339613878596701,7.95421440999399e-05,7.95421440999399e-05,FALSE,4.09940270655821,1928
"4W","Hmox1",0.836405636462645,7.95798895353284e-05,0.00033967373243523,7.95798895353284e-05,7.95798895353284e-05,FALSE,4.09919666803244,1929
"4W","Clstn1",0.824617045802851,7.97290892569095e-05,0.000340107759774111,7.97290892569095e-05,7.97290892569095e-05,FALSE,4.09838319681167,1930
"4W","Itgax",1.15896696409126,7.98519246431543e-05,0.000340278382645838,7.98519246431543e-05,7.98519246431543e-05,FALSE,4.09771461175057,1931
"4W","Cd68",1.09599775637313,7.98641635715296e-05,0.000340278382645838,7.98641635715296e-05,7.98641635715296e-05,FALSE,4.09764805240608,1932
"4W","Tfec",1.12170084466583,8.02658842671182e-05,0.000341258839831838,8.02658842671182e-05,8.02658842671182e-05,FALSE,4.09546900544113,1933
"4W","Kif5a",0.984018359763451,8.05493677557738e-05,0.000342033793035939,8.05493677557738e-05,8.05493677557738e-05,FALSE,4.09393786407476,1934
"4W","Brd8",0.238595773142536,8.0753370211554e-05,0.000342639374021519,8.0753370211554e-05,8.0753370211554e-05,FALSE,4.09283934350166,1935
