"contrast","gene_id","gene_symbol","gene_symbol_original","identifier_source","logFC","PValue_original","PValue","FDR","rank_stat"
"ACLT_untreated_t7_vs_Control","ENSSSCG00000049125","ENSSSCG00000049125","ENSSSCG00000049125","pig_gene_symbol_from_DE_table",-0.123709695745646,0.391148290549318,0.391148290549318,0.500964061854445,-0.407658563427979
"ACLT_untreated_t7_vs_Control","ENSSSCG00000010073","CHCHD10","CHCHD10","pig_gene_symbol_from_DE_table",-0.182134957744207,0.390762621985287,0.390762621985287,0.500638290827973,-0.408086984978568
"ACLT_untreated_t7_vs_Control","ENSSSCG00000039472","SLC30A1","SLC30A1","pig_gene_symbol_from_DE_table",-0.140508740397537,0.390615711344349,0.390615711344349,0.500507149762704,-0.408250292505082
"ACLT_untreated_t7_vs_Control","ENSSSCG00000012836","AP2A2","AP2A2","pig_gene_symbol_from_DE_table",-0.135668340485124,0.390439846246912,0.390439846246912,0.500326850781697,-0.4084458669221
"ACLT_untreated_t7_vs_Control","ENSSSCG00000016827","BRIX1","BRIX1","pig_gene_symbol_from_DE_table",-0.0938799917853042,0.390257184247909,0.390257184247909,0.500194178050057,-0.408649093261049
"ACLT_untreated_t7_vs_Control","ENSSSCG00000006956","ZC3H3","ZC3H3","pig_gene_symbol_from_DE_table",-0.196063247912518,0.390145618922938,0.390145618922938,0.500174976952818,-0.408773265560635
"ACLT_untreated_t7_vs_Control","ENSSSCG00000046279","SAP25","SAP25","pig_gene_symbol_from_DE_table",-0.23243433625767,0.389831730809705,0.389831730809705,0.499817586218767,-0.409122813872309
"ACLT_untreated_t7_vs_Control","ENSSSCG00000000661","PHC1","PHC1","pig_gene_symbol_from_DE_table",-0.119478967281409,0.389821463892938,0.389821463892938,0.499817586218767,-0.409134251945874
"ACLT_untreated_t7_vs_Control","ENSSSCG00000010071","MMP11","MMP11","pig_gene_symbol_from_DE_table",-0.152797369520049,0.389622729656711,0.389622729656711,0.499774721629773,-0.409355715354655
"ACLT_untreated_t7_vs_Control","ENSSSCG00000028723","CCDC102A","CCDC102A","pig_gene_symbol_from_DE_table",-0.177969944908124,0.38928748412683,0.38928748412683,0.499389703612183,-0.409729558937969
"ACLT_untreated_t7_vs_Control","ENSSSCG00000011699","HPS3","HPS3","pig_gene_symbol_from_DE_table",-0.0992072506712676,0.388722807021538,0.388722807021538,0.498755225127337,-0.410359977832777
"ACLT_untreated_t7_vs_Control","ENSSSCG00000010271","PRF1","PRF1","pig_gene_symbol_from_DE_table",-0.287474259267932,0.388016023278272,0.388016023278272,0.497893261748976,-0.411150339669582
"ACLT_untreated_t7_vs_Control","ENSSSCG00000031580","LLPH","LLPH","pig_gene_symbol_from_DE_table",-0.110688263892074,0.387998003946744,0.387998003946744,0.497893261748976,-0.411170508625237
"ACLT_untreated_t7_vs_Control","ENSSSCG00000016986","CREBRF","CREBRF","pig_gene_symbol_from_DE_table",-0.295513799391271,0.387954383644344,0.387954383644344,0.497893261748976,-0.411219336509407
"ACLT_untreated_t7_vs_Control","ENSSSCG00000033260","TNNI2","TNNI2","pig_gene_symbol_from_DE_table",-0.619511777412752,0.387833466234733,0.387833466234733,0.497793644595451,-0.411354718274392
"ACLT_untreated_t7_vs_Control","ENSSSCG00000031533","ENSSSCG00000031533","ENSSSCG00000031533","pig_gene_symbol_from_DE_table",-0.203209397063882,0.387627894675162,0.387627894675162,0.497664425844451,-0.411584977576918
"ACLT_untreated_t7_vs_Control","ENSSSCG00000035253","MAFG","MAFG","pig_gene_symbol_from_DE_table",-0.21920756312989,0.387555293291469,0.387555293291469,0.497616101887007,-0.411666327071845
"ACLT_untreated_t7_vs_Control","ENSSSCG00000009557","PCID2","PCID2","pig_gene_symbol_from_DE_table",-0.0806752225499843,0.386917381659937,0.386917381659937,0.496886681689605,-0.412381759838237
"ACLT_untreated_t7_vs_Control","ENSSSCG00000021601","ZNF711","ZNF711","pig_gene_symbol_from_DE_table",-0.286939301523561,0.386661433674859,0.386661433674859,0.496602796020057,-0.412669143100101
"ACLT_untreated_t7_vs_Control","ENSSSCG00000002337","ZFYVE1","ZFYVE1","pig_gene_symbol_from_DE_table",-0.0955395555549093,0.386364231981919,0.386364231981919,0.496265870751616,-0.413003085599943
"ACLT_untreated_t7_vs_Control","ENSSSCG00000039896","TMEM38B","TMEM38B","pig_gene_symbol_from_DE_table",-0.172834971105479,0.38633622228166,0.38633622228166,0.496265870751616,-0.413034571172911
"ACLT_untreated_t7_vs_Control","ENSSSCG00000033669","RDH10","RDH10","pig_gene_symbol_from_DE_table",-0.148018915406638,0.385960341200261,0.385960341200261,0.495926111429387,-0.413457318340546
"ACLT_untreated_t7_vs_Control","ENSSSCG00000054974","ENSSSCG00000054974","ENSSSCG00000054974","pig_gene_symbol_from_DE_table",-0.172297270126176,0.385929032442231,0.385929032442231,0.495926111429387,-0.413492549349858
"ACLT_untreated_t7_vs_Control","ENSSSCG00000009866","ENSSSCG00000009866","ENSSSCG00000009866","pig_gene_symbol_from_DE_table",-0.361814321077487,0.385201821607204,0.385201821607204,0.495130274264909,-0.414311667777809
"ACLT_untreated_t7_vs_Control","ENSSSCG00000032151","CPZ","CPZ","pig_gene_symbol_from_DE_table",-0.255232690246999,0.384845193494712,0.384845193494712,0.494761235571334,-0.414713933170395
"ACLT_untreated_t7_vs_Control","ENSSSCG00000027189","PPP1R12C","PPP1R12C","pig_gene_symbol_from_DE_table",-0.162786448951743,0.384774712697134,0.384774712697134,0.494715310372024,-0.414793477426742
"ACLT_untreated_t7_vs_Control","ENSSSCG00000006294","NME7","NME7","pig_gene_symbol_from_DE_table",-0.19784611032203,0.384608223089848,0.384608223089848,0.494545924585582,-0.414981434594763
"ACLT_untreated_t7_vs_Control","ENSSSCG00000015476","CHI3L1","CHI3L1","pig_gene_symbol_from_DE_table",-0.686152395183247,0.383604832424333,0.383604832424333,0.49343403342933,-0.416115930484682
"ACLT_untreated_t7_vs_Control","ENSSSCG00000056541","PEX11B","PEX11B","pig_gene_symbol_from_DE_table",-0.0821469005219774,0.383488138911625,0.383488138911625,0.49332851420184,-0.416248064009373
"ACLT_untreated_t7_vs_Control","ENSSSCG00000001203","ZSCAN9","ZSCAN9","pig_gene_symbol_from_DE_table",-0.335174615678969,0.383114122315309,0.383114122315309,0.492936476488319,-0.416671838801137
"ACLT_untreated_t7_vs_Control","ENSSSCG00000004912","SEC11C","SEC11C","pig_gene_symbol_from_DE_table",-0.12996772206772,0.382579776194064,0.382579776194064,0.492293459413264,-0.417277991233609
"ACLT_untreated_t7_vs_Control","ENSSSCG00000023264","IDH1","IDH1","pig_gene_symbol_from_DE_table",-0.115039583560036,0.382394037253417,0.382394037253417,0.49209894504773,-0.41748888838372
"ACLT_untreated_t7_vs_Control","ENSSSCG00000011326","PTH1R","PTH1R","pig_gene_symbol_from_DE_table",-0.172151137573652,0.382305337956016,0.382305337956016,0.492073781436786,-0.417589638081788
"ACLT_untreated_t7_vs_Control","ENSSSCG00000002457","ITPK1","ITPK1","pig_gene_symbol_from_DE_table",-0.21182914458525,0.382270326755068,0.382270326755068,0.492073217030377,-0.417629412226033
"ACLT_untreated_t7_vs_Control","ENSSSCG00000011306","ZNF502","ZNF502","pig_gene_symbol_from_DE_table",-0.185944397307469,0.382242797814377,0.382242797814377,0.492073217030377,-0.417660688777489
"ACLT_untreated_t7_vs_Control","ENSSSCG00000048082","ENSSSCG00000048082","ENSSSCG00000048082","pig_gene_symbol_from_DE_table",-0.190116249780683,0.381648899802251,0.381648899802251,0.491451080329814,-0.418335985242295
"ACLT_untreated_t7_vs_Control","ENSSSCG00000005040","GNPNAT1","GNPNAT1","pig_gene_symbol_from_DE_table",-0.154971360502851,0.381598658456232,0.381598658456232,0.491430845621385,-0.418393160765846
"ACLT_untreated_t7_vs_Control","ENSSSCG00000008722","SH3TC1","SH3TC1","pig_gene_symbol_from_DE_table",-0.261851288334112,0.380950531033916,0.380950531033916,0.490684969068391,-0.419131416696722
"ACLT_untreated_t7_vs_Control","ENSSSCG00000039972","ENSSSCG00000039972","ENSSSCG00000039972","pig_gene_symbol_from_DE_table",-0.0893258885751847,0.380893463942342,0.380893463942342,0.490655866801643,-0.419196479683839
"ACLT_untreated_t7_vs_Control","ENSSSCG00000000031","MCAT","MCAT","pig_gene_symbol_from_DE_table",-0.157240955634024,0.380501070313284,0.380501070313284,0.490283517451472,-0.419644117262661
"ACLT_untreated_t7_vs_Control","ENSSSCG00000012920","CORO1B","CORO1B","pig_gene_symbol_from_DE_table",-0.128931522622952,0.380497150660741,0.380497150660741,0.490283517451472,-0.419648591079875
"ACLT_untreated_t7_vs_Control","ENSSSCG00000008892","ENSSSCG00000008892","ENSSSCG00000008892","pig_gene_symbol_from_DE_table",-0.240079774033402,0.380233037092283,0.380233037092283,0.490071250288369,-0.419950151532799
"ACLT_untreated_t7_vs_Control","ENSSSCG00000008137","LIMS1","LIMS1","pig_gene_symbol_from_DE_table",-0.0889588095514242,0.380121371176677,0.380121371176677,0.489971696790224,-0.420077712814184
"ACLT_untreated_t7_vs_Control","ENSSSCG00000035684","TMED10","TMED10","pig_gene_symbol_from_DE_table",-0.0868704097662428,0.380075410169336,0.380075410169336,0.489956825735003,-0.420130227143066
"ACLT_untreated_t7_vs_Control","ENSSSCG00000032242","HMGA1","HMGA1","pig_gene_symbol_from_DE_table",-0.202908476812631,0.379889549346377,0.379889549346377,0.489761590203531,-0.420342653598817
"ACLT_untreated_t7_vs_Control","ENSSSCG00000036766","SLC49A4","SLC49A4","pig_gene_symbol_from_DE_table",-0.114336003544951,0.378777007088227,0.378777007088227,0.488504271646134,-0.421616391859315
"ACLT_untreated_t7_vs_Control","ENSSSCG00000025406","PIK3C2A","PIK3C2A","pig_gene_symbol_from_DE_table",-0.179811695311115,0.378527184606309,0.378527184606309,0.488270565388942,-0.421902925409447
"ACLT_untreated_t7_vs_Control","ENSSSCG00000058931","DNAAF2","DNAAF2","pig_gene_symbol_from_DE_table",-0.118450146440998,0.378436677631291,0.378436677631291,0.488198063330569,-0.422006778927355
"ACLT_untreated_t7_vs_Control","ENSSSCG00000020945","SMDT1","SMDT1","pig_gene_symbol_from_DE_table",-0.144121473717626,0.37831986358607,0.37831986358607,0.48809160790614,-0.422140855589764
"ACLT_untreated_t7_vs_Control","ENSSSCG00000006039","LRP12","LRP12","pig_gene_symbol_from_DE_table",-0.158018090025685,0.378264865004508,0.378264865004508,0.48809160790614,-0.422203996120162
"ACLT_untreated_t7_vs_Control","ENSSSCG00000016119","ENSSSCG00000016119","ENSSSCG00000016119","pig_gene_symbol_from_DE_table",-0.256343180610703,0.378183428403092,0.378183428403092,0.48809160790614,-0.422297505397834
"ACLT_untreated_t7_vs_Control","ENSSSCG00000016649","ENSSSCG00000016649","ENSSSCG00000016649","pig_gene_symbol_from_DE_table",-0.263961456359668,0.377612977667974,0.377612977667974,0.48740051792403,-0.422953088439811
"ACLT_untreated_t7_vs_Control","ENSSSCG00000009807","RHOF","RHOF","pig_gene_symbol_from_DE_table",-0.203856100945597,0.377513651179856,0.377513651179856,0.487360707232916,-0.423067339333098
"ACLT_untreated_t7_vs_Control","ENSSSCG00000022742","PRDX6","PRDX6","pig_gene_symbol_from_DE_table",-0.144965751212538,0.377085864388322,0.377085864388322,0.48693410270911,-0.423559747449097
"ACLT_untreated_t7_vs_Control","ENSSSCG00000037744","ZNF483","ZNF483","pig_gene_symbol_from_DE_table",-0.220141997570129,0.377050589016206,0.377050589016206,0.48693410270911,-0.423600376434472
"ACLT_untreated_t7_vs_Control","ENSSSCG00000022507","POLR2H","POLR2H","pig_gene_symbol_from_DE_table",-0.129136065892101,0.377036664503172,0.377036664503172,0.48693410270911,-0.42361641526591
"ACLT_untreated_t7_vs_Control","ENSSSCG00000021333","PAK4","PAK4","pig_gene_symbol_from_DE_table",-0.179067530644644,0.376870124031336,0.376870124031336,0.486839033884372,-0.423808289407935
"ACLT_untreated_t7_vs_Control","ENSSSCG00000024351","MET","MET","pig_gene_symbol_from_DE_table",-0.278899198893075,0.376602743738154,0.376602743738154,0.48653779174232,-0.42411652025669
"ACLT_untreated_t7_vs_Control","ENSSSCG00000022656","SRFBP1","SRFBP1","pig_gene_symbol_from_DE_table",-0.123871347058289,0.375774816123321,0.375774816123321,0.485688608598186,-0.425072329039018
"ACLT_untreated_t7_vs_Control","ENSSSCG00000031269","LYRM4","LYRM4","pig_gene_symbol_from_DE_table",-0.175987689073079,0.375054071212107,0.375054071212107,0.484801071252558,-0.425906115909035
