"contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_size","leadingEdge_genes"
"ACLT_untreated_t28_vs_Control","HALLMARK_NOTCH_SIGNALING",0.578125,0.693774131274131,0.0646484568421928,-0.309017978970556,-0.937767881886839,32,12,"WNT5A;TCF7L2;PPARD;DTX2;CCND1;JAG1;FZD1;ST3GAL6;WNT2;LFNG;SKP1;FZD7"
"ACLT_untreated_t28_vs_Control","HALLMARK_OXIDATIVE_PHOSPHORYLATION",2.22077661531406e-05,0.000100955103920329,0.575610261071129,-0.427575866468721,-1.71671649018491,171,52,"ECH1;RETSAT;ALDH6A1;BCKDHA;ACAA1;ACO2;CYB5R3;NDUFV1;SDHA;ACAT1;IDH3G;POLR2F;TIMM13;NDUFS8;COX17;COX8A;SLC25A4;NQO2;NDUFC2;ETFB;NDUFS6;ACADSB;HSD17B10;SLC25A6;ACAA2;RHOT2;LDHB;CYB5A;COX4I1;TIMM50;POR;NDUFB7;PDK4;MDH1;CYC1;ECHS1;DECR1;ACADVL;SDHB;SURF1;PMPCA;MRPL11;TIMM10;UQCR10;TCIRG1;UQCR11;MFN2;SLC25A20;MAOB;SDHD;ATP5F1D;ATP6AP1"
"ACLT_untreated_t28_vs_Control","HALLMARK_P53_PATHWAY",0.432748538011696,0.569405971068021,0.0704500850658419,-0.250529783960018,-1.00364988931987,163,28,"CEBPA;COQ8A;RETSAT;SESN1;EPHX1;TXNIP;CD81;FDXR;PROCR;BAIAP2;H2AJ;CTSF;BTG2;JUN;RPL18;STOM;LDHB;ZNF365;CCND3;RAB40C;BTG1;ZBTB16;RXRA;WRAP73;ABHD4;KLF4;DDIT4;HRAS"
"ACLT_untreated_t28_vs_Control","HALLMARK_PANCREAS_BETA_CELLS",0.00520560578369129,0.0136989625886613,0.407017918923954,0.63465502009084,1.76249776249504,17,5,"DPP4;SRPRB;LMO2;AKT3;PAK3"
"ACLT_untreated_t28_vs_Control","HALLMARK_PEROXISOME",0.000560370718910437,0.00186790239636812,0.477270815362862,-0.475152237954776,-1.72816886102572,80,37,"ECH1;ALDH1A1;RETSAT;ABCD2;CAT;ACAA1;TSPO;RXRG;GSTK1;CRAT;ACOT8;EPHX2;SLC25A4;DHCR24;PEX11A;PEX14;CTBP1;SEMA3C;MLYCD;ELOVL5;PEX5;ABCD1;HRAS;ABCB9;HSD17B4;CNBP;SLC25A19;LONP2;PEX2;FIS1;ACSL1;PEX6;ISOC1;SOD1;DHRS3;DLG4;HSD11B2"
"ACLT_untreated_t28_vs_Control","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0267608673879128,0.0608201531543473,0.352487857583619,0.346744405148837,1.36890399603463,88,32,"CDK2;PRKCB;CDK1;E2F1;RALB;SMAD2;ACTR3;RIT1;HSP90B1;CALR;PTPN11;CLTC;PRKAR2A;UBE2N;EIF4E;GSK3B;MAPKAP1;YWHAB;MAPK1;PPP2R1B;CDK4;MAPK9;TNFRSF1A;STAT2;ACTR2;ARPC3;CSNK2B;MAPK8;PLA2G12A;IRAK4;PFN1;PDK1"
"ACLT_untreated_t28_vs_Control","HALLMARK_PROTEIN_SECRETION",8.64958069695534e-05,0.000360399195706473,0.538434096309916,0.472715406389914,1.85046172574243,85,29,"KIF1B;SEC24D;COPB2;LMAN1;SEC31A;AP1G1;GBF1;YKT6;ARCN1;ZW10;AP2B1;USO1;COPB1;CLTC;ARFGAP3;AP3B1;RAB14;MAPK1;TOM1L1;GOSR2;M6PR;OCRL;DOP1A;GALC;MON2;SEC22B;SNX2;TMX1;TMED2"
"ACLT_untreated_t28_vs_Control","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",0.136513157894737,0.25853889943074,0.152144922367565,-0.391198527843622,-1.25371494654116,41,17,"MGST1;CAT;GPX3;STK25;ERCC2;TXNRD2;HMOX2;LSP1;PFKP;PRDX6;NQO1;G6PD;SOD1;HHEX;FTL;FES;PTPA"
"ACLT_untreated_t28_vs_Control","HALLMARK_SPERMATOGENESIS",0.00258418277602075,0.00760053757653163,0.431707695803346,0.440673788139805,1.62083412351778,62,25,"EZH2;CCNB2;KIF2C;BUB1;NCAPH;TTK;NEK2;CDK1;IDE;CLVS1;TOPBP1;ZC3H14;CSNK2A2;DBF4;PIAS2;PRKAR2A;MAST2;AGFG1;STAM2;RFC4;SLC12A2;CHFR;SPATA6;PSMG1;TCP11"
"ACLT_untreated_t28_vs_Control","HALLMARK_TGF_BETA_SIGNALING",0.152454780361757,0.25853889943074,0.183023938384487,0.336598563002943,1.20930396618597,50,13,"RAB31;SMAD1;WWTR1;SLC20A1;HDAC1;SERPINE1;PMEPA1;TJP1;BMPR2;TGIF1;CDKN1C;KLF10;CTNNB1"
"ACLT_untreated_t28_vs_Control","HALLMARK_TNFA_SIGNALING_VIA_NFKB",0.888178913738019,0.925186368477103,0.0736212741014394,0.198532408875016,0.864545724442107,167,35,"TNC;RCAN1;PANX1;B4GALT1;DUSP5;B4GALT5;SGK1;TNFAIP6;BHLHE40;SOCS3;BTG3;NFKB1;IER3;MCL1;DRAM1;SERPINE1;PLAU;PMEPA1;IL6;CFLAR;CD44;FOSL1;TGIF1;KLF10;RNF19B;REL;PDLIM5;EFNA1;TRIB1;FOSL2;NFIL3;RELB;MAP3K8;TLR2;ATF3"
"ACLT_untreated_t28_vs_Control","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",8.24423435696993e-06,5.8887388264071e-05,0.593325476396405,0.4680054642738,1.88347183009972,103,42,"ALDH18A1;PDIA5;EIF2AK3;TARS1;SEC31A;KDELR3;SRPRA;WIPI1;SRPRB;EDEM1;SLC30A5;HSPA5;NOP56;HSP90B1;MTHFD2;CALR;DNAJC3;SHC1;EIF2S1;STC2;EIF4G1;XPOT;MTREX;NOLC1;IARS1;NPM1;HYOU1;EIF4A1;ASNS;FKBP14;EIF4E;ATF6;CEBPG;GOSR2;XBP1;BAG3;CNOT2;YWHAZ;PAIP1;ATF4;ATF3;DNAJB9"
"ACLT_untreated_t28_vs_Control","HALLMARK_UV_RESPONSE_DN",0.00370282749629443,0.0102856319341512,0.431707695803346,0.343947273987429,1.44003819121367,133,43,"RUNX1;SNAI2;ATP2B4;TFPI;SIPA1L1;ATP2C1;KCNMA1;SDC2;LTBP1;SYNJ2;BHLHE40;INPP4B;AKT3;NFKB1;AGGF1;BDNF;SFMBT1;DLG1;COL1A1;COL1A2;COL5A2;MAPK14;COL3A1;SERPINE1;ATRN;MAP1B;TJP1;RGS4;CDC42BPA;GJA1;VLDLR;SPOP;DDAH1;AMPH;MIOS;CDON;PTPRM;PIAS3;SCN8A;PRKCA;ANXA4;DLC1;PDLIM5"
"ACLT_untreated_t28_vs_Control","HALLMARK_UV_RESPONSE_UP",0.233480176211454,0.343353200310961,0.105125131597001,-0.284471868661593,-1.11374008237782,127,26,"TST;GRINA;NPTXR;ACAA1;GPX3;EPHX1;STK25;DGAT1;SLC25A4;CREG1;SIGMAR1;ALDOA;WIZ;AQP3;BTG2;IL6ST;PPIF;IGFBP2;FMO1;CCND3;SQSTM1;BTG1;NFKBIA;SHOX2;TUBA4A;NTRK3"
"ACLT_untreated_t28_vs_Control","HALLMARK_WNT_BETA_CATENIN_SIGNALING",0.58277027027027,0.693774131274131,0.0629394692018967,-0.296119074767682,-0.925582980636208,36,9,"RBPJ;HDAC11;AXIN1;WNT5B;PPARD;HDAC5;DVL2;NCOR2;FZD8"
"ACLT_untreated_t28_vs_Control","HALLMARK_XENOBIOTIC_METABOLISM",2.11705205037161e-05,0.000100955103920329,0.575610261071129,-0.445212351885195,-1.7607558661599,144,41,"PC;ECH1;FBP1;RETSAT;ABCD2;NDRG2;CAT;ACO2;ESR1;EPHX1;FAH;ADH1C;APOE;RBP4;PTGR1;PTGDS;FBLN1;JUP;COMT;SLC1A5;CSAD;ATOH8;PINK1;HACL1;GABARAPL1;DDAH2;MPP2;HSD11B1;PPARD;ASL;CES1;PGD;DHRS1;CYB5A;POR;PDK4;FMO1;MCCC2;ACOX3;PTGES;ELOVL5"
