"gene_id","logFC","AveExpr","t","P.Value","FDR","B","ENTREZID","SYMBOL","strict_DEG","direction","label_final","label_score"
"G10090_2572",1.26736079222307,7.33779387049403,8.83496245136697,3.30071941254577e-09,4.41073612201873e-08,11.0699792982098,"21813","Tgfbr2",TRUE,"Up","Tgfbr2",9.32205826949335
"G10090_31336",1.75919739773346,4.07283576853303,8.83493934850087,3.30088630192304e-09,4.41073612201873e-08,10.9833471189849,"269941","Chsy1",TRUE,"Up","Chsy1",12.9397569735816
"G10090_13943",-1.16593244978972,5.72458115244347,-8.83443184525649,3.30455456764064e-09,4.4115186956628e-08,10.9045051557867,"70152","Tmt1a",TRUE,"Down","Tmt1a",8.57591338771332
"G10090_30752",1.21067661061793,3.63818164732325,8.83038527957205,3.33395367133755e-09,4.44304727615743e-08,10.9904073919411,"72136","Chst14",TRUE,"Up","Chst14",8.90128072656166
"G10090_15968",0.757483286408176,5.01286041634443,8.83032671969568,3.33438108768994e-09,4.44304727615743e-08,10.8853867744922,"16543","Mdfic",FALSE,"Not_strict","Mdfic",5.56925880855689
"G10090_21205",1.28679717619123,3.21565672922408,8.82933995557978,3.34159174765833e-09,4.44851344192915e-08,11.0416214672854,"331026","Gmppb",TRUE,"Up","Gmppb",9.46025629738
"G10090_22225",-1.29740795580984,5.78349137939188,-8.82540695837535,3.37049122318473e-09,4.48281597537143e-08,10.8905885140207,"71795","Pitpnc1",TRUE,"Down","Pitpnc1",9.53393631098968
"G10090_28247",1.73632673018053,2.65478289530178,8.82395412999656,3.38123138289398e-09,4.49292500655486e-08,11.1094015528642,"217305","Cd300ld",TRUE,"Up","Cd300ld",12.7576100019624
"G10090_4198",0.956472116062705,3.63340984072294,8.82312666586465,3.3873641952331e-09,4.49689879387578e-08,10.9641317517809,"226422","Rab29",FALSE,"Not_strict","Rab29",7.02728374117879
"G10090_12918",-1.3970436424445,7.35664562150599,-8.82101946797406,3.403033518139e-09,4.51351368656972e-08,11.0265957197036,"68263","Pdhb",TRUE,"Down","Pdhb",10.2619634499978
"G10090_33142",-1.20380781467818,5.2011382194785,-8.8178795999288,3.42652017245832e-09,4.54045649889362e-08,10.8405579457032,"67866","Wfdc1",TRUE,"Down","Wfdc1",8.83944098124765
"G10090_15733",-0.660878585055073,3.77117608918768,-8.81409673728261,3.45503788032021e-09,4.57400990797989e-08,10.8971981399407,"71448","Tmem80",FALSE,"Not_strict","Tmem80",4.85065246660409
"G10090_17097",0.807117896184995,7.14583387815522,8.81011245586766,3.48533780995676e-09,4.60985853958329e-08,10.9895167968941,"15211","Hexa",FALSE,"Not_strict","Hexa",5.92126903115997
"G10090_18358",0.729654719916693,5.35959266799199,8.80828500786954,3.49932651210975e-09,4.6212373014094e-08,10.8415410055607,"11491","Adam17",FALSE,"Not_strict","Adam17",5.35219374988204
"G10090_22460",0.579656743037291,7.07514353401952,8.80814519018696,3.50039915780014e-09,4.6212373014094e-08,10.9753786253264,"68137","Kdelr1",FALSE,"Not_strict","Kdelr1",4.25192233048994
