"","M131L","M131R","M137L","M137R","M140L","M140R","M146L","M146R","M150L","M150R","M154L","M154R","M157L","M157R","M161L","M161R","M166L","M166R","M169L","M169R","M173L","M173R","M176L","M176R"
"G10090_15105",5.49070909814065,4.97793757305343,5.33958521578605,4.90319443273437,5.12144099107537,5.09703211192757,5.16353405948017,5.34856708703135,5.37601975296527,5.17934722231711,5.2273435192645,5.12172117000346,5.18314854234979,5.40323182590034,5.10115098177917,5.13526235553345,5.27112720946951,5.0936377676982,5.45433851371786,5.23323726973311,5.26021334400001,5.07923330831013,5.29795929104392,5.09232393252452
"G10090_20758",5.53169177284658,5.71589750638507,5.30604168181913,6.0866061094995,4.87116374955741,6.48532324270589,6.09041442825827,6.64772979051137,5.23794019445427,6.22368933197653,4.88817573370286,5.17389807456083,5.89797250649737,6.11647603196993,5.08285349733305,5.74966490420965,5.1408204224847,6.45796275742432,5.18895576509653,5.85360791342884,5.23978291499489,6.33889655421992,5.34202223298754,5.54704490420424
"G10090_560",5.69377169330467,5.77110730872863,5.85510660355972,5.27945505871206,6.51497651670603,5.58544797369811,5.72365617199515,5.38698551709957,6.37592376314238,5.60758686460276,6.32596979187182,6.23339507621113,5.46567754702255,5.8155740912905,6.14459947359011,5.78780360823427,5.89041362497865,5.34892327956179,5.63841593768289,5.75866463296249,6.0036906524373,5.55044246090991,5.76725012493133,5.6831974877921
"G10090_30794",5.38115856749698,6.07472942648739,4.85949095789402,6.55389984590977,4.55708449800173,6.17108065376002,5.78297446758125,6.17067071648037,4.65868786575801,5.87748656639636,4.05504534190504,4.65603172416782,5.76825274662216,6.09924594397928,5.26036891469421,5.87179987643,5.08227270723782,6.07557465613507,5.46459020770996,5.92702467085604,5.32676224252409,6.1315611304091,5.39947433860977,5.80439829840429
"G10090_11347",3.87286800747388,4.395019025979,3.88169413011132,4.59938397179159,4.03225676081983,4.42883455446404,3.79087760352035,4.49715600955283,3.82378265558141,4.49585222538473,4.10127717631352,4.27285136510783,3.99133750395195,4.25822739315813,4.19182719491533,4.55872212149825,4.46832430292146,4.56081662904906,4.50603614599846,4.62870274210442,4.19347302081924,4.41959498145029,4.44963502291505,4.59927273345747
"G10090_13106",3.60145068996068,3.61905930019693,3.77433672081483,4.26463353770857,3.42281632236358,3.8496884782848,3.48796450080827,3.66194019278717,3.56215507096187,3.40938293778486,3.53795315488055,3.62964372335072,3.43359050068188,3.42654974239277,3.47169914185213,3.442462489047,3.26584792178575,3.93574023602171,3.7347298064368,3.84945952592807,3.27009430242215,3.49663601721412,3.33774214284415,3.03814182359358
"G10090_4827",9.34775593864933,9.45081415329788,10.1006183167052,8.06903331347828,10.5078592836402,8.82805239183351,9.08457053423578,8.18087987672664,10.336312763712,9.00163582903569,10.4279605940625,10.7629075936851,8.47330313617965,9.18985522154425,9.59874637387303,9.55198926781142,10.4106529286207,8.12273427838314,10.2308698088722,9.70250938510085,10.2250691918012,8.75299973530876,10.2846707520579,10.4294686687599
"G10090_11961",4.89853331195553,5.27060180836547,5.24827781603196,5.3409697587047,5.09297916359974,4.9904762466219,4.98509062861544,5.11183837563088,5.50906465061651,5.29065803620113,5.3823505093795,5.43158957669726,5.20802674896619,5.2436158077603,5.1445165775505,5.20597295470284,5.51949463956717,5.10628855993555,5.54973353129312,5.24777551023219,5.40473513693498,5.2962822889301,5.3668875087444,5.28452404663955
"G10090_1339",5.74032930043034,5.35188671282158,5.70619018499032,5.13761646760084,6.19330893797327,5.22655048221678,5.36579693774596,5.23098701250026,6.07553253323418,5.16739383376602,5.92666433904558,5.76388048800663,4.72010157641973,5.3013776504229,5.46341570259318,5.44804744954975,5.58000165968733,5.23953542046061,5.85161333081921,5.49458412531575,5.6358311260976,4.96726584245628,5.27580902220553,5.33919277901511
"G10090_11506",2.2951758593848,2.43830498441493,2.36947289557882,3.02630719053364,2.54858417800922,1.22908599314681,2.4246656326347,2.33399415380418,3.48314291292407,2.88917055891823,2.1361148131805,2.64896582075234,3.30961142931435,3.0173684850638,2.56830092398557,2.27632746453719,2.76810716859529,2.89844799432617,3.53326512620765,1.36761760589005,2.96865091811006,2.54966391829485,2.71990439788567,2.55150360594229
