"panel","timepoint","gene_id","ENTREZID","SYMBOL","label_final","logFC","AveExpr","t","P.Value","FDR","B","strict_DEG","direction","label_score","neg_log10_FDR","DEG_class"
"Figure1E","4W","G10090_18418","320924","Ccbe1","Ccbe1",1.85346830518765,3.76205679690794,8.58946530106573,5.70755172001846e-09,2.01327870171073e-06,10.678416004724,TRUE,"Up",10.5575335861375,5.69609610080092,"Up strict"
"Figure1E","4W","G10090_21856","27999","Fam3c","Fam3c",0.646793992783637,4.48792401147838,8.58828153097715,5.72256908442209e-09,2.01327870171073e-06,10.6894190059532,FALSE,"Not_strict",3.68420074031633,5.69609610080092,"Not strict"
"Figure1E","4W","G10090_10334","13353","Dgcr6","Dgcr6",-0.61592107720938,4.66922856434309,-8.58564774328377,5.75612718761355e-09,2.01327870171073e-06,10.6808935382089,FALSE,"Not_strict",3.50834564629345,5.69609610080092,"Not strict"
"Figure1E","4W","G10090_29007","225845","Plaat3","Plaat3",-1.38649717353213,7.4893326089998,-8.58488477232944,5.76588619517602e-09,2.01327870171073e-06,10.6427090856,TRUE,"Down",7.89762114392788,5.69609610080092,"Down strict"
"Figure1E","4W","G10090_409","240725","Sulf1","Sulf1",1.57967392085124,5.57401541102357,8.57402830964396,5.90660460849351e-09,2.01330837083793e-06,10.6596124395682,TRUE,"Up",8.99796435113781,5.69608970077132,"Up strict"
"Figure1E","4W","G10090_26207","16164","Il13ra1","Il13ra1",1.82636614908288,4.96391508948097,8.54188178312356,6.34432386172429e-09,2.06520365149694e-06,10.5899500615122,TRUE,"Up",10.3829593444781,5.68503711574588,"Up strict"
"Figure1E","4W","G10090_16984","69104","Marchf5","Marchf5",-0.623513795973864,6.73976495900905,-8.54166608300851,6.34737082047119e-09,2.06520365149694e-06,10.5833734884934,FALSE,"Not_strict",3.54469907229103,5.68503711574588,"Not strict"
"Figure1E","4W","G10090_13645","54338","Slc23a2","Slc23a2",0.635959865620134,4.93536819991405,8.5209672695915,6.64686370147897e-09,2.11458890556384e-06,10.5409517202287,FALSE,"Not_strict",3.60892854270753,5.67477405069959,"Not strict"
"Figure1E","4W","G10090_19061","14609","Gja1","Gja1",1.61917406605256,6.12763259305572,8.49507354470186,7.0420600416437e-09,2.13848304914485e-06,10.4871580918389,TRUE,"Up",9.18054562625011,5.66989418786311,"Up strict"
"Figure1E","4W","G10090_21176","13713","Elk3","Elk3",1.05870311777735,5.79474235308142,8.47972615205248,7.28760477338748e-09,2.13848304914485e-06,10.4546432586695,TRUE,"Up",6.00273465415834,5.66989418786311,"Up strict"
"Figure1E","4W","G10090_51","11513","Adcy7","Adcy7",1.35649886675924,5.1349896288661,8.47735404268103,7.32633340633741e-09,2.13848304914485e-06,10.448693563565,TRUE,"Up",7.69120504048111,5.66989418786311,"Up strict"
"Figure1E","4W","G10090_4403","102657","Cd276","Cd276",2.05039783393413,4.74816422415178,8.45235728386052,7.74752464769633e-09,2.13848304914485e-06,10.3951187273959,TRUE,"Up",11.6255387614302,5.66989418786311,"Up strict"
"Figure1E","4W","G10090_11624","26922","Mecr","Mecr",-0.577909939913913,3.96308472574211,-8.45023123479003,7.78447629272383e-09,2.13848304914485e-06,10.3906526361559,FALSE,"Not_strict",3.27668820942622,5.66989418786311,"Not strict"
"Figure1E","4W","G10090_14777","67283","Slc25a19","Slc25a19",-0.742138382105907,5.06676335867542,-8.44903808572156,7.80529294124825e-09,2.13848304914485e-06,10.3809255514304,FALSE,"Not_strict",4.20784609929242,5.66989418786311,"Not strict"
"Figure1E","4W","G10090_23208","21857","Timp1","Timp1",3.5595849639152,5.01257095808847,8.44641937163943,7.85118173143272e-09,2.13848304914485e-06,10.3640354491653,TRUE,"Up",20.1824700981077,5.66989418786311,"Up strict"
"Figure1E","4W","G10090_33982","15473","Rida","Rida",-0.740596621314721,3.18473488351319,-8.44269132282645,7.91698809756055e-09,2.13848304914485e-06,10.3587259686327,FALSE,"Not_strict",4.19910447874339,5.66989418786311,"Not strict"
"Figure1E","4W","G10090_17317","66966","Trit1","Trit1",-0.508174748191729,3.18802925947028,-8.43310556734002,8.08880500118747e-09,2.14443208142592e-06,10.3388212918236,FALSE,"Not_strict",2.88068394666267,5.66868770420646,"Not strict"
"Figure1E","4W","G10090_16680","12394","Runx1","Runx1",2.30925915512754,4.42302541575824,8.4193143530399,8.34274221181459e-09,2.17153995462432e-06,10.3204191716219,TRUE,"Up",13.0778707490061,5.66323217555193,"Up strict"
"Figure1E","4W","G10090_4803","20768","Sephs2","Sephs2",-0.803807992028967,5.06266144488626,-8.4046258801308,8.62221298134011e-09,2.19235194857039e-06,10.2833079870863,FALSE,"Not_strict",4.54882154876892,5.65908972525493,"Not strict"
"Figure1E","4W","G10090_597","72179","Fbxl2","Fbxl2",1.84413148307834,2.07337566351413,8.3958973925313,8.79281993960972e-09,2.19235194857039e-06,10.0598436702688,TRUE,"Up",10.4361055279078,5.65908972525493,"Up strict"
"Figure1E","4W","G10090_30168","67442","Retsat","Retsat",-0.834847650395901,4.7780898170445,-8.3819581675311,9.07249409646029e-09,2.19235194857039e-06,10.2341678502156,FALSE,"Not_strict",4.72447776050866,5.65908972525493,"Not strict"
"Figure1E","4W","G10090_17528","67895","Ppa1","Ppa1",-0.798500442485396,5.96551393280829,-8.38027270704942,9.10692410923485e-09,2.19235194857039e-06,10.2364775012491,FALSE,"Not_strict",4.51878564968062,5.65908972525493,"Not strict"
"Figure1E","4W","G10090_10387","67451","Pkp2","Pkp2",-1.29710051559252,2.30651785782105,-8.36410340138942,9.44411834479113e-09,2.19235194857039e-06,10.0942230549304,TRUE,"Down",7.34040820041251,5.65908972525493,"Down strict"
"Figure1E","4W","G10090_16149","12321","Calu","Calu",0.937451980720986,8.46472318221844,8.36110838967446,9.50796939431757e-09,2.19235194857039e-06,10.0883006380332,FALSE,"Not_strict",5.30512487201801,5.65908972525493,"Not strict"
"Figure1E","4W","G10090_3785","93757","Immp2l","Immp2l",-1.22574504947699,1.84725150904446,-8.35893600744243,9.55455977457194e-09,2.19235194857039e-06,9.99274882421073,TRUE,"Down",6.93660121527732,5.65908972525493,"Down strict"
"Figure1E","4W","G10090_5060","21827","Thbs3","Thbs3",2.16236803261168,6.3959687333966,8.35214855265163,9.70164341847558e-09,2.19235194857039e-06,10.1717909472467,TRUE,"Up",12.2370347155725,5.65908972525493,"Up strict"
"Figure1E","4W","G10090_3548","217830","Dglucy","Dglucy",-0.834429850904823,4.59534895802114,-8.34132954378137,9.94091152187561e-09,2.19235194857039e-06,10.1459415465106,FALSE,"Not_strict",4.72211339570148,5.65908972525493,"Not strict"
"Figure1E","4W","G10090_11522","18007","Neo1","Neo1",0.644988477276687,6.00331745969982,8.34074105247507,9.95409867680046e-09,2.19235194857039e-06,10.1506725381706,FALSE,"Not_strict",3.65004766466432,5.65908972525493,"Not strict"
"Figure1E","4W","G10090_16467","100129","Gpr153","Gpr153",2.25273006799486,5.14803098368837,8.31914391070279,1.04506835314216e-08,2.19250322710708e-06,10.1040322611462,TRUE,"Up",12.7483340750731,5.65905975873101,"Up strict"
"Figure1E","4W","G10090_10005","12896","Cpt2","Cpt2",-0.835593342888006,5.99640058973654,-8.31902553903955,1.04534742063168e-08,2.19250322710708e-06,10.1020282878025,FALSE,"Not_strict",4.72867266140104,5.65905975873101,"Not strict"
"Figure1E","4W","G10090_10316","66659","Acp6","Acp6",-0.869886012962738,4.53363967365608,-8.31574572870972,1.05311023576256e-08,2.19250322710708e-06,10.0901186697701,FALSE,"Not_strict",4.9227369306404,5.65905975873101,"Not strict"
"Figure1E","4W","G10090_2875","66148","Dnajc15","Dnajc15",-1.07498309709321,5.19389919519458,-8.30812585486105,1.07137450724592e-08,2.19250322710708e-06,10.0712139719323,TRUE,"Down",6.08339358607623,5.65905975873101,"Down strict"
"Figure1E","4W","G10090_14937","12036","Bcat2","Bcat2",-0.878282336997526,6.07589384604285,-8.30784501888091,1.07205382716887e-08,2.19250322710708e-06,10.078090129281,FALSE,"Not_strict",4.97025223010693,5.65905975873101,"Not strict"
"Figure1E","4W","G10090_12650","77889","Lbh","Lbh",1.36150277165211,5.16924802320343,8.28137443459021,1.13810994590919e-08,2.27247783624488e-06,10.0180659994157,TRUE,"Up",7.68364135992063,5.6435003438127,"Up strict"
"Figure1E","4W","G10090_1146","225207","Zfp521","Zfp521",0.770969675956467,5.31114393798492,8.27399975541972,1.1572467626352e-08,2.27247783624488e-06,9.99846537404502,FALSE,"Not_strict",4.35096763132949,5.6435003438127,"Not strict"
"Figure1E","4W","G10090_31148","13051","Cx3cr1","Cx3cr1",2.33967736773023,3.32511604849221,8.25508795611503,1.20784509975764e-08,2.27247783624488e-06,9.92449139419351,TRUE,"Up",13.2039700291963,5.6435003438127,"Up strict"
"Figure1E","4W","G10090_17165","14042","Ext1","Ext1",1.10557077904725,5.45807613847426,8.2524690088439,1.21502886802675e-08,2.27247783624488e-06,9.95349886254071,TRUE,"Up",6.23928907166245,5.6435003438127,"Up strict"
"Figure1E","4W","G10090_10080","67454","Ikbip","Ikbip",1.10127458137199,4.94715068190522,8.24854150025511,1.22588427212829e-08,2.27247783624488e-06,9.94382618105471,TRUE,"Up",6.21504347860499,5.6435003438127,"Up strict"
"Figure1E","4W","G10090_6988","212862","Chpt1","Chpt1",-1.136017380062,7.06525924382147,-8.24645812998307,1.23168292340172e-08,2.27247783624488e-06,9.93591506625972,TRUE,"Down",6.4111144749571,5.6435003438127,"Down strict"
"Figure1E","4W","G10090_25486","13874","Ereg","Ereg",3.298048994098,-1.07487734105866,8.24570020469978,1.23379943326502e-08,2.27247783624488e-06,7.94348717165843,TRUE,"Up",18.6125406321032,5.6435003438127,"Up strict"
"Figure1E","4W","G10090_4342","20502","Slc16a2","Slc16a2",1.91907268676837,5.3159616121375,8.24414714448309,1.23814802477718e-08,2.27247783624488e-06,9.93868056235974,TRUE,"Up",10.8302873675789,5.6435003438127,"Up strict"
"Figure1E","4W","G10090_14112","217707","Coq6","Coq6",-0.669978479125304,4.01760087633705,-8.23273859567349,1.27057794993766e-08,2.3024802444693e-06,9.91240342515189,FALSE,"Not_strict",3.77720740808869,5.63780408740898,"Not strict"
"Figure1E","4W","G10090_13332","17965","Nbl1","Nbl1",1.84625104055734,7.85120328071606,8.2127713670371,1.32944972016719e-08,2.3790502742392e-06,9.81626413130089,TRUE,"Up",10.3825706688544,5.62359638032761,"Up strict"
"Figure1E","4W","G10090_12589","66500","Slc30a7","Slc30a7",0.921085751316869,4.44617383178716,8.15948831371262,1.5006380148643e-08,2.65223874330831e-06,9.74783787071618,FALSE,"Not_strict",5.13633096429049,5.57638738515617,"Not strict"
"Figure1E","4W","G10090_19511","14368","Fzd6","Fzd6",1.16606881688497,3.90124644248252,8.15169435673298,1.52751082782552e-08,2.66681036721344e-06,9.73504029535024,TRUE,"Up",6.49967675671082,5.57400786522533,"Up strict"
"Figure1E","4W","G10090_2302","75605","Kdm5b","Kdm5b",0.690473163485938,4.47007719529032,8.14502251179389,1.55090660109083e-08,2.67503360255619e-06,9.71396762700626,FALSE,"Not_strict",3.84777960747898,5.57267075819861,"Not strict"
