"source_type","contrast_key","file","basename","score","valid_de_table"
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style/step22_current78_Figure4D_core_heatmap_zscore_matrix.csv","step22_current78_Figure4D_core_heatmap_zscore_matrix.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style_old/step22_current78_Figure4D_core_heatmap_zscore_matrix.csv","step22_current78_Figure4D_core_heatmap_zscore_matrix.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style/step22_current78_Figure4D_core_ortholog_gene_table.csv","step22_current78_Figure4D_core_ortholog_gene_table.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style_old/step22_current78_Figure4D_core_ortholog_gene_table.csv","step22_current78_Figure4D_core_ortholog_gene_table.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style/step22_current78_Figure4D_core_sample_annotation.csv","step22_current78_Figure4D_core_sample_annotation.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style_old/step22_current78_Figure4D_core_sample_annotation.csv","step22_current78_Figure4D_core_sample_annotation.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style/step22_current78_Figure4D_core_TMM_logCPM_matrix.csv","step22_current78_Figure4D_core_TMM_logCPM_matrix.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step22_current78_Figure4D_core_heatmap_step09_style/step22_current78_Figure4D_full_matrix_TMM_normalization_factors.csv","step22_current78_Figure4D_full_matrix_TMM_normalization_factors.csv",60,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step14_pig_early_index_bundle_files.csv","step14_pig_early_index_bundle_files.csv",30,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepBfix_parser_pig_early_strandness_recommended_mode.csv","stepBfix_parser_pig_early_strandness_recommended_mode.csv",30,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepBfix2_pig_early_bam_path_debug.csv","stepBfix2_pig_early_bam_path_debug.csv",30,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepBfix2_pig_early_strandness_recommended_mode.csv","stepBfix2_pig_early_strandness_recommended_mode.csv",30,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/stepBfix3_pig_early_strandness_recommended_mode.csv","stepBfix3_pig_early_strandness_recommended_mode.csv",30,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/step20_current78_pig_early_hallmark_gsea/step20_current78_fgsea_full_hallmark_t28_vs_Control.csv","step20_current78_fgsea_full_hallmark_t28_vs_Control.csv",15,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/pig_early_GSEA_software_and_geneset_version_record.csv","pig_early_GSEA_software_and_geneset_version_record.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/pig_early_GSEA_target_pathway_overlap_version_record.csv","pig_early_GSEA_target_pathway_overlap_version_record.csv",10,FALSE
"untrimmed","t7","E:/R/ACLsenescence2/rebuild_submission/02_pig_early/tables/Figure4_descriptive_score_GSEA_summary/pig_early_score_effect_size_median_difference.csv","pig_early_score_effect_size_median_difference.csv",10,FALSE
