"fastq_stub","sample_id","core_group","read_label","fastq_zip","module_name","status"
"INJL3_R1","INJL3","ACLT_untreated_t28","R1","INJL3_R1_fastqc.zip","Sequence Duplication Levels","FAIL"
"INJL3_R1","INJL3","ACLT_untreated_t28","R1","INJL3_R1_fastqc.zip","Overrepresented sequences","PASS"
"INJL4_R1","INJL4","ACLT_untreated_t28","R1","INJL4_R1_fastqc.zip","Per base sequence quality","PASS"
"INJL4_R1","INJL4","ACLT_untreated_t28","R1","INJL4_R1_fastqc.zip","Sequence Length Distribution","PASS"
"INJL4_R1","INJL4","ACLT_untreated_t28","R1","INJL4_R1_fastqc.zip","Per tile sequence quality","PASS"
"INJL4_R1","INJL4","ACLT_untreated_t28","R1","INJL4_R1_fastqc.zip","Per sequence GC content","PASS"
"INJL4_R1","INJL4","ACLT_untreated_t28","R1","INJL4_R1_fastqc.zip","Per base N content","PASS"
"INJL4_R1","INJL4","ACLT_untreated_t28","R1","INJL4_R1_fastqc.zip","Adapter Content","PASS"
"INJL4_R1","INJL4","ACLT_untreated_t28","R1","INJL4_R1_fastqc.zip","Basic Statistics","PASS"
"INJL4_R1","INJL4","ACLT_untreated_t28","R1","INJL4_R1_fastqc.zip","Per base sequence content","FAIL"
"INJL4_R1","INJL4","ACLT_untreated_t28","R1","INJL4_R1_fastqc.zip","Overrepresented sequences","WARN"
"INJL4_R1","INJL4","ACLT_untreated_t28","R1","INJL4_R1_fastqc.zip","Sequence Duplication Levels","FAIL"
"INJL4_R1","INJL4","ACLT_untreated_t28","R1","INJL4_R1_fastqc.zip","Per sequence quality scores","PASS"
"INJL5_R1","INJL5","ACLT_untreated_t28","R1","INJL5_R1_fastqc.zip","Sequence Length Distribution","PASS"
"INJL5_R1","INJL5","ACLT_untreated_t28","R1","INJL5_R1_fastqc.zip","Overrepresented sequences","WARN"
"INJL5_R1","INJL5","ACLT_untreated_t28","R1","INJL5_R1_fastqc.zip","Adapter Content","PASS"
"INJL5_R1","INJL5","ACLT_untreated_t28","R1","INJL5_R1_fastqc.zip","Per base sequence quality","PASS"
"INJL5_R1","INJL5","ACLT_untreated_t28","R1","INJL5_R1_fastqc.zip","Per tile sequence quality","PASS"
"INJL5_R1","INJL5","ACLT_untreated_t28","R1","INJL5_R1_fastqc.zip","Per sequence quality scores","PASS"
"INJL5_R1","INJL5","ACLT_untreated_t28","R1","INJL5_R1_fastqc.zip","Sequence Duplication Levels","FAIL"
"INJL5_R1","INJL5","ACLT_untreated_t28","R1","INJL5_R1_fastqc.zip","Per sequence GC content","PASS"
