"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category","mouse_symbol_for_gorth"
"G10090_11381",21789,"Tfpi2",2.28406505346789,6.2805862896119e-10,"Up",1.69471628102093,1.09258102548238e-05,"Up","Up","persistent_direction_consistent","Tfpi2"
"G10090_11399",52637,"Cisd1",-1.46243636331138,1.4067839097996e-06,"Down",-1.00919556794437,9.05505285246751e-05,"Down","Down","persistent_direction_consistent","Cisd1"
"G10090_1142",224024,"Scarf2",2.18023144526902,7.23212365803102e-09,"Up",1.29630356877994,1.88327430833776e-05,"Up","Up","persistent_direction_consistent","Scarf2"
"G10090_1144",20750,"Spp1",3.84023940209986,4.33276252981028e-07,"Up",4.31109567345059,3.64558618121398e-05,"Up","Up","persistent_direction_consistent","Spp1"
"G10090_11470",81799,"C1qtnf3",5.7382437077514,2.32796250861461e-11,"Up",3.17005620637254,1.78396343762142e-05,"Up","Up","persistent_direction_consistent","C1qtnf3"
"G10090_1148",229665,"Ampd1",-1.29458898727133,0.001078340880948,"Down",-1.18745796458343,0.000429047508345447,"Down","Down","persistent_direction_consistent","Ampd1"
"G10090_11496",56496,"Tspan6",2.07602842743245,1.33102680537543e-09,"Up",1.03934974628474,3.71445034617925e-05,"Up","Up","persistent_direction_consistent","Tspan6"
"G10090_11510",54637,"Praf2",1.60706554457458,4.28515649000822e-10,"Up",1.05782285693798,3.22867232427578e-05,"Up","Up","persistent_direction_consistent","Praf2"
"G10090_11520",12346,"Car1",-1.61258796232144,0.00220256660037081,"Down",-2.14438733313629,0.000237774122363927,"Down","Down","persistent_direction_consistent","Car1"
"G10090_11529",217219,"Fam171a2",1.80019778591349,1.60955028712678e-08,"Up",1.29788719022929,4.50509389457465e-05,"Up","Up","persistent_direction_consistent","Fam171a2"
"G10090_11535",74051,"Steap2",1.98595438381915,1.58266594178163e-08,"Up",2.42245829495795,1.23942656332583e-05,"Up","Up","persistent_direction_consistent","Steap2"
"G10090_11550",242702,"Myom3",-1.49436313048958,0.0189946368916669,"Down",-1.695701812791,0.0161822791710519,"Down","Down","persistent_direction_consistent","Myom3"
"G10090_11584",69585,"Hjv",-1.40260893783535,0.000207124851923854,"Down",-1.00169853183508,0.00057642983168957,"Down","Down","persistent_direction_consistent","Hjv"
"G10090_1166",242050,"Igsf10",2.46449637259919,1.9504992226847e-08,"Up",1.78832173233435,4.70582097693374e-06,"Up","Up","persistent_direction_consistent","Igsf10"
"G10090_1168",403183,"Mettl21e",-2.28042095719117,2.11010149627722e-06,"Down",-1.24119064691296,0.00547032492829449,"Down","Down","persistent_direction_consistent","Mettl21e"
"G10090_11694",68119,"Cmtm3",2.01933182182188,5.10331696807295e-10,"Up",1.20892266170337,1.88327430833776e-05,"Up","Up","persistent_direction_consistent","Cmtm3"
"G10090_11701",69165,"Cd209b",-1.49996248817517,1.18283529147909e-05,"Down",-1.88282253775907,9.06807744078361e-05,"Down","Down","persistent_direction_consistent","Cd209b"
"G10090_11719",270685,"Mthfd1l",1.50809481661222,9.25159250575921e-06,"Up",1.25216762346821,8.31459184879201e-05,"Up","Up","persistent_direction_consistent","Mthfd1l"
"G10090_11758",108000,"Cenpf",3.27693423810715,2.11536290633314e-08,"Up",1.55230777303594,0.000753212121820749,"Up","Up","persistent_direction_consistent","Cenpf"
"G10090_11759",18979,"Pon1",-2.80323280121436,7.72942555349528e-08,"Down",-1.47329552514875,0.000289578877749035,"Down","Down","persistent_direction_consistent","Pon1"
"G10090_11764",16950,"Loxl3",2.01748455396363,4.05410191740255e-09,"Up",1.35135639664927,4.8532505127253e-05,"Up","Up","persistent_direction_consistent","Loxl3"
"G10090_11769",93674,"Nat8f3",1.13419048695059,0.000124083033181173,"Up",1.53986704265743,0.000701730064900245,"Up","Up","persistent_direction_consistent","Nat8f3"
"G10090_11771",21960,"Tnr",2.7856465956591,4.40206547856075e-07,"Up",3.78136345099859,0.00313067566812119,"Up","Up","persistent_direction_consistent","Tnr"
"G10090_11775",68854,"Asb11",-1.72207129272408,4.52060064271274e-05,"Down",-1.05996560836139,0.00191127354263058,"Down","Down","persistent_direction_consistent","Asb11"
"G10090_11788",16571,"Kif4",3.14535312723805,1.98336556587054e-08,"Up",1.18665936367038,0.00454218843637925,"Up","Up","persistent_direction_consistent","Kif4"
"G10090_1188",67103,"Ptgr1",1.18792137303163,6.06849030808452e-07,"Up",1.07249887120952,2.29206937699329e-05,"Up","Up","persistent_direction_consistent","Ptgr1"
"G10090_11893",244745,"Dpy19l1",1.21862973310807,2.11876589298357e-08,"Up",1.00337360611079,2.84221623355617e-06,"Up","Up","persistent_direction_consistent","Dpy19l1"
"G10090_11913",66120,"Fkbp11",2.86831877556443,2.1508622109929e-10,"Up",1.36984295874502,8.95050778466835e-05,"Up","Up","persistent_direction_consistent","Fkbp11"
"G10090_11916",21838,"Thy1",1.3965784948575,6.80053353410774e-06,"Up",1.07302246229986,0.00041213557264051,"Up","Up","persistent_direction_consistent","Thy1"
"G10090_11940",74249,"Lrrc2",-1.54162271990345,2.82928642713675e-05,"Down",-1.09540972017289,0.00220957300985184,"Down","Down","persistent_direction_consistent","Lrrc2"
"G10090_11942",66180,"P3h4",1.64025446784215,6.51804233123431e-08,"Up",1.27449374841246,4.28255241686619e-05,"Up","Up","persistent_direction_consistent","P3h4"
"G10090_11966",78558,"Htra3",1.00673324788419,1.34614970251838e-06,"Up",1.23468210986579,1.50761152082353e-05,"Up","Up","persistent_direction_consistent","Htra3"
"G10090_11984",277353,"Tcfl5",2.58920130293194,2.03269114480734e-08,"Up",2.56081911660135,6.11636606093433e-05,"Up","Up","persistent_direction_consistent","Tcfl5"
