"human_symbol","CellAge_effect"
"KLF4","Induces"
"KNDC1","Induces"
"KRT19","Inhibits"
"KSR2","Unclear"
"LAMP2","Inhibits"
"LATS1","Inhibits"
"LATS2","Induces"
"LAYN","Induces"
"LBR","Inhibits"
"LCN2","Inhibits"
"LEO1","Unclear"
"LGALS3","Inhibits"
"LIMA1","Inhibits"
"LIMK1","Induces"
"LIN52","Unclear"
"LIN54","Inhibits"
"LIN9","Inhibits"
"LMNA","Unclear"
"LMNB1","Inhibits"
"LNCTAM34A","Inhibits"
"LOX","Inhibits"
"LOXL2","Inhibits"
"LPAR1","Induces"
"LPAR3","Inhibits"
"LRRK2","Unclear"
"LY6D","Induces"
"MAD1L1","Induces"
"MAD2L1","Inhibits"
"MAEL","Inhibits"
"MAF","Inhibits"
"MAGEA2","Inhibits"
"MAGOHB","Inhibits"
"MAP2K1","Induces"
"MAP2K2","Induces"
"MAP2K3","Inhibits"
"MAP2K6","Induces"
"MAP2K7","Induces"
"MAP3K14","Induces"
"MAP3K5","Induces"
"MAP3K6","Induces"
"MAP3K7","Induces"
"MAP4K1","Inhibits"
"MAPK1","Induces"
"MAPK12","Induces"
"MAPK14","Induces"
"MAPK9","Inhibits"
"MAPKAPK5","Induces"
"MARCHF5","Inhibits"
"MARCKS","Induces"
"MAST1","Induces"
"MATK","Induces"
"MAVS","Induces"
"MCAM","Inhibits"
"MCL1","Inhibits"
"MCM3AP","Inhibits"
"MCM7","Inhibits"
"MCRS1","Induces"
"MCU","Induces"
"MDC1","Inhibits"
"MDH1","Inhibits"
"MDK","Inhibits"
"MDM2","Inhibits"
"MDP1","Induces"
"ME1","Inhibits"
"ME2","Inhibits"
"MECP2","Inhibits"
"MED12","Inhibits"
"MEF2A","Inhibits"
"MEIS2","Inhibits"
"MEN1","Induces"
"MEOX1","Induces"
"MET","Inhibits"
"METTL14","Induces"
"MIF","Inhibits"
"MINK1","Induces"
"MITF","Unclear"
"MKRN1","Inhibits"
"MME","Induces"
"MMP7","Inhibits"
"MMP9","Inhibits"
"MNX1","Induces"
"MOB3A","Induces"
"MORC3","Induces"
"MORF4L1","Inhibits"
"MOS","Induces"
"MRTFA","Inhibits"
"MRTFB","Inhibits"
"MSN","Inhibits"
"MST1","Induces"
"MT1G","Induces"
"MTDH","Inhibits"
"MTHFD2","Inhibits"
"MTOR","Inhibits"
"MUC4","Inhibits"
"MUS81","Inhibits"
"MVK","Induces"
"MVP","Induces"
"MXD4","Induces"
"MYBBP1A","Inhibits"
"MYBL2","Inhibits"
"MYC","Inhibits"
"MYCN","Inhibits"
"MYD88","Inhibits"
"MYLK","Inhibits"
"NACC1","Inhibits"
"NADK","Induces"
"NAMPT","Inhibits"
"NANOG","Inhibits"
"NBN","Inhibits"
"NBR1","Inhibits"
"NCAPG2","Inhibits"
