"gene_id","mouse_symbol","source"
"G10090_11657","Tril","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_30436","Ctxn1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_4496","Kcp","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_10316","Acp6","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_2733","Hsdl2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_31209","Sdc1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_16413","Cdk4","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_2132","Epb41l3","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_10641","Arhgef25","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_14458","Blcap","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_14584","Ech1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_32047","Marcks","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_29768","Mgst3","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_23167","Adhfe1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_16608","Soat1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_8595","Fyb1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_4300","Vegfa","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_7181","Gpr88","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_19502","Fitm2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_1558","Sorbs1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_2913","Csgalnact1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_17113","Racgap1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_26636","Gstk1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_3932","Tubb6","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_12608","Sqor","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_26918","Ehhadh","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_41","Pcsk5","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_12588","Cdr2l","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_7035","Acox1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_2365","Tlr6","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_341","Emilin1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_19472","Tceal9","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_13991","Entpd6","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_21698","Ephb3","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_23416","Metrn","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_2911","H2bc6","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_26319","Mfap4","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_23398","Cd300c2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_5286","Igf2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_8582","B4galt1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_24600","Msrb2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_3298","Prxl2a","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_6317","Bnc2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_27730","Pnpo","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_15794","Clec4d","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_28186","Fcgr1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_17165","Ext1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_13732","Lpcat2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_6802","Runx1t1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_11510","Praf2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_5125","Cpz","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_29840","Foxm1","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
"G10090_33947","Col5a2","E:/R/ACLsenescence2/rebuild_submission/02_mouse_discovery/07_tables/step05_mouse_DE_volcano/step05_Figure1D_1W_volcano_source_data.csv"
