"Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","CellAge_human_symbol","CellAge_effect"
3265,"HRAS","HRas proto-oncogene, GTPase","No","Oncogene-induced","Induces",9054499,"HRAS","Induces"
9653,"HS2ST1","heparan sulfate 2-O-sulfotransferase 1","Yes","Stress-induced","Inhibits",26250908,"HS2ST1","Inhibits"
3297,"HSF1","heat shock transcription factor 1","No","Stress-induced","Inhibits",22510478,"HSF1","Inhibits"
3320,"HSP90AA1","heat shock protein 90 alpha family class A member 1","No","Oncogene-induced","Inhibits",27793846,"HSP90AA1","Inhibits"
3326,"HSP90AB1","heat shock protein 90 alpha family class B member 1","No","Oncogene-induced","Inhibits",27793846,"HSP90AB1","Inhibits"
3303,"HSPA1A","heat shock protein family A (Hsp70) member 1A","Yes","Unclear","Inhibits",17332370,"HSPA1A","Inhibits"
3306,"HSPA2","heat shock protein family A (Hsp70) member 2","Yes","Unclear","Inhibits",15741319,"HSPA2","Inhibits"
3309,"HSPA5","heat shock protein family A (Hsp70) member 5","Yes","Stress-induced","Inhibits",24756776,"HSPA5","Inhibits"
3313,"HSPA9","heat shock protein family A (Hsp70) member 9","Yes","Stress-induced","Induces",17306926,"HSPA9","Induces"
3315,"HSPB1","heat shock protein family B (small) member 1","No","Stress-induced","Inhibits",18089808,"HSPB1","Inhibits"
5654,"HTRA1","HtrA serine peptidase 1","Yes","Replicative","Induces",23623979,"HTRA1","Induces"
5654,"HTRA1","HtrA serine peptidase 1","Yes","Stress-induced","Induces",23623979,"HTRA1","Induces"
10525,"HYOU1","hypoxia up-regulated 1","No","Stress-induced","Inhibits",23757447,"HYOU1","Inhibits"
3397,"ID1","inhibitor of DNA binding 1, HLH protein","No","Replicative","Inhibits",12177246,"ID1","Inhibits"
3428,"IFI16","interferon gamma inducible protein 16","Yes","Replicative","Induces",12894224,"IFI16","Induces"
3458,"IFNG","interferon gamma","No","Unclear","Induces",19071156,"IFNG","Induces"
3484,"IGFBP1","insulin like growth factor binding protein 1","Yes","Unclear","Induces",22392074,"IGFBP1","Induces"
3486,"IGFBP3","insulin like growth factor binding protein 3","No","Stress-induced","Induces",18329388,"IGFBP3","Induces"
3488,"IGFBP5","insulin like growth factor binding protein 5","No","Replicative","Induces",17804819,"IGFBP5","Induces"
3490,"IGFBP7","insulin like growth factor binding protein 7","No","Oncogene-induced","Induces",18267069,"IGFBP7","Induces"
3490,"IGFBP7","insulin like growth factor binding protein 7","No","Oncogene-induced","Induces",22392074,"IGFBP7","Induces"
8517,"IKBKG","inhibitor of nuclear factor kappa B kinase regulatory subunit gamma","Yes","Stress-induced","Induces",22740410,"IKBKG","Induces"
3552,"IL1A","interleukin 1 alpha","No","Unclear","Induces",2218499,"IL1A","Induces"
3554,"IL1R1","interleukin 1 receptor type 1","No","Oncogene-induced","Induces",18267069,"IL1R1","Induces"
3557,"IL1RN","interleukin 1 receptor antagonist","No","Replicative","Unclear",12764021,"IL1RN","Unclear"
11009,"IL24","interleukin 24","Yes","Stress-induced","Inhibits",29749438,"IL24","Inhibits"
3569,"IL6","interleukin 6","No","Oncogene-induced","Induces",18555778,"IL6","Induces"
3569,"IL6","interleukin 6","No","Stress-induced","Induces",18555778,"IL6","Induces"
3609,"ILF3","interleukin enhancer binding factor 3","No","Unclear","Inhibits",23117626,"ILF3","Inhibits"
3611,"ILK","integrin linked kinase","Yes","Unclear","Inhibits",26176204,"ILK","Inhibits"
10989,"IMMT","inner membrane mitochondrial protein","No","Unclear","Inhibits",32264951,"IMMT","Inhibits"
3619,"INCENP","inner centromere protein","Yes","Oncogene-induced","Inhibits",28806777,"INCENP","Inhibits"
3621,"ING1","inhibitor of growth family member 1","No","Unclear","Induces",18691180,"ING1","Induces"
3622,"ING2","inhibitor of growth family member 2","No","Replicative","Induces",16024799,"ING2","Induces"
84289,"ING5","inhibitor of growth family member 5","Yes","Unclear","Induces",28915612,"ING5","Induces"
8821,"INPP4B","inositol polyphosphate-4-phosphatase type II B","No","Unclear","Inhibits",19647222,"INPP4B","Inhibits"
51135,"IRAK4","interleukin 1 receptor associated kinase 4","Yes","Stress-induced","Inhibits",25231413,"IRAK4","Inhibits"
3659,"IRF1","interferon regulatory factor 1","No","Oncogene-induced","Induces",18267069,"IRF1","Induces"
3661,"IRF3","interferon regulatory factor 3","No","Unclear","Induces",16513254,"IRF3","Induces"
3663,"IRF5","interferon regulatory factor 5","Yes","Unclear","Induces",18505922,"IRF5","Induces"
3665,"IRF7","interferon regulatory factor 7","Yes","Unclear","Induces",18505922,"IRF7","Induces"
3690,"ITGB3","integrin subunit beta 3","Yes","Oncogene-induced","Induces",28273461,"ITGB3","Induces"
3690,"ITGB3","integrin subunit beta 3","Yes","Stress-induced","Induces",28273461,"ITGB3","Induces"
3691,"ITGB4","integrin subunit beta 4","No","Unclear","Induces",17964297,"ITGB4","Induces"
3705,"ITPK1","inositol-tetrakisphosphate 1-kinase","No","Unclear","Induces",26583757,"ITPK1","Induces"
3707,"ITPKB","inositol-trisphosphate 3-kinase B","No","Unclear","Induces",26583757,"ITPKB","Induces"
3708,"ITPR1","inositol 1,4,5-trisphosphate receptor type 1","No","Oncogene-induced","Induces",24797322,"ITPR1","Induces"
3709,"ITPR2","inositol 1,4,5-trisphosphate receptor type 2","No","Oncogene-induced","Induces",24797322,"ITPR2","Induces"
3710,"ITPR3","inositol 1,4,5-trisphosphate receptor type 3","No","Oncogene-induced","Induces",24797322,"ITPR3","Induces"
50618,"ITSN2","intersectin 2","No","Stress-induced","Induces",23472054,"ITSN2","Induces"
3717,"JAK2","Janus kinase 2","No","Unclear","Induces",24681574,"JAK2","Induces"
51155,"JPT1","Jupiter microtubule associated homolog 1","Yes","Unclear","Inhibits",31257225,"JPT1","Inhibits"
3725,"JUN","Jun proto-oncogene, AP-1 transcription factor subunit","Yes","Stress-induced","Inhibits",17126817,"JUN","Inhibits"
3726,"JUNB","JunB proto-oncogene, AP-1 transcription factor subunit","Yes","Unclear","Induces",18628455,"JUNB","Induces"
10524,"KAT5","lysine acetyltransferase 5","No","Oncogene-induced","Induces",23685072,"KAT5","Induces"
3736,"KCNA1","potassium voltage-gated channel subfamily A member 1","No","Oncogene-induced","Induces",23774215,"KCNA1","Induces"
3768,"KCNJ12","potassium inwardly rectifying channel subfamily J member 12","Yes","Stress-induced","Inhibits",20841375,"KCNJ12","Inhibits"
23028,"KDM1A","lysine demethylase 1A","No","Oncogene-induced","Inhibits",29438700,"KDM1A","Inhibits"
84678,"KDM2B","lysine demethylase 2B","No","Replicative","Inhibits",21757686,"KDM2B","Inhibits"
9682,"KDM4A","lysine demethylase 4A","Yes","Oncogene-induced","Unclear",23168260,"KDM4A","Unclear"
23081,"KDM4C","lysine demethylase 4C","No","Oncogene-induced","Inhibits",29438700,"KDM4C","Inhibits"
10765,"KDM5B","lysine demethylase 5B","Yes","Unclear","Inhibits",23354547,"KDM5B","Inhibits"
23135,"KDM6B","lysine demethylase 6B","Yes","Unclear","Induces",25652587,"KDM6B","Induces"
3791,"KDR","kinase insert domain receptor","Yes","Unclear","Inhibits",26420897,"KDR","Inhibits"
9817,"KEAP1","kelch like ECH associated protein 1","No","Stress-induced","Induces",31491600,"KEAP1","Induces"
3832,"KIF11","kinesin family member 11","Yes","Oncogene-induced","Inhibits",28806777,"KIF11","Inhibits"
10112,"KIF20A","kinesin family member 20A","Yes","Stress-induced","Inhibits",25961928,"KIF20A","Inhibits"
11004,"KIF2C","kinesin family member 2C","Yes","Unclear","Inhibits",23098759,"KIF2C","Inhibits"
3833,"KIFC1","kinesin family member C1","No","Unclear","Inhibits",23318213,"KIFC1","Inhibits"
9365,"KL","klotho","No","Replicative","Inhibits",17014852,"KL","Inhibits"
9314,"KLF4","Kruppel like factor 4","Yes","Oncogene-induced","Induces",27531889,"KLF4","Induces"
85442,"KNDC1","kinase non-catalytic C-lobe domain containing 1","No","Unclear","Induces",29568929,"KNDC1","Induces"
3880,"KRT19","keratin 19","Yes","Unclear","Inhibits",27863477,"KRT19","Inhibits"
283455,"KSR2","kinase suppressor of ras 2","Yes","Unclear","Unclear",23324396,"KSR2","Unclear"
3920,"LAMP2","lysosomal associated membrane protein 2","No","Unclear","Inhibits",21858089,"LAMP2","Inhibits"
9113,"LATS1","large tumor suppressor kinase 1","Yes","Unclear","Inhibits",23324396,"LATS1","Inhibits"
26524,"LATS2","large tumor suppressor kinase 2","No","Replicative","Induces",30755404,"LATS2","Induces"
143903,"LAYN","layilin","No","Unclear","Induces",21740549,"LAYN","Induces"
3930,"LBR","lamin B receptor","Yes","Stress-induced","Inhibits",30615890,"LBR","Inhibits"
3934,"LCN2","lipocalin 2","No","Stress-induced","Inhibits",24452457,"LCN2","Inhibits"
123169,"LEO1","LEO1 homolog, Paf1/RNA polymerase II complex component","No","Replicative","Unclear",15791002,"LEO1","Unclear"
3958,"LGALS3","galectin 3","Yes","Unclear","Inhibits",24971481,"LGALS3","Inhibits"
51474,"LIMA1","LIM domain and actin binding 1","No","Replicative","Inhibits",26206181,"LIMA1","Inhibits"
51474,"LIMA1","LIM domain and actin binding 1","No","Stress-induced","Inhibits",26206181,"LIMA1","Inhibits"
3984,"LIMK1","LIM domain kinase 1","No","Unclear","Induces",26583757,"LIMK1","Induces"
91750,"LIN52","lin-52 DREAM MuvB core complex component","Yes","Oncogene-induced","Unclear",21498570,"LIN52","Unclear"
132660,"LIN54","lin-54 DREAM MuvB core complex component","No","Oncogene-induced","Inhibits",21860417,"LIN54","Inhibits"
286826,"LIN9","lin-9 DREAM MuvB core complex component","No","Oncogene-induced","Inhibits",21860417,"LIN9","Inhibits"
4000,"LMNA","lamin A/C","No","Unclear","Unclear",28483909,"LMNA","Unclear"
4001,"LMNB1","lamin B1","No","Oncogene-induced","Inhibits",22155925,"LMNB1","Inhibits"
102724571,"LNCTAM34A","long non coding transcriptional activator of miR34a","Yes","Replicative","Inhibits",29593331,"LNCTAM34A","Inhibits"
4015,"LOX","lysyl oxidase","No","Oncogene-induced","Inhibits",24113189,"LOX","Inhibits"
4015,"LOX","lysyl oxidase","No","Stress-induced","Inhibits",24113189,"LOX","Inhibits"
4017,"LOXL2","lysyl oxidase like 2","No","Oncogene-induced","Inhibits",24113189,"LOXL2","Inhibits"
4017,"LOXL2","lysyl oxidase like 2","No","Stress-induced","Inhibits",24113189,"LOXL2","Inhibits"
1902,"LPAR1","lysophosphatidic acid receptor 1","Yes","Unclear","Induces",27641212,"LPAR1","Induces"
23566,"LPAR3","lysophosphatidic acid receptor 3","No","Unclear","Inhibits",27641212,"LPAR3","Inhibits"
120892,"LRRK2","leucine rich repeat kinase 2","Yes","Unclear","Unclear",30712480,"LRRK2","Unclear"
8581,"LY6D","lymphocyte antigen 6 family member D","Yes","Unclear","Induces",27545311,"LY6D","Induces"
8379,"MAD1L1","mitotic arrest deficient 1 like 1","Yes","Stress-induced","Induces",19766114,"MAD1L1","Induces"
4085,"MAD2L1","mitotic arrest deficient 2 like 1","No","Unclear","Inhibits",22170163,"MAD2L1","Inhibits"
84944,"MAEL","maelstrom spermatogenic transposon silencer","No","Oncogene-induced","Inhibits",27926513,"MAEL","Inhibits"
4094,"MAF","MAF bZIP transcription factor","No","Stress-induced","Inhibits",26496036,"MAF","Inhibits"
4101,"MAGEA2","MAGE family member A2","No","Oncogene-induced","Inhibits",22117195,"MAGEA2","Inhibits"
55110,"MAGOHB","mago homolog B, exon junction complex subunit","No","Replicative","Inhibits",26206181,"MAGOHB","Inhibits"
55110,"MAGOHB","mago homolog B, exon junction complex subunit","No","Stress-induced","Inhibits",26206181,"MAGOHB","Inhibits"
5604,"MAP2K1","mitogen-activated protein kinase kinase 1","No","Unclear","Induces",14701721,"MAP2K1","Induces"
5605,"MAP2K2","mitogen-activated protein kinase kinase 2","No","Oncogene-induced","Induces",9765203,"MAP2K2","Induces"
5606,"MAP2K3","mitogen-activated protein kinase kinase 3","Yes","Unclear","Inhibits",23324396,"MAP2K3","Inhibits"
5608,"MAP2K6","mitogen-activated protein kinase kinase 6","Yes","Unclear","Induces",12208764,"MAP2K6","Induces"
5609,"MAP2K7","mitogen-activated protein kinase kinase 7","No","Unclear","Induces",26583757,"MAP2K7","Induces"
9020,"MAP3K14","mitogen-activated protein kinase kinase kinase 14","Yes","Stress-induced","Induces",22740410,"MAP3K14","Induces"
4217,"MAP3K5","mitogen-activated protein kinase kinase kinase 5","No","Stress-induced","Induces",16731828,"MAP3K5","Induces"
9064,"MAP3K6","mitogen-activated protein kinase kinase kinase 6","No","Unclear","Induces",26583757,"MAP3K6","Induces"
6885,"MAP3K7","mitogen-activated protein kinase kinase kinase 7","No","Unclear","Induces",26583757,"MAP3K7","Induces"
11184,"MAP4K1","mitogen-activated protein kinase kinase kinase kinase 1","Yes","Unclear","Inhibits",23324396,"MAP4K1","Inhibits"
5594,"MAPK1","mitogen-activated protein kinase 1","No","Oncogene-induced","Induces",23599344,"MAPK1","Induces"
6300,"MAPK12","mitogen-activated protein kinase 12","No","Unclear","Induces",26583757,"MAPK12","Induces"
1432,"MAPK14","mitogen-activated protein kinase 14","No","Replicative","Induces",12581156,"MAPK14","Induces"
1432,"MAPK14","mitogen-activated protein kinase 14","No","Stress-induced","Induces",12581156,"MAPK14","Induces"
5601,"MAPK9","mitogen-activated protein kinase 9","Yes","Oncogene-induced","Inhibits",20354187,"MAPK9","Inhibits"
8550,"MAPKAPK5","MAPK activated protein kinase 5","No","Oncogene-induced","Induces",17254968,"MAPKAPK5","Induces"
54708,"MARCHF5","membrane associated ring-CH-type finger 5","Yes","Stress-induced","Inhibits",20103533,"MARCHF5","Inhibits"
4082,"MARCKS","myristoylated alanine rich protein kinase C substrate","Yes","Unclear","Induces",22619307,"MARCKS","Induces"
22983,"MAST1","microtubule associated serine/threonine kinase 1","No","Unclear","Induces",26583757,"MAST1","Induces"
4145,"MATK","megakaryocyte-associated tyrosine kinase","No","Unclear","Induces",26583757,"MATK","Induces"
57506,"MAVS","mitochondrial antiviral signaling protein","No","Unclear","Induces",28471483,"MAVS","Induces"
4162,"MCAM","melanoma cell adhesion molecule","No","Replicative","Inhibits",26941359,"MCAM","Inhibits"
4170,"MCL1","MCL1 apoptosis regulator, BCL2 family member","Yes","Stress-induced","Inhibits",22451485,"MCL1","Inhibits"
8888,"MCM3AP","minichromosome maintenance complex component 3 associated protein","No","Unclear","Inhibits",19686285,"MCM3AP","Inhibits"
4176,"MCM7","minichromosome maintenance complex component 7","No","Unclear","Inhibits",32264951,"MCM7","Inhibits"
10445,"MCRS1","microspherule protein 1","No","Unclear","Induces",22563078,"MCRS1","Induces"
90550,"MCU","mitochondrial calcium uniporter","No","Oncogene-induced","Induces",24797322,"MCU","Induces"
9656,"MDC1","mediator of DNA damage checkpoint 1","Yes","Replicative","Inhibits",17158742,"MDC1","Inhibits"
4190,"MDH1","malate dehydrogenase 1","No","Unclear","Inhibits",22971926,"MDH1","Inhibits"
4192,"MDK","midkine","No","Stress-induced","Inhibits",31219803,"MDK","Inhibits"
4193,"MDM2","MDM2 proto-oncogene","Yes","Unclear","Inhibits",25803170,"MDM2","Inhibits"
145553,"MDP1","magnesium dependent phosphatase 1","Yes","Unclear","Induces",31218958,"MDP1","Induces"
4199,"ME1","malic enzyme 1","Yes","Stress-induced","Inhibits",25994759,"ME1","Inhibits"
4200,"ME2","malic enzyme 2","Yes","Stress-induced","Inhibits",25994759,"ME2","Inhibits"
4204,"MECP2","methyl-CpG binding protein 2","No","Replicative","Inhibits",20065105,"MECP2","Inhibits"
9968,"MED12","mediator complex subunit 12","Yes","Unclear","Inhibits",31072327,"MED12","Inhibits"
4205,"MEF2A","myocyte enhancer factor 2A","No","Replicative","Inhibits",31182679,"MEF2A","Inhibits"
4205,"MEF2A","myocyte enhancer factor 2A","No","Stress-induced","Inhibits",31182679,"MEF2A","Inhibits"
4212,"MEIS2","Meis homeobox 2","Yes","Unclear","Inhibits",30975979,"MEIS2","Inhibits"
4221,"MEN1","menin 1","No","Oncogene-induced","Induces",18267069,"MEN1","Induces"
4222,"MEOX1","mesenchyme homeobox 1","No","Unclear","Induces",22206000,"MEOX1","Induces"
4233,"MET","MET proto-oncogene, receptor tyrosine kinase","Yes","Unclear","Inhibits",25726528,"MET","Inhibits"
57721,"METTL14","methyltransferase 14, N6-adenosine-methyltransferase subunit","Yes","Stress-induced","Induces",28247949,"METTL14","Induces"
4282,"MIF","macrophage migration inhibitory factor","No","Stress-induced","Inhibits",24274936,"MIF","Inhibits"
50488,"MINK1","misshapen like kinase 1","Yes","Oncogene-induced","Induces",16337592,"MINK1","Induces"
4286,"MITF","melanocyte inducing transcription factor","Yes","Oncogene-induced","Unclear",28376192,"MITF","Unclear"
23608,"MKRN1","makorin ring finger protein 1","Yes","Unclear","Inhibits",19536131,"MKRN1","Inhibits"
4311,"MME","membrane metalloendopeptidase","No","Oncogene-induced","Induces",30671946,"MME","Induces"
4311,"MME","membrane metalloendopeptidase","No","Stress-induced","Induces",30671946,"MME","Induces"
4316,"MMP7","matrix metallopeptidase 7","No","Unclear","Inhibits",18207346,"MMP7","Inhibits"
4318,"MMP9","matrix metallopeptidase 9","Yes","Unclear","Inhibits",17510426,"MMP9","Inhibits"
3110,"MNX1","motor neuron and pancreas homeobox 1","Yes","Oncogene-induced","Induces",30093397,"MNX1","Induces"
126308,"MOB3A","MOB kinase activator 3A","No","Unclear","Induces",26583757,"MOB3A","Induces"
23515,"MORC3","MORC family CW-type zinc finger 3","No","Unclear","Induces",17332504,"MORC3","Induces"
10933,"MORF4L1","mortality factor 4 like 1","No","Stress-induced","Inhibits",31219803,"MORF4L1","Inhibits"
4342,"MOS","MOS proto-oncogene, serine/threonine kinase","No","Oncogene-induced","Induces",17136093,"MOS","Induces"
57591,"MRTFA","myocardin related transcription factor A","Yes","Oncogene-induced","Inhibits",23853104,"MRTFA","Inhibits"
57496,"MRTFB","myocardin related transcription factor B","Yes","Oncogene-induced","Inhibits",23853104,"MRTFB","Inhibits"
4478,"MSN","moesin","No","Unclear","Inhibits",20376899,"MSN","Inhibits"
4485,"MST1","macrophage stimulating 1","Yes","Oncogene-induced","Induces",24334454,"MST1","Induces"
4495,"MT1G","metallothionein 1G","Yes","Stress-induced","Induces",20705054,"MT1G","Induces"
92140,"MTDH","metadherin","Yes","Unclear","Inhibits",28923415,"MTDH","Inhibits"
10797,"MTHFD2","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase","No","Unclear","Inhibits",32264951,"MTHFD2","Inhibits"
2475,"MTOR","mechanistic target of rapamycin kinase","No","Stress-induced","Inhibits",31219803,"MTOR","Inhibits"
4585,"MUC4","mucin 4, cell surface associated","Yes","Oncogene-induced","Inhibits",24747969,"MUC4","Inhibits"
80198,"MUS81","MUS81 structure-specific endonuclease subunit","Yes","Replicative","Inhibits",26415217,"MUS81","Inhibits"
80198,"MUS81","MUS81 structure-specific endonuclease subunit","Yes","Replicative","Inhibits",27255997,"MUS81","Inhibits"
4598,"MVK","mevalonate kinase","No","Unclear","Induces",26583757,"MVK","Induces"
9961,"MVP","major vault protein","Yes","Stress-induced","Induces",24997994,"MVP","Induces"
10608,"MXD4","MAX dimerization protein 4","No","Replicative","Induces",12761891,"MXD4","Induces"
10514,"MYBBP1A","MYB binding protein 1a","Yes","Stress-induced","Inhibits",25543088,"MYBBP1A","Inhibits"
4605,"MYBL2","MYB proto-oncogene like 2","Yes","Oncogene-induced","Inhibits",17182682,"MYBL2","Inhibits"
4609,"MYC","MYC proto-oncogene, bHLH transcription factor","No","Oncogene-induced","Inhibits",16537449,"MYC","Inhibits"
