"Entrez ID","Gene symbol","Gene name","Cancer Cell","Type of senescence","Senescence Effect","Reference","CellAge_human_symbol","CellAge_effect"
55252,"ASXL2","ASXL transcriptional regulator 2","No","Unclear","Induces",26416890,"ASXL2","Induces"
467,"ATF3","activating transcription factor 3","Yes","Stress-induced","Inhibits",25046976,"ATF3","Inhibits"
22926,"ATF6","activating transcription factor 6","No","Replicative","Induces",28803844,"ATF6","Induces"
22926,"ATF6","activating transcription factor 6","No","Stress-induced","Induces",28803844,"ATF6","Induces"
22926,"ATF6","activating transcription factor 6","No","Oncogene-induced","Induces",28803844,"ATF6","Induces"
22926,"ATF6","activating transcription factor 6","No","Replicative","Induces",30260700,"ATF6","Induces"
22926,"ATF6","activating transcription factor 6","No","Stress-induced","Induces",30260700,"ATF6","Induces"
22926,"ATF6","activating transcription factor 6","No","Oncogene-induced","Induces",30260700,"ATF6","Induces"
55729,"ATF7IP","activating transcription factor 7 interacting protein","No","Stress-induced","Inhibits",23935871,"ATF7IP","Inhibits"
83734,"ATG10","autophagy related 10","Yes","Unclear","Induces",23451179,"ATG10","Induces"
9140,"ATG12","autophagy related 12","No","Unclear","Inhibits",21858089,"ATG12","Inhibits"
55054,"ATG16L1","autophagy related 16 like 1","Yes","Unclear","Unclear",22684298,"ATG16L1","Unclear"
84971,"ATG4D","autophagy related 4D cysteine peptidase","No","Unclear","Inhibits",30352807,"ATG4D","Inhibits"
9474,"ATG5","autophagy related 5","No","Oncogene-induced","Inhibits",19279323,"ATG5","Inhibits"
10533,"ATG7","autophagy related 7","No","Oncogene-induced","Inhibits",19279323,"ATG7","Inhibits"
472,"ATM","ATM serine/threonine kinase","No","Replicative","Inhibits",9312059,"ATM","Inhibits"
23545,"ATP6V0A2","ATPase H+ transporting V0 subunit a2","No","Unclear","Inhibits",26611489,"ATP6V0A2","Inhibits"
527,"ATP6V0C","ATPase H+ transporting V0 subunit c","No","Unclear","Inhibits",30352807,"ATP6V0C","Inhibits"
545,"ATR","ATR serine/threonine kinase","Yes","Oncogene-induced","Induces",18245444,"ATR","Induces"
51374,"ATRAID","all-trans retinoic acid induced differentiation factor","Yes","Unclear","Induces",26934949,"ATRAID","Induces"
546,"ATRX","ATRX chromatin remodeler","Yes","Oncogene-induced","Induces",28855512,"ATRX","Induces"
546,"ATRX","ATRX chromatin remodeler","Yes","Stress-induced","Induces",28855512,"ATRX","Induces"
25814,"ATXN10","ataxin 10","No","Unclear","Induces",21740549,"ATXN10","Induces"
6790,"AURKA","aurora kinase A","Yes","Unclear","Inhibits",23324396,"AURKA","Inhibits"
9212,"AURKB","aurora kinase B","No","Unclear","Inhibits",22024481,"AURKB","Inhibits"
558,"AXL","AXL receptor tyrosine kinase","No","Unclear","Induces",26583757,"AXL","Induces"
9531,"BAG3","BAG cochaperone 3","Yes","Unclear","Inhibits",25412315,"BAG3","Inhibits"
8314,"BAP1","BRCA1 associated protein 1","No","Unclear","Induces",26416890,"BAP1","Induces"
11177,"BAZ1A","bromodomain adjacent to zinc finger domain 1A","Yes","Unclear","Inhibits",31085244,"BAZ1A","Inhibits"
64919,"BCL11B","BAF chromatin remodeling complex subunit BCL11B","Yes","Unclear","Inhibits",26096706,"BCL11B","Inhibits"
596,"BCL2","BCL2 apoptosis regulator","No","Oncogene-induced","Induces",12670482,"BCL2","Induces"
598,"BCL2L1","BCL2 like 1","Yes","Oncogene-induced","Inhibits",28948203,"BCL2L1","Inhibits"
599,"BCL2L2","BCL2 like 2","Yes","Oncogene-induced","Induces",30318121,"BCL2L2","Induces"
602,"BCL3","BCL3 transcription coactivator","No","Unclear","Inhibits",25255445,"BCL3","Inhibits"
604,"BCL6","BCL6 transcription repressor","No","Replicative","Inhibits",11914273,"BCL6","Inhibits"
9774,"BCLAF1","BCL2 associated transcription factor 1","Yes","Stress-induced","Induces",26794446,"BCLAF1","Induces"
8678,"BECN1","beclin 1","Yes","Unclear","Inhibits",29991800,"BECN1","Inhibits"
8553,"BHLHE40","basic helix-loop-helix family member e40","Yes","Replicative","Induces",18025081,"BHLHE40","Induces"
8553,"BHLHE40","basic helix-loop-helix family member e40","Yes","Stress-induced","Induces",18025081,"BHLHE40","Induces"
8553,"BHLHE40","basic helix-loop-helix family member e40","Yes","Replicative","Induces",22844531,"BHLHE40","Induces"
8553,"BHLHE40","basic helix-loop-helix family member e40","Yes","Stress-induced","Induces",22844531,"BHLHE40","Induces"
274,"BIN1","bridging integrator 1","No","Oncogene-induced","Induces",18267069,"BIN1","Induces"
332,"BIRC5","baculoviral IAP repeat containing 5","Yes","Oncogene-induced","Inhibits",27531889,"BIRC5","Inhibits"
640,"BLK","BLK proto-oncogene, Src family tyrosine kinase","No","Unclear","Induces",26583757,"BLK","Induces"
644,"BLVRA","biliverdin reductase A","No","Stress-induced","Inhibits",21099244,"BLVRA","Inhibits"
648,"BMI1","BMI1 proto-oncogene, polycomb ring finger","No","Replicative","Inhibits",12482990,"BMI1","Inhibits"
652,"BMP4","bone morphogenetic protein 4","Yes","Replicative","Induces",19269967,"BMP4","Induces"
652,"BMP4","bone morphogenetic protein 4","Yes","Stress-induced","Induces",19269967,"BMP4","Induces"
659,"BMPR2","bone morphogenetic protein receptor type 2","Yes","Replicative","Induces",27696331,"BMPR2","Induces"
9790,"BMS1","BMS1 ribosome biogenesis factor","Yes","Replicative","Inhibits",25732822,"BMS1","Inhibits"
9790,"BMS1","BMS1 ribosome biogenesis factor","Yes","Oncogene-induced","Inhibits",25732822,"BMS1","Inhibits"
665,"BNIP3L","BCL2 interacting protein 3 like","No","Oncogene-induced","Induces",18267069,"BNIP3L","Induces"
673,"BRAF","B-Raf proto-oncogene, serine/threonine kinase","No","Oncogene-induced","Induces",16079850,"BRAF","Induces"
672,"BRCA1","BRCA1 DNA repair associated","Yes","Stress-induced","Inhibits",19372557,"BRCA1","Inhibits"
23476,"BRD4","bromodomain containing 4","Yes","Unclear","Inhibits",29434197,"BRD4","Inhibits"
29117,"BRD7","bromodomain containing 7","No","Replicative","Induces",20660729,"BRD7","Induces"
83990,"BRIP1","BRCA1 interacting helicase 1","No","Oncogene-induced","Inhibits",22137763,"BRIP1","Inhibits"
694,"BTG1","BTG anti-proliferation factor 1","Yes","Unclear","Induces",27447746,"BTG1","Induces"
7832,"BTG2","BTG anti-proliferation factor 2","No","Replicative","Induces",20569234,"BTG2","Induces"
10950,"BTG3","BTG anti-proliferation factor 3","No","Oncogene-induced","Inhibits",22020331,"BTG3","Inhibits"
699,"BUB1","BUB1 mitotic checkpoint serine/threonine kinase","No","Oncogene-induced","Inhibits",17488820,"BUB1","Inhibits"
701,"BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B","Yes","Oncogene-induced","Inhibits",28806777,"BUB1B","Inhibits"
811,"CALR","calreticulin","No","Unclear","Inhibits",25378661,"CALR","Inhibits"
826,"CAPNS1","calpain small subunit 1","Yes","Oncogene-induced","Induces",20107320,"CAPNS1","Induces"
826,"CAPNS1","calpain small subunit 1","Yes","Stress-induced","Induces",20107320,"CAPNS1","Induces"
79800,"CARF","calcium responsive transcription factor","No","Replicative","Induces",19001376,"CARF","Induces"
79800,"CARF","calcium responsive transcription factor","No","Stress-induced","Induces",19001376,"CARF","Induces"
10498,"CARM1","coactivator associated arginine methyltransferase 1","No","Replicative","Inhibits",23837869,"CARM1","Inhibits"
835,"CASP2","caspase 2","No","Oncogene-induced","Induces",25114039,"CASP2","Induces"
857,"CAV1","caveolin 1","No","Unclear","Induces",15263006,"CAV1","Induces"
284119,"CAVIN1","caveolae associated protein 1","No","Unclear","Induces",21445100,"CAVIN1","Induces"
875,"CBS","cystathionine beta-synthase","No","Replicative","Inhibits",23117410,"CBS","Inhibits"
23468,"CBX5","chromobox 5","No","Unclear","Inhibits",26160351,"CBX5","Inhibits"
23492,"CBX7","chromobox 7","No","Replicative","Inhibits",14647293,"CBX7","Inhibits"
57332,"CBX8","chromobox 8","No","Unclear","Inhibits",17332741,"CBX8","Inhibits"
6347,"CCL2","C-C motif chemokine ligand 2","No","Unclear","Induces",26573462,"CCL2","Induces"
1490,"CCN2","cellular communication network factor 2","Yes","Oncogene-induced","Induces",22684333,"CCN2","Induces"
8838,"CCN6","cellular communication network factor 6","No","Unclear","Induces",26611489,"CCN6","Induces"
890,"CCNA2","cyclin A2","Yes","Oncogene-induced","Inhibits",28806777,"CCNA2","Inhibits"
891,"CCNB1","cyclin B1","Yes","Unclear","Inhibits",30069972,"CCNB1","Inhibits"
595,"CCND1","cyclin D1","No","Unclear","Induces",7698220,"CCND1","Induces"
896,"CCND3","cyclin D3","Yes","Unclear","Inhibits",20113529,"CCND3","Inhibits"
940,"CD28","CD28 molecule","No","Replicative","Inhibits",24231352,"CD28","Inhibits"
947,"CD34","CD34 molecule","No","Unclear","Induces",25879198,"CD34","Induces"
959,"CD40LG","CD40 ligand","Yes","Unclear","Unclear",30078020,"CD40LG","Unclear"
3732,"CD82","CD82 molecule","Yes","Unclear","Induces",23873025,"CD82","Induces"
993,"CDC25A","cell division cycle 25A","No","Unclear","Inhibits",32264951,"CDC25A","Inhibits"
8318,"CDC45","cell division cycle 45","Yes","Oncogene-induced","Inhibits",28806777,"CDC45","Inhibits"
990,"CDC6","cell division cycle 6","Yes","Stress-induced","Induces",30158672,"CDC6","Induces"
8317,"CDC7","cell division cycle 7","Yes","Oncogene-induced","Inhibits",28806777,"CDC7","Inhibits"
157313,"CDCA2","cell division cycle associated 2","No","Stress-induced","Inhibits",24905922,"CDCA2","Inhibits"
55038,"CDCA4","cell division cycle associated 4","No","Unclear","Inhibits",32264951,"CDCA4","Inhibits"
999,"CDH1","cadherin 1","No","Oncogene-induced","Inhibits",19477924,"CDH1","Inhibits"
983,"CDK1","cyclin dependent kinase 1","Yes","Unclear","Inhibits",23324396,"CDK1","Inhibits"
5129,"CDK18","cyclin dependent kinase 18","No","Unclear","Induces",26583757,"CDK18","Induces"
1017,"CDK2","cyclin dependent kinase 2","No","Replicative","Inhibits",25149358,"CDK2","Inhibits"
1017,"CDK2","cyclin dependent kinase 2","No","Stress-induced","Inhibits",25149358,"CDK2","Inhibits"
1017,"CDK2","cyclin dependent kinase 2","No","Oncogene-induced","Inhibits",25149358,"CDK2","Inhibits"
8099,"CDK2AP1","cyclin dependent kinase 2 associated protein 1","No","Unclear","Inhibits",25785833,"CDK2AP1","Inhibits"
1019,"CDK4","cyclin dependent kinase 4","No","Replicative","Inhibits",12082615,"CDK4","Inhibits"
1020,"CDK5","cyclin dependent kinase 5","Yes","Unclear","Induces",15024070,"CDK5","Induces"
8851,"CDK5R1","cyclin dependent kinase 5 regulatory subunit 1","Yes","Oncogene-induced","Induces",20181942,"CDK5R1","Induces"
1021,"CDK6","cyclin dependent kinase 6","No","Replicative","Inhibits",12082615,"CDK6","Inhibits"
1026,"CDKN1A","cyclin dependent kinase inhibitor 1A","No","Replicative","Induces",9242615,"CDKN1A","Induces"
1026,"CDKN1A","cyclin dependent kinase inhibitor 1A","No","Stress-induced","Induces",9242615,"CDKN1A","Induces"
1026,"CDKN1A","cyclin dependent kinase inhibitor 1A","No","Oncogene-induced","Induces",9242615,"CDKN1A","Induces"
1027,"CDKN1B","cyclin dependent kinase inhibitor 1B","No","Unclear","Induces",9512419,"CDKN1B","Induces"
1028,"CDKN1C","cyclin dependent kinase inhibitor 1C","Yes","Unclear","Induces",22705236,"CDKN1C","Induces"
1029,"CDKN2A","cyclin dependent kinase inhibitor 2A","No","Replicative","Induces",9607312,"CDKN2A","Induces"
1029,"CDKN2A","cyclin dependent kinase inhibitor 2A","No","Stress-induced","Induces",9607312,"CDKN2A","Induces"
1029,"CDKN2A","cyclin dependent kinase inhibitor 2A","No","Oncogene-induced","Induces",9607312,"CDKN2A","Induces"
55602,"CDKN2AIP","CDKN2A interacting protein","No","Replicative","Induces",19001376,"CDKN2AIP","Induces"
55602,"CDKN2AIP","CDKN2A interacting protein","No","Stress-induced","Induces",19001376,"CDKN2AIP","Induces"
1030,"CDKN2B","cyclin dependent kinase inhibitor 2B","Yes","Replicative","Induces",10939591,"CDKN2B","Induces"
634,"CEACAM1","CEA cell adhesion molecule 1","No","Stress-induced","Induces",23552604,"CEACAM1","Induces"
1051,"CEBPB","CCAAT enhancer binding protein beta","Yes","Stress-induced","Induces",25772238,"CEBPB","Induces"
1054,"CEBPG","CCAAT enhancer binding protein gamma","Yes","Oncogene-induced","Inhibits",23775115,"CEBPG","Inhibits"
1058,"CENPA","centromere protein A","No","Unclear","Inhibits",20160010,"CENPA","Inhibits"
8208,"CHAF1B","chromatin assembly factor 1 subunit B","Yes","Oncogene-induced","Inhibits",28806777,"CHAF1B","Inhibits"
26038,"CHD5","chromodomain helicase DNA binding protein 5","No","Replicative","Induces",23168260,"CHD5","Induces"
26038,"CHD5","chromodomain helicase DNA binding protein 5","No","Oncogene-induced","Induces",23168260,"CHD5","Induces"
1111,"CHEK1","checkpoint kinase 1","Yes","Stress-induced","Induces",20716119,"CHEK1","Induces"
11200,"CHEK2","checkpoint kinase 2","Yes","Unclear","Induces",16024600,"CHEK2","Induces"
1147,"CHUK","component of inhibitor of nuclear factor kappa B kinase complex","Yes","Stress-induced","Induces",22740410,"CHUK","Induces"
57650,"CIP2A","cellular inhibitor of PP2A","Yes","Unclear","Inhibits",18559589,"CIP2A","Inhibits"
11113,"CIT","citron rho-interacting serine/threonine kinase","Yes","Oncogene-induced","Inhibits",28806777,"CIT","Inhibits"
26586,"CKAP2","cytoskeleton associated protein 2","No","Unclear","Inhibits",32264951,"CKAP2","Inhibits"
1152,"CKB","creatine kinase B","No","Unclear","Induces",26583757,"CKB","Induces"
9635,"CLCA2","chloride channel accessory 2","No","Stress-induced","Induces",22431922,"CLCA2","Induces"
8192,"CLPP","caseinolytic mitochondrial matrix peptidase proteolytic subunit","Yes","Stress-induced","Inhibits",30878663,"CLPP","Inhibits"
63967,"CLSPN","claspin","Yes","Oncogene-induced","Inhibits",30796221,"CLSPN","Inhibits"
1191,"CLU","clusterin","Yes","Stress-induced","Inhibits",31376806,"CLU","Inhibits"
57472,"CNOT6","CCR4-NOT transcription complex subunit 6","No","Unclear","Inhibits",26792405,"CNOT6","Inhibits"
246175,"CNOT6L","CCR4-NOT transcription complex subunit 6 like","Yes","Unclear","Inhibits",21233283,"CNOT6L","Inhibits"
1329,"COX5B","cytochrome c oxidase subunit 5B","Yes","Unclear","Inhibits",26506233,"COX5B","Inhibits"
64506,"CPEB1","cytoplasmic polyadenylation element binding protein 1","No","Replicative","Induces",19141477,"CPEB1","Induces"
126129,"CPT1C","carnitine palmitoyltransferase 1C","Yes","Unclear","Inhibits",30070697,"CPT1C","Inhibits"
8804,"CREG1","cellular repressor of E1A stimulated genes 1","Yes","Oncogene-induced","Induces",21263217,"CREG1","Induces"
83716,"CRISPLD2","cysteine rich secretory protein LCCL domain containing 2","No","Stress-induced","Inhibits",31219803,"CRISPLD2","Inhibits"
1452,"CSNK1A1","casein kinase 1 alpha 1","Yes","Unclear","Inhibits",23324396,"CSNK1A1","Inhibits"
1457,"CSNK2A1","casein kinase 2 alpha 1","No","Replicative","Inhibits",16442104,"CSNK2A1","Inhibits"
1491,"CTH","cystathionine gamma-lyase","Yes","Replicative","Inhibits",23353821,"CTH","Inhibits"
1491,"CTH","cystathionine gamma-lyase","Yes","Stress-induced","Inhibits",23353821,"CTH","Inhibits"
8727,"CTNNAL1","catenin alpha like 1","Yes","Oncogene-induced","Inhibits",21278790,"CTNNAL1","Inhibits"
1499,"CTNNB1","catenin beta 1","No","Unclear","Induces",24130040,"CTNNB1","Induces"
1508,"CTSB","cathepsin B","No","Unclear","Inhibits",30352807,"CTSB","Inhibits"
1509,"CTSD","cathepsin D","Yes","Unclear","Inhibits",26657266,"CTSD","Inhibits"
8450,"CUL4B","cullin 4B","Yes","Replicative","Inhibits",25464270,"CUL4B","Inhibits"
8450,"CUL4B","cullin 4B","Yes","Stress-induced","Inhibits",25464270,"CUL4B","Inhibits"
1523,"CUX1","cut like homeobox 1","No","Oncogene-induced","Inhibits",24618719,"CUX1","Inhibits"
2919,"CXCL1","C-X-C motif chemokine ligand 1","No","Oncogene-induced","Induces",17060621,"CXCL1","Induces"
3579,"CXCR2","C-X-C motif chemokine receptor 2","No","Replicative","Induces",18555777,"CXCR2","Induces"
3579,"CXCR2","C-X-C motif chemokine receptor 2","No","Oncogene-induced","Induces",18555777,"CXCR2","Induces"
1727,"CYB5R3","cytochrome b5 reductase 3","No","Unclear","Inhibits",24450884,"CYB5R3","Inhibits"
1536,"CYBB","cytochrome b-245 beta chain","No","Unclear","Induces",21841319,"CYBB","Induces"
1592,"CYP26A1","cytochrome P450 family 26 subfamily A member 1","Yes","Stress-induced","Inhibits",26058854,"CYP26A1","Inhibits"
1610,"DAO","D-amino acid oxidase","Yes","Stress-induced","Induces",27545311,"DAO","Induces"
23564,"DDAH2","dimethylarginine dimethylaminohydrolase 2","No","Unclear","Inhibits",24764313,"DDAH2","Inhibits"
1642,"DDB1","damage specific DNA binding protein 1","Yes","Oncogene-induced","Inhibits",28806777,"DDB1","Inhibits"
1643,"DDB2","damage specific DNA binding protein 2","No","Oncogene-induced","Induces",20351176,"DDB2","Induces"
54541,"DDIT4","DNA damage inducible transcript 4","No","Replicative","Inhibits",22627671,"DDIT4","Inhibits"
7913,"DEK","DEK proto-oncogene","No","Replicative","Inhibits",16254365,"DEK","Inhibits"
64798,"DEPTOR","DEP domain containing MTOR interacting protein","Yes","Unclear","Inhibits",25568666,"DEPTOR","Inhibits"
54487,"DGCR8","DGCR8 microprocessor complex subunit","No","Unclear","Inhibits",23773483,"DGCR8","Inhibits"
1718,"DHCR24","24-dehydrocholesterol reductase","No","Oncogene-induced","Induces",15577914,"DHCR24","Induces"
10202,"DHRS2","dehydrogenase/reductase 2","Yes","Unclear","Induces",29632240,"DHRS2","Induces"
1660,"DHX9","DExH-box helicase 9","No","Replicative","Inhibits",24990949,"DHX9","Inhibits"
23405,"DICER1","dicer 1, ribonuclease III","No","Stress-induced","Inhibits",26990999,"DICER1","Inhibits"
11083,"DIDO1","death inducer-obliterator 1","No","Unclear","Inhibits",26611489,"DIDO1","Inhibits"
9077,"DIRAS3","DIRAS family GTPase 3","No","Unclear","Inhibits",28316325,"DIRAS3","Inhibits"
1736,"DKC1","dyskerin pseudouridine synthase 1","Yes","Replicative","Inhibits",25732822,"DKC1","Inhibits"
1736,"DKC1","dyskerin pseudouridine synthase 1","Yes","Oncogene-induced","Inhibits",25732822,"DKC1","Inhibits"
10395,"DLC1","DLC1 Rho GTPase activating protein","Yes","Oncogene-induced","Induces",23853104,"DLC1","Induces"
9988,"DMTF1","cyclin D binding myb like transcription factor 1","No","Oncogene-induced","Induces",18267069,"DMTF1","Induces"
1786,"DNMT1","DNA methyltransferase 1","No","Unclear","Inhibits",21572997,"DNMT1","Inhibits"
1788,"DNMT3A","DNA methyltransferase 3 alpha","Yes","Stress-induced","Inhibits",20473858,"DNMT3A","Inhibits"
1789,"DNMT3B","DNA methyltransferase 3 beta","No","Unclear","Inhibits",21572997,"DNMT3B","Inhibits"
84444,"DOT1L","DOT1 like histone lysine methyltransferase","Yes","Unclear","Inhibits",22190683,"DOT1L","Inhibits"
1803,"DPP4","dipeptidyl peptidase 4","No","Oncogene-induced","Induces",29481642,"DPP4","Induces"
84661,"DPY30","dpy-30 histone methyltransferase complex regulatory subunit","No","Unclear","Inhibits",23872946,"DPY30","Inhibits"
51514,"DTL","denticleless E3 ubiquitin protein ligase homolog","Yes","Unclear","Inhibits",29606879,"DTL","Inhibits"
1843,"DUSP1","dual specificity phosphatase 1","Yes","Oncogene-induced","Induces",30536303,"DUSP1","Induces"
80824,"DUSP16","dual specificity phosphatase 16","Yes","Unclear","Inhibits",26381291,"DUSP16","Inhibits"
63904,"DUSP21","dual specificity phosphatase 21","Yes","Unclear","Inhibits",23929653,"DUSP21","Inhibits"
1845,"DUSP3","dual specificity phosphatase 3","Yes","Unclear","Inhibits",16604064,"DUSP3","Inhibits"
1848,"DUSP6","dual specificity phosphatase 6","Yes","Oncogene-induced","Inhibits",25499223,"DUSP6","Inhibits"
1859,"DYRK1A","dual specificity tyrosine phosphorylation regulated kinase 1A","Yes","Oncogene-induced","Induces",21498570,"DYRK1A","Induces"
1869,"E2F1","E2F transcription factor 1","No","Unclear","Induces",10594030,"E2F1","Induces"
1871,"E2F3","E2F transcription factor 3","Yes","Unclear","Inhibits",22354972,"E2F3","Inhibits"
144455,"E2F7","E2F transcription factor 7","No","Oncogene-induced","Induces",22802529,"E2F7","Induces"
1894,"ECT2","epithelial cell transforming 2","Yes","Oncogene-induced","Inhibits",28806777,"ECT2","Inhibits"
9521,"EEF1E1","eukaryotic translation elongation factor 1 epsilon 1","No","Unclear","Induces",25465621,"EEF1E1","Induces"
1956,"EGFR","epidermal growth factor receptor","Yes","Unclear","Inhibits",25504754,"EGFR","Inhibits"
54583,"EGLN1","egl-9 family hypoxia inducible factor 1","Yes","Replicative","Induces",16161047,"EGLN1","Induces"
1959,"EGR2","early growth response 2","No","Unclear","Induces",33547862,"EGR2","Induces"
26298,"EHF","ETS homologous factor","No","Unclear","Induces",17627613,"EHF","Induces"
10919,"EHMT2","euchromatic histone lysine methyltransferase 2","Yes","Unclear","Inhibits",25595900,"EHMT2","Inhibits"
493861,"EID3","EP300 interacting inhibitor of differentiation 3","Yes","Stress-induced","Induces",30114644,"EID3","Induces"
5610,"EIF2AK2","eukaryotic translation initiation factor 2 alpha kinase 2","No","Stress-induced","Induces",29906232,"EIF2AK2","Induces"
9451,"EIF2AK3","eukaryotic translation initiation factor 2 alpha kinase 3","Yes","Unclear","Inhibits",22548801,"EIF2AK3","Inhibits"
1977,"EIF4E","eukaryotic translation initiation factor 4E","Yes","Oncogene-induced","Unclear",21399233,"EIF4E","Unclear"
1978,"EIF4EBP1","eukaryotic translation initiation factor 4E binding protein 1","No","Oncogene-induced","Inhibits",19878875,"EIF4EBP1","Inhibits"
1982,"EIF4G2","eukaryotic translation initiation factor 4 gamma 2","Yes","Unclear","Inhibits",24497838,"EIF4G2","Inhibits"
1994,"ELAVL1","ELAV like RNA binding protein 1","Yes","Replicative","Inhibits",29584879,"ELAVL1","Inhibits"
6924,"ELOA","elongin A","No","Unclear","Inhibits",32264951,"ELOA","Inhibits"
2021,"ENDOG","endonuclease G","No","Unclear","Inhibits",20211237,"ENDOG","Inhibits"
2022,"ENG","endoglin","Yes","Unclear","Induces",27067789,"ENG","Induces"
2023,"ENO1","enolase 1","No","Oncogene-induced","Inhibits",18852884,"ENO1","Inhibits"
57089,"ENTPD7","ectonucleoside triphosphate diphosphohydrolase 7","No","Oncogene-induced","Induces",27737960,"ENTPD7","Induces"
2033,"EP300","E1A binding protein p300","No","Replicative","Induces",30773298,"EP300","Induces"
2033,"EP300","E1A binding protein p300","No","Oncogene-induced","Induces",30773298,"EP300","Induces"
2034,"EPAS1","endothelial PAS domain protein 1","Yes","Replicative","Inhibits",26057707,"EPAS1","Inhibits"
2034,"EPAS1","endothelial PAS domain protein 1","Yes","Stress-induced","Inhibits",26057707,"EPAS1","Inhibits"
2042,"EPHA3","EPH receptor A3","Yes","Unclear","Inhibits",23324396,"EPHA3","Inhibits"
2044,"EPHA5","EPH receptor A5","Yes","Stress-induced","Inhibits",25623065,"EPHA5","Inhibits"
2057,"EPOR","erythropoietin receptor","Yes","Stress-induced","Inhibits",25544764,"EPOR","Inhibits"
2064,"ERBB2","erb-b2 receptor tyrosine kinase 2","Yes","Oncogene-induced","Induces",15705882,"ERBB2","Induces"
2067,"ERCC1","ERCC excision repair 1, endonuclease non-catalytic subunit","No","Unclear","Inhibits",24964749,"ERCC1","Inhibits"
54206,"ERRFI1","ERBB receptor feedback inhibitor 1","No","Unclear","Induces",24815188,"ERRFI1","Induces"
30816,"ERVW-1","endogenous retrovirus group W member 1, envelope","No","Oncogene-induced","Induces",24186980,"ERVW-1","Induces"
9700,"ESPL1","extra spindle pole bodies like 1, separase","Yes","Oncogene-induced","Inhibits",28806777,"ESPL1","Inhibits"
2099,"ESR1","estrogen receptor 1","No","Oncogene-induced","Inhibits",27259243,"ESR1","Inhibits"
2103,"ESRRB","estrogen related receptor beta","Yes","Stress-induced","Induces",25496115,"ESRRB","Induces"
2113,"ETS1","ETS proto-oncogene 1, transcription factor","No","Oncogene-induced","Induces",11234019,"ETS1","Induces"
2114,"ETS2","ETS proto-oncogene 2, transcription factor","No","Oncogene-induced","Induces",11234019,"ETS2","Induces"
2120,"ETV6","ETS variant transcription factor 6","No","Unclear","Induces",30088951,"ETV6","Induces"
2130,"EWSR1","EWS RNA binding protein 1","No","Unclear","Induces",21030557,"EWSR1","Induces"
2146,"EZH2","enhancer of zeste 2 polycomb repressive complex 2 subunit","Yes","Stress-induced","Inhibits",24588771,"EZH2","Inhibits"
2177,"FANCD2","FA complementation group D2","No","Stress-induced","Induces",21995812,"FANCD2","Induces"
2194,"FASN","fatty acid synthase","No","Oncogene-induced","Induces",30962418,"FASN","Induces"
10922,"FASTK","Fas activated serine/threonine kinase","No","Unclear","Induces",26583757,"FASTK","Induces"
26263,"FBXO22","F-box protein 22","Yes","Stress-induced","Induces",26868148,"FBXO22","Induces"
79791,"FBXO31","F-box protein 31","Yes","Unclear","Induces",16357137,"FBXO31","Induces"
26272,"FBXO4","F-box protein 4","Yes","Unclear","Induces",29142209,"FBXO4","Induces"
26271,"FBXO5","F-box protein 5","Yes","Oncogene-induced","Inhibits",17875940,"FBXO5","Inhibits"
23291,"FBXW11","F-box and WD repeat domain containing 11","Yes","Unclear","Inhibits",31406304,"FBXW11","Inhibits"
2224,"FDPS","farnesyl diphosphate synthase","Yes","Stress-induced","Inhibits",29030460,"FDPS","Inhibits"
55612,"FERMT1","FERM domain containing kindlin 1","No","Unclear","Inhibits",23278235,"FERMT1","Inhibits"
10979,"FERMT2","FERM domain containing kindlin 2","Yes","Unclear","Inhibits",31308359,"FERMT2","Inhibits"
26291,"FGF21","fibroblast growth factor 21","No","Replicative","Inhibits",31178962,"FGF21","Inhibits"
26291,"FGF21","fibroblast growth factor 21","No","Stress-induced","Inhibits",31178962,"FGF21","Inhibits"
2260,"FGFR1","fibroblast growth factor receptor 1","Yes","Stress-induced","Induces",26250908,"FGFR1","Induces"
2263,"FGFR2","fibroblast growth factor receptor 2","No","Oncogene-induced","Unclear",19403560,"FGFR2","Unclear"
2261,"FGFR3","fibroblast growth factor receptor 3","Yes","Oncogene-induced","Induces",23902722,"FGFR3","Induces"
51024,"FIS1","fission, mitochondrial 1","Yes","Unclear","Inhibits",17545159,"FIS1","Inhibits"
2321,"FLT1","fms related receptor tyrosine kinase 1","No","Unclear","Inhibits",18583712,"FLT1","Inhibits"
100529261,"FNTB","CHURC1-FNTB readthrough","Yes","Stress-induced","Inhibits",29030460,"FNTB","Inhibits"
2353,"FOS","Fos proto-oncogene, AP-1 transcription factor subunit","No","Unclear","Inhibits",1560044,"FOS","Inhibits"
3169,"FOXA1","forkhead box A1","Yes","Unclear","Induces",27349269,"FOXA1","Induces"
2297,"FOXD1","forkhead box D1","No","Replicative","Unclear",30933975,"FOXD1","Unclear"
2305,"FOXM1","forkhead box M1","Yes","Unclear","Inhibits",25071344,"FOXM1","Inhibits"
2308,"FOXO1","forkhead box O1","No","Unclear","Induces",30088951,"FOXO1","Induces"
2309,"FOXO3","forkhead box O3","No","Unclear","Inhibits",15741276,"FOXO3","Inhibits"
4303,"FOXO4","forkhead box O4","Yes","Oncogene-induced","Induces",20959475,"FOXO4","Induces"
27086,"FOXP1","forkhead box P1","No","Replicative","Inhibits",28240601,"FOXP1","Inhibits"
50943,"FOXP3","forkhead box P3","Yes","Oncogene-induced","Induces",27238838,"FOXP3","Induces"
