"gene_id","ENTREZID","SYMBOL","logFC_1W","FDR_1W","direction_1W","logFC_4W","FDR_4W","direction_4W","direction_persistent","category"
"G10090_12394","78892","Crispld2",1.36067993957807,0.000138343075975239,"Up",1.36628063667651,8.2610580307794e-05,"Up","Up","persistent_direction_consistent"
"G10090_12399","12489","Cd33",1.56037095341114,1.07963613992324e-06,"Up",1.3334670778079,2.15811231539701e-05,"Up","Up","persistent_direction_consistent"
"G10090_12410","13447","Doc2b",1.73409881439622,7.17914503469101e-08,"Up",2.01465027735549,2.09473412057817e-05,"Up","Up","persistent_direction_consistent"
"G10090_12413","71099","Tssk4",2.07000971738317,4.22063004080821e-07,"Up",1.21084442548682,0.00112505870143501,"Up","Up","persistent_direction_consistent"
"G10090_12417","13008","Csrp2",2.59510810008103,6.81883415279447e-11,"Up",1.4553596390543,7.0539673113845e-05,"Up","Up","persistent_direction_consistent"
"G10090_12418","80986","Ckap2",3.13520356693904,1.73782858128053e-09,"Up",1.63274009326087,0.000533881801045469,"Up","Up","persistent_direction_consistent"
"G10090_1242","16172","Il17ra",1.10345672010774,5.91880139848136e-06,"Up",1.00319371382533,4.9496751536808e-05,"Up","Up","persistent_direction_consistent"
"G10090_12448","20288","Msr1",2.02496622264446,1.02346427230988e-07,"Up",1.32908283656813,6.43165000698155e-05,"Up","Up","persistent_direction_consistent"
"G10090_12460","320078","Olfml2b",2.47523802325054,3.09539135578518e-09,"Up",1.56380697386157,9.31586935535236e-06,"Up","Up","persistent_direction_consistent"
"G10090_12496","13078","Cyp1b1",1.18646417461269,0.00188955769178436,"Up",1.99211830805411,0.000108190158186086,"Up","Up","persistent_direction_consistent"
"G10090_12548","19348","Kif20a",2.48163304972896,5.52698936682376e-09,"Up",1.33418404950634,0.00262276088610691,"Up","Up","persistent_direction_consistent"
"G10090_12568","217353","Tmc6",1.04841426918674,1.24874155086523e-06,"Up",1.09405940770105,3.31270834922564e-05,"Up","Up","persistent_direction_consistent"
"G10090_12575","11542","Adora3",1.65141541389555,0.00097400163798166,"Up",1.32540130887577,0.00687654275739429,"Up","Up","persistent_direction_consistent"
"G10090_12588","237988","Cdr2l",2.03231063910693,3.06342259768057e-10,"Up",1.92777986493242,1.47710301898495e-05,"Up","Up","persistent_direction_consistent"
"G10090_12598","78560","Adgra2",1.96531144675117,6.35139360076241e-10,"Up",1.15634780993396,6.30881782845946e-06,"Up","Up","persistent_direction_consistent"
"G10090_126","117600","Srgap1",1.51099947485647,1.58705235182047e-09,"Up",1.22407271110542,7.35808079675892e-05,"Up","Up","persistent_direction_consistent"
"G10090_12604","77629","Sphkap",1.74645815643404,1.0445891083212e-05,"Up",2.6877144549346,7.7713649441161e-05,"Up","Up","persistent_direction_consistent"
"G10090_12624","270893","Tmem132e",2.99051489319171,1.4738838728747e-06,"Up",2.33352980298269,7.01886872959607e-05,"Up","Up","persistent_direction_consistent"
"G10090_12629","244152","Tsku",2.2028372280216,1.84141848313303e-09,"Up",1.90887849683683,1.88327430833776e-05,"Up","Up","persistent_direction_consistent"
"G10090_12639","54427","Dnmt3l",1.20458110745448,0.000178224352936699,"Up",1.12184470385022,0.0429031189942123,"Up","Up","persistent_direction_consistent"
"G10090_12650","77889","Lbh",1.17147881751862,4.42647895392448e-09,"Up",1.36150277165211,2.27247783624488e-06,"Up","Up","persistent_direction_consistent"
"G10090_1266","15234","Hgf",2.23108069941139,4.82869650481918e-06,"Up",1.21658884247636,0.000607705131682011,"Up","Up","persistent_direction_consistent"
"G10090_12667","74013","Rftn2",1.0984072097828,1.09068221284856e-06,"Up",1.00012976944353,2.96003392042928e-05,"Up","Up","persistent_direction_consistent"
"G10090_12751","13516","Epyc",2.45226356657162,0.000688269481230489,"Up",3.32863442712409,1.17874333245269e-05,"Up","Up","persistent_direction_consistent"
"G10090_1276","27419","Naglu",1.2475365919521,5.29772658596976e-08,"Up",1.02634719928407,0.000119368207251485,"Up","Up","persistent_direction_consistent"
"G10090_12799","78339","Ttyh3",1.97459134247291,3.9062853785594e-11,"Up",1.14678090481435,1.96605503805335e-05,"Up","Up","persistent_direction_consistent"
"G10090_1282","240057","Syngap1",1.81574060383331,1.84410205677082e-09,"Up",1.44992577122565,4.35857411746435e-05,"Up","Up","persistent_direction_consistent"
"G10090_12837","13394","Dlx4",1.48877575024279,0.00321505613608614,"Up",2.71316637414569,3.97786753818237e-05,"Up","Up","persistent_direction_consistent"
"G10090_1284","242669","Azin2",1.79199511008199,4.53297004109136e-09,"Up",1.41090525530768,5.25998038385699e-05,"Up","Up","persistent_direction_consistent"
"G10090_12857","226861","Hhat",1.87908173619222,9.66420811233919e-09,"Up",1.45904133279496,1.28315914243982e-05,"Up","Up","persistent_direction_consistent"
"G10090_1286","74577","Glb1l",1.42576337901048,8.64412596301111e-08,"Up",1.05275704679299,0.000167832599431169,"Up","Up","persistent_direction_consistent"
"G10090_12910","72640","Mex3a",2.95403791240031,1.42752706192043e-09,"Up",1.96288345622698,5.59208704940075e-05,"Up","Up","persistent_direction_consistent"
"G10090_12923","16889","Lipa",1.52483345339795,5.31630499981201e-08,"Up",1.05867981899798,3.28224493210722e-05,"Up","Up","persistent_direction_consistent"
"G10090_1304","14563","Gdf5",1.61513184127306,0.000568522512191275,"Up",1.28937725375086,0.00823876843276549,"Up","Up","persistent_direction_consistent"
"G10090_13048","13003","Vcan",2.38937082284523,8.46585560898198e-09,"Up",1.29248293771284,2.29909888126537e-05,"Up","Up","persistent_direction_consistent"
"G10090_13073","331493","Gm5127",1.38633201059539,0.00357016343903767,"Up",1.84932485942248,0.00164161635333444,"Up","Up","persistent_direction_consistent"
