"gene_id","ENTREZID","SYMBOL","logFC","FDR","timepoint","strict_DEG","direction","fdr_source_column"
"G10090_15894","72401","Slc43a1",-0.921132078438102,2.75415916592004e-06,"4W",FALSE,"Down","FDR"
"G10090_4142","27045","Nit1",-0.527378508806321,2.75415916592004e-06,"4W",FALSE,"Down","FDR"
"G10090_33387","68133","Gcsh",-0.694617975164325,2.76439315656003e-06,"4W",FALSE,"Down","FDR"
"G10090_16969","19038","Ppic",1.50588124301718,2.76439315656003e-06,"4W",TRUE,"Up","FDR"
"G10090_9606","214444","Cdk5rap2",0.666963257239739,2.76439315656003e-06,"4W",FALSE,"Up","FDR"
"G10090_14333","545370","Hmcn1",1.75864577486031,2.8069905731064e-06,"4W",TRUE,"Up","FDR"
"G10090_428","16419","Itgb5",0.869096224615044,2.8069905731064e-06,"4W",FALSE,"Up","FDR"
"G10090_24857","69386","H4c8",-1.30101884216517,2.8069905731064e-06,"4W",TRUE,"Down","FDR"
"G10090_2927","108958","Miga2",-0.674262851203142,2.8069905731064e-06,"4W",FALSE,"Down","FDR"
"G10090_15210","17387","Mmp14",2.15578960005984,2.8069905731064e-06,"4W",TRUE,"Up","FDR"
"G10090_23994","69574","Cmbl",-1.41431882122152,2.8069905731064e-06,"4W",TRUE,"Down","FDR"
"G10090_21872","109934","Abr",1.29867546461414,2.8069905731064e-06,"4W",TRUE,"Up","FDR"
"G10090_29362","76238","Grhpr",-0.854639217356059,2.8069905731064e-06,"4W",FALSE,"Down","FDR"
"G10090_26947","93891","Pcdhb20",1.02653931441416,2.8069905731064e-06,"4W",TRUE,"Up","FDR"
"G10090_17868","14634","Gli3",1.45668281753125,2.8069905731064e-06,"4W",TRUE,"Up","FDR"
"G10090_10","229517","Slc25a44",-0.547831033363213,2.8069905731064e-06,"4W",FALSE,"Down","FDR"
"G10090_28532","319622","Itpripl2",1.06712844421385,2.8069905731064e-06,"4W",TRUE,"Up","FDR"
"G10090_33947","12832","Col5a2",2.08519003451158,2.8069905731064e-06,"4W",TRUE,"Up","FDR"
"G10090_24389","227095","Hibch",-1.04256054544045,2.8069905731064e-06,"4W",TRUE,"Down","FDR"
"G10090_5266","108150","Galnt7",0.856369041232934,2.81351103687475e-06,"4W",FALSE,"Up","FDR"
"G10090_11893","244745","Dpy19l1",1.00337360611079,2.84221623355617e-06,"4W",TRUE,"Up","FDR"
"G10090_8732","15227","Foxf1",2.19799221960338,2.86740377238637e-06,"4W",TRUE,"Up","FDR"
"G10090_6317","242509","Bnc2",1.4595546907974,2.87530537108566e-06,"4W",TRUE,"Up","FDR"
"G10090_15985","22234","Ugcg",1.00831442833481,2.9040022383353e-06,"4W",TRUE,"Up","FDR"
"G10090_17286","20193","S100a1",-0.92191150117115,2.9040022383353e-06,"4W",FALSE,"Down","FDR"
"G10090_23832","13850","Ephx2",-1.5321445511979,2.91693907810287e-06,"4W",TRUE,"Down","FDR"
"G10090_12237","54384","Mtmr7",1.98992140133777,2.93128415493107e-06,"4W",TRUE,"Up","FDR"
"G10090_27595","269132","Colgalt2",1.71137328412623,2.97211018990621e-06,"4W",TRUE,"Up","FDR"
"G10090_23911","234407","Colgalt1",0.668169054912976,2.97325364789503e-06,"4W",FALSE,"Up","FDR"
"G10090_32736","18584","Pde8a",0.881198472430028,2.99312795525348e-06,"4W",FALSE,"Up","FDR"
"G10090_1992","72709","C1qtnf6",2.21804869555382,3.00328048080245e-06,"4W",TRUE,"Up","FDR"
"G10090_16418","329679","Fnip2",0.862719167694495,3.00715468110701e-06,"4W",FALSE,"Up","FDR"
"G10090_29354","11761","Aox1",-0.951334578665764,3.00715468110701e-06,"4W",FALSE,"Down","FDR"
"G10090_4194","103844","Inca1",-1.16761872819137,3.03525924601535e-06,"4W",TRUE,"Down","FDR"
"G10090_913","319229","Sctr",-1.18039880672236,3.03525924601535e-06,"4W",TRUE,"Down","FDR"
"G10090_14172","12505","Cd44",1.84868719401649,3.03525924601535e-06,"4W",TRUE,"Up","FDR"
"G10090_33768","11409","Acads",-0.775073697065292,3.03525924601535e-06,"4W",FALSE,"Down","FDR"
"G10090_1705","66253","Aig1",0.985243356888375,3.03525924601535e-06,"4W",FALSE,"Up","FDR"
"G10090_3608","380921","Dgkh",0.810883638132258,3.03525924601535e-06,"4W",FALSE,"Up","FDR"
"G10090_14416","14865","Gstm4",-0.731899773890065,3.03525924601535e-06,"4W",FALSE,"Down","FDR"
"G10090_21280","68259","Ift80",0.745277312087316,3.03525924601535e-06,"4W",FALSE,"Up","FDR"
"G10090_30726","12571","Cdk6",2.02165185588443,3.03525924601535e-06,"4W",TRUE,"Up","FDR"
"G10090_5588","13038","Ctsk",2.00025110458091,3.03525924601535e-06,"4W",TRUE,"Up","FDR"
"G10090_4255","19272","Ptprk",0.616151279338824,3.03525924601535e-06,"4W",FALSE,"Up","FDR"
"G10090_19309","74030","Rin2",1.57067887455965,3.03525924601535e-06,"4W",TRUE,"Up","FDR"
"G10090_10859","20661","Sort1",-0.945218721525786,3.03525924601535e-06,"4W",FALSE,"Down","FDR"
"G10090_21484","66525","Timm50",-0.608526678109272,3.03525924601535e-06,"4W",FALSE,"Down","FDR"
"G10090_10774","108797","Mex3b",2.21153141078076,3.13436890041195e-06,"4W",TRUE,"Up","FDR"
"G10090_6694","108655","Foxp1",1.08257605194477,3.13436890041195e-06,"4W",TRUE,"Up","FDR"
"G10090_8582","14595","B4galt1",0.765194841241871,3.19312153050235e-06,"4W",FALSE,"Up","FDR"
"G10090_22127","65960","Twsg1",0.66814777243813,3.19312153050235e-06,"4W",FALSE,"Up","FDR"
"G10090_17143","53418","B4galt2",1.15214554717226,3.24668862441869e-06,"4W",TRUE,"Up","FDR"
"G10090_18037","100515","Zfp518b",0.72757211689574,3.30657624988132e-06,"4W",FALSE,"Up","FDR"
"G10090_10300","102339","Cog4",-0.621804183802239,3.30657624988132e-06,"4W",FALSE,"Down","FDR"
"G10090_33192","319945","Flad1",-0.732426254471617,3.33873982762093e-06,"4W",FALSE,"Down","FDR"
"G10090_395","213556","Plekhh2",1.26814764269228,3.33873982762093e-06,"4W",TRUE,"Up","FDR"
"G10090_17312","21351","Taldo1",-0.645999373160278,3.37166380423102e-06,"4W",FALSE,"Down","FDR"
"G10090_10664","52665","Echdc1",-1.39619921497096,3.37166380423102e-06,"4W",TRUE,"Down","FDR"
"G10090_21065","18764","Pkd2",1.17384754865221,3.37166380423102e-06,"4W",TRUE,"Up","FDR"
"G10090_5553","19876","Robo1",2.18071504595476,3.47209173486375e-06,"4W",TRUE,"Up","FDR"
"G10090_17402","72039","Mccc1",-0.973101416988526,3.47364168238153e-06,"4W",FALSE,"Down","FDR"
"G10090_18358","11491","Adam17",0.742783215891339,3.47364168238153e-06,"4W",FALSE,"Up","FDR"
