"quant_file","quant_basename","geo_accession","sample_label","tissue","group"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140482_REPAIR10_cartilage_quant.sf.txt.gz","GSM7140482_REPAIR10_cartilage_quant.sf.txt.gz","GSM7140482","REPAIR10","cartilage","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140483_REPAIR11_cartilage_quant.sf.txt.gz","GSM7140483_REPAIR11_cartilage_quant.sf.txt.gz","GSM7140483","REPAIR11","cartilage","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140484_CON12_cartilage_quant.sf.txt.gz","GSM7140484_CON12_cartilage_quant.sf.txt.gz","GSM7140484","CON12","cartilage","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140485_REPAIR12_cartilage_quant.sf.txt.gz","GSM7140485_REPAIR12_cartilage_quant.sf.txt.gz","GSM7140485","REPAIR12","cartilage","Repair_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140486_CON1_synovium_quant.sf.txt.gz","GSM7140486_CON1_synovium_quant.sf.txt.gz","GSM7140486","CON1","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140487_ACLT1_synovium_quant.sf.txt.gz","GSM7140487_ACLT1_synovium_quant.sf.txt.gz","GSM7140487","ACLT1","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140488_ACLT2_synovium_quant.sf.txt.gz","GSM7140488_ACLT2_synovium_quant.sf.txt.gz","GSM7140488","ACLT2","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140489_ACLT3_synovium_quant.sf.txt.gz","GSM7140489_ACLT3_synovium_quant.sf.txt.gz","GSM7140489","ACLT3","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140490_ACLT4_synovium_quant.sf.txt.gz","GSM7140490_ACLT4_synovium_quant.sf.txt.gz","GSM7140490","ACLT4","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140491_CON2_synovium_quant.sf.txt.gz","GSM7140491_CON2_synovium_quant.sf.txt.gz","GSM7140491","CON2","synovium","Control_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140492_ACLT5_synovium_quant.sf.txt.gz","GSM7140492_ACLT5_synovium_quant.sf.txt.gz","GSM7140492","ACLT5","synovium","ACLT_alone_52W"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140493_ACLT6_synovium_quant.sf.txt.gz","GSM7140493_ACLT6_synovium_quant.sf.txt.gz","GSM7140493","ACLT6","synovium","ACLT_alone_52W"
