"gene_id","GSM7140486_CON1_synovium","GSM7140491_CON2_synovium","GSM7140495_CON3_synovium","GSM7140500_CON4_synovium","GSM7140502_CON5_synovium","GSM7140507_CON6_synovium","GSM7140511_CON7_synovium","GSM7140516_CON8_synovium","GSM7140518_CON9_synovium","GSM7140523_CON10_synovium","GSM7140527_CON11_synovium","GSM7140532_CON12_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140501_ACLT12_synovium"
"ENSSSCG00000038940",15.322091,13.616898,16.752378,17.652198,14.282269,21.081124,18.870666,17.57699,16.136818,18.779547,14.733659,18.646839,14.628086,23.865655,15.947536,17.062623,16.30635,10.739281,18.396606,16.607271,15.958378,17.379941,15.961267,22.084544
"ENSSSCG00000038941",10.742092,9.321322,7.79178,6.698099,4.974752,7.156186,8.386737,10.523763,7.516706,5.329634,5.455356,7.242366,4.504997,8.685374,6.200048,3.477509,5.204807,4.975053,8.621599,7.32884,6.382779,5.778176,3.411221,2.715727
"ENSSSCG00000038942",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000038943",41.1151,41.104228,47.653749,38.462855,35.506635,35.60291,39.139104,38.589942,41.69792,40.877354,32.024471,40.952687,44.480783,44.898607,33.631044,38.777374,41.190971,41.037692,51.155069,37.564357,36.371661,49.6162,36.094954,47.447378
"ENSSSCG00000038944",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000038946",0.176886,0.270003,0.19744,0.8144,0.270903,0.290598,0.344407,0.405083,0.40272,0.590872,0.111785,0.826588,0,0.351276,0.063432,0.106637,0.190774,0.694708,0,0.547718,0.642931,0.804744,0,0.099369
"ENSSSCG00000038947",136.4185,132.643571,143.323536,133.622659,129.954574,153.342543,136.884552,130.31079,138.621095,128.065637,130.366142,134.562853,104.487071,119.950182,137.834646,127.500614,128.459152,117.444427,112.433523,118.961755,134.373296,118.412544,108.709368,114.965606
"ENSSSCG00000038948",43.29112,19.298447,37.731044,21.401996,24.374126,21.547825,18.081897,15.973608,26.926758,13.792102,18.113108,14.382998,19.375421,25.352197,31.808276,8.849686,18.132524,14.778272,23.239799,23.577241,28.519942,26.081202,18.703742,19.113115
"ENSSSCG00000038949",4.410158,7.093131,3.05924,4.706578,3.898184,6.205754,6.13499,7.192904,3.860321,4.570902,4.768191,4.298361,4.387132,5.407648,4.417451,1.789385,3.448241,2.100649,3.790084,3.236873,3.36107,5.398808,4.950905,2.722246
"ENSSSCG00000038950",16.005698,18.510925,21.114463,10.299383,12.687836,16.195613,12.014173,11.015482,12.399759,13.577992,15.076804,14.338345,15.412443,13.878127,13.498603,13.345586,13.570681,13.553277,17.958126,14.673676,20.292274,16.225627,10.900754,12.144927
"ENSSSCG00000038952",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000038953",76.690878,73.879525,66.755339,82.929262,76.27377,77.299105,74.256953,104.370406,72.398326,63.199656,77.892148,66.047772,65.608966,68.519215,70.993976,77.855548,76.577453,93.13089,75.073376,69.487827,64.989579,63.468546,80.43918,66.032769
"ENSSSCG00000038954",21.7662,15.449812,22.572459,17.952023,28.011446,21.906698,18.32392,20.619029,22.892244,24.286916,18.573757,25.460412,14.120609,21.039526,18.651432,25.430009,20.175845,27.94555,17.952821,25.243829,23.904973,19.834515,13.389286,18.380856
"ENSSSCG00000038955",22.147646,19.940981,27.180218,22.767412,18.218357,24.893184,26.294332,30.306979,17.2577,17.197315,27.787612,24.980467,23.3245,31.486934,41.201165,32.873023,23.770777,38.459879,20.617982,27.929045,24.631985,30.722478,30.240577,18.558076
"ENSSSCG00000038956",14.84868,10.6957,16.047796,3.110636,4.606414,5.306391,5.860033,3.298442,9.744874,3.37107,6.704708,2.645907,10.364379,12.365936,5.65669,2.103807,5.577405,3.528603,15.907642,7.562039,7.84502,7.745539,13.526164,5.139415
"ENSSSCG00000038958",14.620555,15.408862,18.583794,8.323333,7.549995,11.512158,9.014568,9.796142,11.687119,9.119173,10.730939,6.635291,12.939898,17.526369,13.293934,6.380241,9.632846,6.592162,14.264414,10.570678,14.406135,18.104445,16.514212,6.256048
"ENSSSCG00000038959",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSSSCG00000038960",47.633861,55.263709,47.975452,39.204338,46.673902,47.960913,44.628681,47.410436,53.974641,66.542767,46.468463,55.474357,42.157937,39.479565,32.445789,35.562414,46.214455,35.035859,47.64886,40.073411,46.0539,51.241431,35.063683,37.481486
"ENSSSCG00000038963",13.752917,11.358046,10.84642,11.955723,6.81671,14.4804,12.184889,10.210727,9.560517,13.376177,8.358422,10.773492,11.299929,12.054948,13.7335,11.111839,11.546297,10.128383,15.147687,9.249872,12.344629,12.746904,5.531169,10.825544
