"sample_id","geo_accession","sample_label","tissue","group","sample_number","quant_file","quant_basename","sample_label_from_quant","group_from_quant","has_matching_synovium_quant_file"
"GSM7140510_RECON7_synovium","GSM7140510","RECON7","synovium","Reconstruction_52W",7,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140510_RECON7_synovium_quant.sf.txt.gz","GSM7140510_RECON7_synovium_quant.sf.txt.gz","RECON7","Reconstruction_52W",TRUE
"GSM7140512_RECON8_synovium","GSM7140512","RECON8","synovium","Reconstruction_52W",8,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140512_RECON8_synovium_quant.sf.txt.gz","GSM7140512_RECON8_synovium_quant.sf.txt.gz","RECON8","Reconstruction_52W",TRUE
"GSM7140513_RECON9_synovium","GSM7140513","RECON9","synovium","Reconstruction_52W",9,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140513_RECON9_synovium_quant.sf.txt.gz","GSM7140513_RECON9_synovium_quant.sf.txt.gz","RECON9","Reconstruction_52W",TRUE
"GSM7140514_RECON10_synovium","GSM7140514","RECON10","synovium","Reconstruction_52W",10,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140514_RECON10_synovium_quant.sf.txt.gz","GSM7140514_RECON10_synovium_quant.sf.txt.gz","RECON10","Reconstruction_52W",TRUE
"GSM7140515_RECON11_synovium","GSM7140515","RECON11","synovium","Reconstruction_52W",11,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140515_RECON11_synovium_quant.sf.txt.gz","GSM7140515_RECON11_synovium_quant.sf.txt.gz","RECON11","Reconstruction_52W",TRUE
"GSM7140517_RECON12_synovium","GSM7140517","RECON12","synovium","Reconstruction_52W",12,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140517_RECON12_synovium_quant.sf.txt.gz","GSM7140517_RECON12_synovium_quant.sf.txt.gz","RECON12","Reconstruction_52W",TRUE
"GSM7140519_REPAIR1_synovium","GSM7140519","REPAIR1","synovium","Repair_52W",1,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140519_REPAIR1_synovium_quant.sf.txt.gz","GSM7140519_REPAIR1_synovium_quant.sf.txt.gz","REPAIR1","Repair_52W",TRUE
"GSM7140520_REPAIR2_synovium","GSM7140520","REPAIR2","synovium","Repair_52W",2,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140520_REPAIR2_synovium_quant.sf.txt.gz","GSM7140520_REPAIR2_synovium_quant.sf.txt.gz","REPAIR2","Repair_52W",TRUE
"GSM7140521_REPAIR3_synovium","GSM7140521","REPAIR3","synovium","Repair_52W",3,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140521_REPAIR3_synovium_quant.sf.txt.gz","GSM7140521_REPAIR3_synovium_quant.sf.txt.gz","REPAIR3","Repair_52W",TRUE
"GSM7140522_REPAIR4_synovium","GSM7140522","REPAIR4","synovium","Repair_52W",4,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140522_REPAIR4_synovium_quant.sf.txt.gz","GSM7140522_REPAIR4_synovium_quant.sf.txt.gz","REPAIR4","Repair_52W",TRUE
"GSM7140524_REPAIR5_synovium","GSM7140524","REPAIR5","synovium","Repair_52W",5,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140524_REPAIR5_synovium_quant.sf.txt.gz","GSM7140524_REPAIR5_synovium_quant.sf.txt.gz","REPAIR5","Repair_52W",TRUE
"GSM7140525_REPAIR6_synovium","GSM7140525","REPAIR6","synovium","Repair_52W",6,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140525_REPAIR6_synovium_quant.sf.txt.gz","GSM7140525_REPAIR6_synovium_quant.sf.txt.gz","REPAIR6","Repair_52W",TRUE
"GSM7140526_REPAIR7_synovium","GSM7140526","REPAIR7","synovium","Repair_52W",7,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140526_REPAIR7_synovium_quant.sf.txt.gz","GSM7140526_REPAIR7_synovium_quant.sf.txt.gz","REPAIR7","Repair_52W",TRUE
"GSM7140528_REPAIR8_synovium","GSM7140528","REPAIR8","synovium","Repair_52W",8,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140528_REPAIR8_synovium_quant.sf.txt.gz","GSM7140528_REPAIR8_synovium_quant.sf.txt.gz","REPAIR8","Repair_52W",TRUE
"GSM7140529_REPAIR9_synovium","GSM7140529","REPAIR9","synovium","Repair_52W",9,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140529_REPAIR9_synovium_quant.sf.txt.gz","GSM7140529_REPAIR9_synovium_quant.sf.txt.gz","REPAIR9","Repair_52W",TRUE
"GSM7140530_REPAIR10_synovium","GSM7140530","REPAIR10","synovium","Repair_52W",10,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140530_REPAIR10_synovium_quant.sf.txt.gz","GSM7140530_REPAIR10_synovium_quant.sf.txt.gz","REPAIR10","Repair_52W",TRUE
"GSM7140531_REPAIR11_synovium","GSM7140531","REPAIR11","synovium","Repair_52W",11,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140531_REPAIR11_synovium_quant.sf.txt.gz","GSM7140531_REPAIR11_synovium_quant.sf.txt.gz","REPAIR11","Repair_52W",TRUE
"GSM7140533_REPAIR12_synovium","GSM7140533","REPAIR12","synovium","Repair_52W",12,"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140533_REPAIR12_synovium_quant.sf.txt.gz","GSM7140533_REPAIR12_synovium_quant.sf.txt.gz","REPAIR12","Repair_52W",TRUE
