"sample_id","geo_accession","sample_label","tissue","group","sample_number"
"GSM7140521_REPAIR3_synovium","GSM7140521","REPAIR3","synovium","Repair_52W",3
"GSM7140522_REPAIR4_synovium","GSM7140522","REPAIR4","synovium","Repair_52W",4
"GSM7140523_CON10_synovium","GSM7140523","CON10","synovium","Control_52W",10
"GSM7140524_REPAIR5_synovium","GSM7140524","REPAIR5","synovium","Repair_52W",5
"GSM7140525_REPAIR6_synovium","GSM7140525","REPAIR6","synovium","Repair_52W",6
"GSM7140526_REPAIR7_synovium","GSM7140526","REPAIR7","synovium","Repair_52W",7
"GSM7140527_CON11_synovium","GSM7140527","CON11","synovium","Control_52W",11
"GSM7140528_REPAIR8_synovium","GSM7140528","REPAIR8","synovium","Repair_52W",8
"GSM7140529_REPAIR9_synovium","GSM7140529","REPAIR9","synovium","Repair_52W",9
"GSM7140530_REPAIR10_synovium","GSM7140530","REPAIR10","synovium","Repair_52W",10
"GSM7140531_REPAIR11_synovium","GSM7140531","REPAIR11","synovium","Repair_52W",11
"GSM7140532_CON12_synovium","GSM7140532","CON12","synovium","Control_52W",12
"GSM7140533_REPAIR12_synovium","GSM7140533","REPAIR12","synovium","Repair_52W",12
