"branch","sample_id","group","score_name","score_value"
"untrimmed","INJL2","ACLT_t28","total_score_unoriented",0.0724699652970189
"untrimmed","INJL3","ACLT_t28","total_score_unoriented",0.00549321431096993
"untrimmed","INJL4","ACLT_t28","total_score_unoriented",-0.0255411038570719
"untrimmed","INJL5","ACLT_t28","total_score_unoriented",-0.0237858501611387
"untrimmed","INJL6","ACLT_t28","total_score_unoriented",0.0413076710680277
"trimmed","CON1","Control","total_score_unoriented",-0.396685358450469
"trimmed","CON2","Control","total_score_unoriented",-0.502421410540208
"trimmed","CON3","Control","total_score_unoriented",-0.611965675985316
"trimmed","CON4","Control","total_score_unoriented",-0.456782285702259
"trimmed","CON5","Control","total_score_unoriented",-0.100148042674867
"trimmed","CON6","Control","total_score_unoriented",-0.443452974370956
"trimmed","INJS1","ACLT_t7","total_score_unoriented",0.210167503374604
"trimmed","INJS2","ACLT_t7","total_score_unoriented",0.318950194068169
"trimmed","INJS3","ACLT_t7","total_score_unoriented",0.457500243081001
"trimmed","INJS4","ACLT_t7","total_score_unoriented",0.397807383679352
"trimmed","INJS5","ACLT_t7","total_score_unoriented",0.564490935192776
"trimmed","INJS6","ACLT_t7","total_score_unoriented",0.402154193298335
"trimmed","INJL1","ACLT_t28","total_score_unoriented",0.0475546437692237
"trimmed","INJL2","ACLT_t28","total_score_unoriented",0.0844053165348065
"trimmed","INJL3","ACLT_t28","total_score_unoriented",0.0338029829332849
"trimmed","INJL4","ACLT_t28","total_score_unoriented",-0.00779830578678579
"trimmed","INJL5","ACLT_t28","total_score_unoriented",-0.0220638009603989
"trimmed","INJL6","ACLT_t28","total_score_unoriented",0.024484458539709
