"contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_size","leadingEdge_genes"
"ACLT_untreated_t7_vs_Control","HALLMARK_COMPLEMENT",0.16382252559727,0.234032179424671,0.140406238523342,0.289577078059183,1.15491453059103,152,40,"MMP13;IL6;CASP7;CEBPB;DPP4;HSPA5;S100A12;MMP14;DUSP5;COL4A2;MMP15;XPNPEP1;RABIF;CTSC;PREP;CASP10;GPD2;CASP3;JAK2;ADAM9;LCK;SERPINE1;PFN1;BRPF3;PRDM4;STX4;TIMP1;USP15;CALM3;LYN;GNAI2;GP9;NOTCH4;MMP8;PIM1;ZEB1;FYN;DOCK10;CPM;CD55"
"ACLT_untreated_t7_vs_Control","HALLMARK_DNA_REPAIR",0.0117296957424758,0.0293242393561894,0.380730400722792,0.357425374150034,1.41281892291015,134,37,"TYMS;RAD51;ZWINT;DUT;AAAS;FEN1;LIG1;PCNA;IMPDH2;POLA2;UMPS;POLA1;SSRP1;DCTN4;DGCR8;CLP1;POLD3;ERCC4;SF3A3;SEC61A1;POLR1C;MRPL40;NT5C;POLR2A;DDB1;SDCBP;PNP;RNMT;TP53;RALA;ELL;RFC4;SUPT5H;HCLS1;STX3;CSTF3;PDE4B"
"ACLT_untreated_t7_vs_Control","HALLMARK_E2F_TARGETS",1.8497287814213e-39,9.24864390710651e-38,1.63441895776255,0.74469690301756,3.04050728413698,182,104,"KIF4A;TOP2A;EZH2;CDCA8;KIF22;CCNB2;MYBL2;KIF2C;CIT;DLGAP5;MELK;RACGAP1;MCM4;BUB1B;TK1;SPC24;ASF1B;POLE;CDC20;PLK4;CENPE;CTPS1;MCM2;LMNB1;PLK1;CDCA3;KIF18B;SPAG5;NCAPD2;BIRC5;ESPL1;STMN1;DIAPH3;MCM6;DNMT1;CDK1;SMC4;HMMR;GINS1;E2F8;DDX39A;MCM3;TCF19;TIMELESS;H2AZ1;AURKB;RAD51AP1;UBE2S;TUBB;CKS2;CBX5;NOP56;ATAD2;BRCA1;PRPS1;NOLC1;DUT;UBE2T;CNOT9;MAD2L1;DCLRE1B;HMGB2;LYAR;PSMC3IP;LIG1;MCM7;GSPT1;PCNA;SLBP;SMC1A;CDC25B;NASP;POLA2;SSRP1;RPA1;CENPM;PRKDC;POLD3;MTHFD2;ZW10;MMS22L;SYNCRIP;CHEK1;DCTPP1;ILF3;PRIM2;BRCA2;EIF2S1;CDK4;CHEK2;IPO7;TRIP13;XRCC6;SUV39H1;HELLS;MCM5;PAN2;DONSON;MYC;CDC25A;SPC25;JPT1;PMS2;NUP153"
"ACLT_untreated_t7_vs_Control","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",0.000202218361167522,0.00112343533981957,0.518848077743792,0.403157298788792,1.63292801110191,173,57,"FBN2;SPP1;TNC;IL6;ADAM12;COPA;HTRA1;IGFBP4;P3H1;BMP1;ANPEP;GPX7;COL6A3;COL1A1;SNAI2;MMP1;SERPINH1;MMP14;MCM7;CTHRC1;MMP2;COL16A1;COL5A1;COL4A2;ITGA5;CALU;CDH11;SPOCK1;LOXL2;COL5A2;FAP;MMP3;TNFRSF12A;GJA1;THBS2;PLOD2;PLOD3;COL1A2;ITGB1;TGFBI;COL3A1;CRLF1;INHBA;POSTN;PPIB;COL5A3;SPARC;SERPINE1;TPM1;GADD45A;BGN;PRRX1;VCAN;GADD45B;AMCF-II;SDC1;CALD1"
"ACLT_untreated_t7_vs_Control","HALLMARK_ESTROGEN_RESPONSE_EARLY",0.267702936096718,0.352240705390419,0.106729884364606,0.272612369381,1.08254182249762,150,26,"CA12;B4GALT1;PAPSS2;RAB31;IGFBP4;SYT12;FARP1;STC2;ABHD2;MYOF;SEC14L2;ISG20L2;NAV2;RHOD;SCARB1;BHLHE40;SLC39A6;GJA1;SLC7A5;WFS1;RET;JAK2;RBBP8;IGF1R;KAZN;OLFML3"
"ACLT_untreated_t7_vs_Control","HALLMARK_ESTROGEN_RESPONSE_LATE",0.00462154375479913,0.0128376215411087,0.407017918923954,0.378032462544243,1.49938180821229,141,30,"TOP2A;KIF20A;CA12;CDC20;PLK4;PAPSS2;CDC6;STIL;IDH2;DLG5;ALDH3A2;RAB31;IGFBP4;FARP1;ABHD2;MYOF;CXCL14;GALE;SCARB1;MDK;GFUS;ASS1;LARGE1;SLC7A5;WFS1;RET;JAK2;PLXNB1;RBBP8;BTG3"
"ACLT_untreated_t7_vs_Control","HALLMARK_FATTY_ACID_METABOLISM",0.00415152764141087,0.0122103754159143,0.407017918923954,-0.357966916258989,-1.47992008384307,129,47,"AUH;RETSAT;HPGD;INMT;ALDH1A1;GABARAPL1;ADH1C;LTC4S;ADIPOR2;ACAA2;FMO1;ACAA1;CIDEA;GPD1;BCKDHB;FASN;ECH1;ALAD;ACADL;HADH;GLUL;HIBCH;MGLL;DECR1;MDH1;PCBD1;CBR3;D2HGDH;GRHPR;CRAT;ELOVL5;PTS;PDHB;ACOT8;SERINC1;NTHL1;SDHD;EPHX1;HSD17B4;ECHS1;ADSL;MLYCD;SUCLA2;ENO2;CRYZ;ACO2;IDH3G"
"ACLT_untreated_t7_vs_Control","HALLMARK_G2M_CHECKPOINT",6.2722637284337e-38,1.56806593210842e-36,1.60243114923556,0.737620531600885,3.02156102902316,184,102,"CENPF;TPX2;KIF4A;KIF23;TOP2A;EZH2;KIF15;KIF11;UBE2C;KIF22;CCNB2;MYBL2;NDC80;KIF2C;BUB1;RACGAP1;TTK;POLE;PRC1;CDC20;CCNF;CENPA;PLK4;NEK2;CENPE;MCM2;POLQ;LMNB1;PLK1;NUSAP1;EXO1;CCNA2;BIRC5;ESPL1;CDC6;STMN1;MCM6;E2F1;CDK1;CHAF1A;STIL;SMC4;ODF2;HMMR;PBK;TROAP;DDX39A;MCM3;E2F2;H2AZ1;TRAIP;KPNB1;AURKB;UBE2S;RAD54L;CKS2;NOLC1;SMARCC1;MAD2L1;RBL1;G3BP1;PRMT5;CDC7;LIG3;HIF1A;GSPT1;NSD2;HSPA8;SMC1A;INCENP;CDC25B;NASP;POLA2;DKC1;CDC45;ODC1;FBXO5;UCK2;MAPK14;NUP50;SQLE;FOXN3;E2F3;NCL;DBF4;SLC7A5;HIRA;SYNCRIP;CHEK1;RASAL2;ILF3;UPF1;PRIM2;KIF20B;E2F4;BRCA2;BCL3;SFPQ;CDK4;NUP98;SMC2;SLC38A1"
"ACLT_untreated_t7_vs_Control","HALLMARK_GLYCOLYSIS",0.0474109479642685,0.0884741252926031,0.321775918075361,0.330943199681996,1.32659320800267,156,39,"KIF20A;B4GALT1;CENPA;STMN1;CDK1;HMMR;COPB2;GMPPB;HDLBP;PRPS1;STC2;HK2;HSPA5;CHPF2;COL5A1;PKM;NASP;GALE;GYS1;B4GALT7;GFUS;MDH2;IL13RA1;CHST2;GCLC;SOX9;KDELR3;GFPT1;TPI1;PLOD2;IER3;PYGL;LDHA;TGFBI;SLC25A13;PSMC4;RARS1;P4HA2;CHST1"
"ACLT_untreated_t7_vs_Control","HALLMARK_HEDGEHOG_SIGNALING",0.924731182795699,0.924731182795699,0.0525898950623616,-0.22692193466799,-0.689092702026464,26,4,"VEGFA;TLE1;UNC5C;CNTFR"
