"column_name","core_group","value","Freq"
"manifest__R2_URI","ACLT_untreated_t28","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/002/ERR2508842/ERR2508842_2.fastq.gz",1
"manifest__R2_URI","ACLT_untreated_t28","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/003/ERR2508843/ERR2508843_2.fastq.gz",1
"manifest__R2_URI","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/004/ERR2508834/ERR2508834_2.fastq.gz",1
"manifest__R2_URI","ACLT_untreated_t28","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/004/ERR2508844/ERR2508844_2.fastq.gz",1
"manifest__R2_URI","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/005/ERR2508835/ERR2508835_2.fastq.gz",1
"manifest__R2_URI","ACLT_untreated_t28","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/005/ERR2508845/ERR2508845_2.fastq.gz",1
"manifest__R2_URI","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/006/ERR2508836/ERR2508836_2.fastq.gz",1
"manifest__R2_URI","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/006/ERR2508846/ERR2508846_2.fastq.gz",1
"manifest__R2_URI","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/007/ERR2508837/ERR2508837_2.fastq.gz",1
"manifest__R2_URI","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/007/ERR2508847/ERR2508847_2.fastq.gz",1
"manifest__R2_URI","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/008/ERR2508838/ERR2508838_2.fastq.gz",1
"manifest__R2_URI","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/008/ERR2508848/ERR2508848_2.fastq.gz",1
"manifest__R2_URI","CON_t0","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/009/ERR2508839/ERR2508839_2.fastq.gz",1
"manifest__R2_URI","ACLT_untreated_t7","ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR250/009/ERR2508849/ERR2508849_2.fastq.gz",1
"samplelevel__Assay Name","CON_t0","CON1",1
"samplelevel__Assay Name","CON_t0","CON2",1
"samplelevel__Assay Name","CON_t0","CON3",1
"samplelevel__Assay Name","CON_t0","CON4",1
"samplelevel__Assay Name","CON_t0","CON5",1
"samplelevel__Assay Name","CON_t0","CON6",1
"samplelevel__Assay Name","ACLT_untreated_t28","INJL1",1
"samplelevel__Assay Name","ACLT_untreated_t28","INJL2",1
"samplelevel__Assay Name","ACLT_untreated_t28","INJL3",1
"samplelevel__Assay Name","ACLT_untreated_t28","INJL4",1
"samplelevel__Assay Name","ACLT_untreated_t28","INJL5",1
"samplelevel__Assay Name","ACLT_untreated_t28","INJL6",1
"samplelevel__Assay Name","ACLT_untreated_t7","INJS1",1
"samplelevel__Assay Name","ACLT_untreated_t7","INJS2",1
"samplelevel__Assay Name","ACLT_untreated_t7","INJS3",1
"samplelevel__Assay Name","ACLT_untreated_t7","INJS4",1
"samplelevel__Assay Name","ACLT_untreated_t7","INJS5",1
"samplelevel__Assay Name","ACLT_untreated_t7","INJS6",1
"samplelevel__Comment[ENA_EXPERIMENT]","CON_t0","ERX2528285",1
"samplelevel__Comment[ENA_EXPERIMENT]","CON_t0","ERX2528286",1
"samplelevel__Comment[ENA_EXPERIMENT]","CON_t0","ERX2528287",1
"samplelevel__Comment[ENA_EXPERIMENT]","CON_t0","ERX2528288",1
"samplelevel__Comment[ENA_EXPERIMENT]","CON_t0","ERX2528289",1
"samplelevel__Comment[ENA_EXPERIMENT]","CON_t0","ERX2528290",1
"samplelevel__Comment[ENA_EXPERIMENT]","ACLT_untreated_t28","ERX2528291",1
"samplelevel__Comment[ENA_EXPERIMENT]","ACLT_untreated_t28","ERX2528292",1
"samplelevel__Comment[ENA_EXPERIMENT]","ACLT_untreated_t28","ERX2528293",1
"samplelevel__Comment[ENA_EXPERIMENT]","ACLT_untreated_t28","ERX2528294",1
"samplelevel__Comment[ENA_EXPERIMENT]","ACLT_untreated_t28","ERX2528295",1
"samplelevel__Comment[ENA_EXPERIMENT]","ACLT_untreated_t28","ERX2528296",1
"samplelevel__Comment[ENA_EXPERIMENT]","ACLT_untreated_t7","ERX2528297",1
"samplelevel__Comment[ENA_EXPERIMENT]","ACLT_untreated_t7","ERX2528298",1
"samplelevel__Comment[ENA_EXPERIMENT]","ACLT_untreated_t7","ERX2528299",1
"samplelevel__Comment[ENA_EXPERIMENT]","ACLT_untreated_t7","ERX2528300",1
"samplelevel__Comment[ENA_EXPERIMENT]","ACLT_untreated_t7","ERX2528301",1
"samplelevel__Comment[ENA_EXPERIMENT]","ACLT_untreated_t7","ERX2528302",1
"samplelevel__Comment[ENA_RUN]","CON_t0","ERR2508834",1
"samplelevel__Comment[ENA_RUN]","CON_t0","ERR2508835",1
"samplelevel__Comment[ENA_RUN]","CON_t0","ERR2508836",1
"samplelevel__Comment[ENA_RUN]","CON_t0","ERR2508837",1
"samplelevel__Comment[ENA_RUN]","CON_t0","ERR2508838",1
"samplelevel__Comment[ENA_RUN]","CON_t0","ERR2508839",1
"samplelevel__Comment[ENA_RUN]","ACLT_untreated_t28","ERR2508840",1
"samplelevel__Comment[ENA_RUN]","ACLT_untreated_t28","ERR2508841",1
"samplelevel__Comment[ENA_RUN]","ACLT_untreated_t28","ERR2508842",1
"samplelevel__Comment[ENA_RUN]","ACLT_untreated_t28","ERR2508843",1
"samplelevel__Comment[ENA_RUN]","ACLT_untreated_t28","ERR2508844",1
"samplelevel__Comment[ENA_RUN]","ACLT_untreated_t28","ERR2508845",1
"samplelevel__Comment[ENA_RUN]","ACLT_untreated_t7","ERR2508846",1
"samplelevel__Comment[ENA_RUN]","ACLT_untreated_t7","ERR2508847",1
"samplelevel__Comment[ENA_RUN]","ACLT_untreated_t7","ERR2508848",1
"samplelevel__Comment[ENA_RUN]","ACLT_untreated_t7","ERR2508849",1
"samplelevel__Comment[ENA_RUN]","ACLT_untreated_t7","ERR2508850",1
"samplelevel__Comment[ENA_RUN]","ACLT_untreated_t7","ERR2508851",1
"sdrf__Assay Name","CON_t0","CON1",1
"sdrf__Assay Name","CON_t0","CON2",1
"sdrf__Assay Name","CON_t0","CON3",1
"sdrf__Assay Name","CON_t0","CON4",1
"sdrf__Assay Name","CON_t0","CON5",1
"sdrf__Assay Name","CON_t0","CON6",1
"sdrf__Assay Name","ACLT_untreated_t28","INJL1",1
"sdrf__Assay Name","ACLT_untreated_t28","INJL2",1
"sdrf__Assay Name","ACLT_untreated_t28","INJL3",1
"sdrf__Assay Name","ACLT_untreated_t28","INJL4",1
"sdrf__Assay Name","ACLT_untreated_t28","INJL5",1
"sdrf__Assay Name","ACLT_untreated_t28","INJL6",1
"sdrf__Assay Name","ACLT_untreated_t7","INJS1",1
"sdrf__Assay Name","ACLT_untreated_t7","INJS2",1
"sdrf__Assay Name","ACLT_untreated_t7","INJS3",1
"sdrf__Assay Name","ACLT_untreated_t7","INJS4",1
"sdrf__Assay Name","ACLT_untreated_t7","INJS5",1
"sdrf__Assay Name","ACLT_untreated_t7","INJS6",1
