"","M130L","M135L","M142L","M143L","M147L","M153L","M158L","M160L","M163L","M167L","M174L","M178L","M130R","M135R","M142R","M143R","M147R","M153R","M158R","M160R","M163R","M167R","M174R","M178R","M131L","M137L","M140L","M146L","M150L","M154L","M157L","M161L","M166L","M169L","M173L","M176L","M131R","M137R","M140R","M146R","M150R","M154R","M157R","M161R","M166R","M169R","M173R","M176R"
"Acan",-2.85101641350988,2.71200409633981,4.66976245535753,0.934069480533866,-5.39226420342491,2.42544703291755,1.71894205299199,0.807405250330673,-0.342930143856585,0.903074644446129,2.13934998503741,-0.245754147800027,4.78785265371778,6.33270133078596,7.06207010710558,8.02721644876599,4.90984712349755,4.36899906494292,8.88067071369068,6.08333889059062,5.792662118196,7.84153306039418,7.40411183272425,6.52428867483434,-0.52279673708699,3.2230335314449,2.35922450493552,0.70266394516179,-2.63330502258758,0.144234376925181,-1.29151127169348,4.7484344582625,-1.85240104488424,-0.437483371600782,0.255387803607129,0.157986132042147,4.96909850970302,7.96122350028739,7.14252490197511,4.71742212978089,3.45007703429582,-0.0988557779956494,3.54399920214431,5.27945203351998,7.43626016634676,4.23666036461292,3.5195364193242,5.87327884057936
"Wnt16",-4.07340883484632,-3.16082466319508,-0.0674722732261841,-1.74665200299272,-1.30480136217457,-1.18336220975797,-2.74982743022464,-3.50002327486157,-2.16890074408154,-1.04909683046326,-1.33144149576444,-2.14387453378081,0.155753066006536,1.45857522983354,2.69342700908914,3.35954085919007,1.19438701938327,1.74402690060085,2.6081738662932,2.48733421907788,1.8257913693396,1.8479417402637,3.09602850437047,2.75913845605266,-2.42091712306778,-1.42688441111702,-0.0786968850166632,-1.47365882747867,-1.98122832600789,-0.946913511133015,-2.97956726537874,-0.929455644185811,-3.4373635456054,-5.56676638854575,-2.86799461189815,-1.95749108537779,2.0939244345088,2.48441474558848,2.13882971747583,2.30395168245008,0.564010136224178,-0.609050510314833,1.62018127852122,1.47266655889069,2.96844046843254,2.06384476905415,2.32712315548062,1.81756639877047
"Mmp14",5.64485003157541,5.80440552017705,6.87083458774258,6.81816100325569,5.80929614899157,6.73291855881146,5.53897933357339,5.87978826892541,6.05422337836148,5.75214056829847,6.68301568434019,5.62122618154588,9.22277192251843,9.86690408224437,9.65220414183134,9.82002738973893,8.6329899281681,9.32845930152274,9.78096245383927,9.20735518231543,8.92932099857667,9.96142122961573,9.74309626581275,9.76068734794439,6.46810279570205,6.51719108872436,5.64799495159661,7.05819981323004,5.84653297118046,5.65044924427149,6.93348834700434,6.24916905220689,6.36127673558994,6.28262307334661,6.29356200709771,6.36958544692245,8.74374177311089,10.1471136700884,8.52921431778706,8.82384504006431,8.67900758555718,5.70686477214106,8.12176822541727,8.78900835405247,9.07029236777462,9.03636325013704,8.72191182860306,7.45671184734238
"Gdf3",-5.65837133556748,-5.48275275808244,-1.17936515329708,-4.2491523435219,-5.39226420342491,-3.50529030464533,-3.23525425739489,-5.82195136974894,-5.62833236271883,-2.76530386446266,-2.68507845037914,-3.28137805753075,-0.119881376606892,0.299175408253933,2.32876303232542,2.24322947288833,-0.172395311288355,-0.0722611462267663,1.24693284738101,1.42815628314311,-0.247188076017507,0.852069625886376,1.29675592861072,2.29166287933234,-2.17990902356398,-2.21538030592331,-2.69760671766116,-1.25953402212583,-5.44065994464519,-1.77003574904894,-1.75717484404229,-3.07629703251508,-5.75929164049276,-3.24483829365839,-1.58788669270542,-1.77691883973597,-0.24883716379573,-0.929522719294032,0.895827016464097,0.519680373505519,-1.65389489411996,-2.84608970761568,0.946245147977787,-0.144536278830676,-1.72532524378524,-1.09570108660816,0.166440306343156,0.0571071019373302
"Gpr88",-1.95793161742639,-1.57586216247392,-0.707296708981858,-0.476562839624977,-0.868702247367892,0.103518938030192,-1.46971951103191,-1.17809517997421,-2.16890074408154,-2.40273378507796,-0.428738697119353,-1.69641555680959,1.594123069116,3.40789525949856,2.73196539516729,2.45160747709532,2.07686371590078,2.73509377583084,3.05314864972615,3.14003089634648,1.70437156892474,2.5980752071641,2.62351178608761,2.89944815043844,-0.265638897589865,-0.816830929433037,-0.981399683661748,-0.908061651624448,-1.53376934903667,-2.66312054513242,-0.172212343321136,-0.268942110457478,-0.333026885790662,-1.47930354729541,-0.249084779253659,-1.00640068585874,2.42513034298417,3.38003681816291,2.373075699885,2.8805368346333,2.68363005581842,-2.19401301103599,1.60630910393966,3.11492772911003,3.09229801372619,3.41974442024448,3.66160613671367,1.37472220395361
"Cx3cr1",0.97098528451213,1.23149275958368,2.29689108798157,2.19379115232682,1.2370924166547,3.34019974629904,1.15706316538387,2.95612575978642,0.521414756785849,0.903074644446129,2.96198017143393,2.78471113292702,4.93063559561674,5.39494212219187,5.08957536844599,5.00333033320068,5.1925456725591,5.66431235796804,4.7894303400915,5.28196515395535,4.93703232571501,5.08867157661898,5.55145468377573,5.41332029215449,2.76710968474985,1.84088791372343,1.26322268505817,1.84248691481468,0.17404989947002,1.58480696831116,2.55441130662361,2.80634601684676,2.1294516084055,1.94893344973829,3.16700080945805,3.60118472382309,4.50215904796846,4.49674203540807,4.58504571660896,5.07924539527539,4.62101495092465,2.68194572502064,4.75909605779024,4.75007598699941,4.47238291417061,4.93807712730112,5.20580059281761,4.03130763250527
"Clec4n",-1.57090849431714,-2.67539783602484,-0.352201750159297,0.673679795955636,-0.999946780646145,-0.212508555417486,-1.65029175667373,0.36787318913108,-3.30640426783147,-1.48519594526993,-1.21114726204673,-0.848418650254642,2.50255582953293,3.0314141714722,3.20580150985369,3.24864296907469,2.92249263662925,2.87178244779922,3.77084131359723,3.33457300946148,2.39557887622651,3.90766195184969,3.14609550165708,3.43988174457809,0.861118244696074,0.591974616134293,-1.59807104411024,-0.284625003088656,-0.396265825286734,-1.38301262593969,0.117294273873849,-0.329063102895049,0.0735983736719818,0.908967042420649,0.106010179568903,-0.654928315357358,1.79635160997053,3.2305946642217,2.27274097062776,2.0024624794202,2.14897263694533,-1.74655403406477,1.57815806362551,1.66630762930681,1.79572549311572,2.22156563090934,2.01351565742705,1.22942265080464
"Mfap2",3.29873070599481,2.55616623120986,4.19847508467769,4.26786082670617,3.01287725971144,3.87841398782872,2.81350505452497,3.23604035301024,3.55901971048166,3.18556442820646,4.12370700728491,2.7050328777213,6.28891389682999,6.77672564505291,6.88288368282199,6.93067751390632,6.25298625082976,6.3198073428889,6.73346233973314,6.7266195798897,6.26657675702092,7.22313057821181,7.07606260961038,7.10499121744021,3.91893287981685,3.55160026822818,3.31840560032747,4.61125583228927,3.49303071030705,2.83786356294938,4.18478101848614,3.55305958756453,3.80866443492271,3.81909601209571,3.34424119440212,3.37640965117565,5.21713730070834,6.2639124906094,5.76592558070298,5.30886565080198,5.6335163698252,3.00119139885468,5.4982541980333,5.3243120811275,6.00449939985165,5.85962071730158,5.20580059281761,4.4555636618135
"Tnfsf15",-2.85101641350988,-5.48275275808244,-2.43312174554286,-3.02675992218546,-3.07033610853754,-1.92032780392418,-2.38725735083994,-5.82195136974894,-2.82097744066123,-3.25073069163291,-2.68507845037914,-1.90286643427702,0.456619545366068,1.00891953368512,2.39630577268165,1.14987899655362,0.708960192213026,0.086000937689966,1.04170770918944,0.531004690734859,0.291678010114195,1.50414632246607,0.527185669012589,0.568868185298167,-1.35678678564806,-2.5048869231183,-3.1830335448314,-1.72519759447464,-1.98122832600789,-5.47047546719003,-2.69006064818376,-2.42422033593539,-1.366974217714,-5.56676638854575,-2.21591791531846,-2.40495006234901,0.539658731010559,1.2443067366042,-0.157024865801638,0.788867006320907,0.361701960931063,-3.33151653478592,0.141640836936217,0.1626452306875,0.549681803714631,-0.0726174734951214,0.293352418825375,0.0133857245080124
"Slpi",-3.33644324068012,-3.16082466319508,2.70878887972985,-2.66418984280075,-5.39226420342491,-2.3677867808954,-2.38725735083994,-3.01459644769133,-0.873444860555364,-2.76530386446266,-4.2700409511003,-3.28137805753075,1.48185683686509,3.88301387694247,2.89368045315634,2.27894156960773,1.28933542343853,4.32997856491296,4.28333417598594,4.10378313020963,1.47610258125162,2.66998519320346,3.20740284595678,2.67093268515982,-4.29538624098392,1.06665506184054,0.425775697844125,-2.6580833986161,-3.11873184975783,1.78691237550262,-4.5645297660999,-1.79618911332235,-2.95193671843516,-5.56676638854575,1.84035030432829,-1.34081972492929,0.711270109080758,2.89034481407712,2.23221316404515,1.55018246190286,0.899358746873862,0.127915083851373,2.3516139990186,2.95296024944664,1.6806671158906,1.67120179171215,2.69216360368964,1.61306973093593
"Ccn5",3.55351695897852,2.48879079586833,4.18272006806226,3.80432106974741,3.11156153457085,4.08117422124106,3.53293006738204,4.00618511444517,3.6266962070999,3.46900036511695,3.39529496608488,3.15491706230861,5.8289981210915,7.55938049974008,6.36120197172573,5.49514784652795,5.8997255369372,7.01289375173679,6.44947612027414,6.39513402854406,5.7083247622547,6.51052595830485,6.54362255882326,7.31882579968369,4.79296033385662,4.34060312782608,3.38073473362063,4.62815930674874,3.44503642869421,3.14791003506858,4.58775507620669,3.99132939308109,4.52031894055972,4.44306222882236,3.78203134511678,4.24544897329249,7.68651542799206,8.54150806965628,7.46393350579211,7.18641269210178,7.71669775750409,3.94460787048831,6.3617127760696,7.67769695798091,7.93210039896843,8.06815144589373,7.25451267696202,6.32557054523198
"Cidea",1.28414316977176,2.26544009150702,2.25445582166118,2.91071899325649,1.32198131424122,2.14432515441808,2.44844219691163,4.20733585721931,0.153027350805826,0.87028470932846,3.1478115637856,2.11779303628907,-2.49333977213434,-0.660931864622554,-1.15603530647031,-3.58966054127641,-1.91782248420276,-0.688932506675261,-6.25291303970219,-1.4822921318786,-2.51567691194341,-1.04455263426832,-2.28016925304502,-4.90145174948187,1.94619974558584,1.87208253532703,0.904429296418941,2.72483532616041,1.27358557302093,0.972468028658701,3.94458541885085,2.4694948709254,1.74055424659045,1.76415048956887,1.85603192656055,2.88045215651324,-2.86027187587808,-3.1171497224698,0.597064906155777,1.10052676575444,0.855966151360482,0.946468212513841,0.482677754771284,-1.63486190541376,-0.140362743064083,-1.29500989483157,0.778779245995617,-0.227622374995783
"H2-Q10",4.41443119897673,4.39529815464609,4.80970058623196,3.87458971546542,1.78764488659003,4.54671251196541,5.02113372468948,5.90890932064048,3.03344573505315,3.22500273933349,5.05406457042465,4.23734590352367,-1.00417054327828,1.39703820401478,0.721565313129539,-0.970750708631918,1.64576636572583,2.3622462172503,-0.580487697730695,0.137859797304857,-0.311194688464728,1.87253372844609,-0.283057532369841,0.426953909476701,5.29361565591908,4.38758505984128,1.93000012046849,5.66649812507551,4.40702384307166,3.39445350509976,6.49788071070136,4.89195832618685,4.48390614963263,4.9180565057164,4.38669660376473,5.28345921268603,0.830765920537727,0.31254062470949,0.491131461406712,2.86577051906687,2.51351888816631,3.52237933749912,2.92203493324554,1.09176174453099,2.51040181605282,0.840792480690229,1.47168966008389,2.7631675022641
"Inmt",3.63395029723456,3.50876908799325,2.04136421881672,2.82052118428491,3.33224964969504,3.2994860733105,2.09386933889668,2.83268465877903,3.18865126053655,3.69646789262915,2.44420456656583,2.73208420227581,0.94204637253631,0.271953939518909,-1.75869980892492,-1.873453507277,0.708960192213026,-0.688932506675261,-1.86059561692343,-1.4822921318786,1.87664051083535,-0.29536073776885,-0.695206752323859,-2.09409682742426,3.42571294772327,2.07338092502885,3.0762389422062,1.61719460297244,3.686044528198,2.56844352210227,3.51406583739622,2.62017378342306,4.12792897497563,5.39540664256396,2.12555036596455,3.06339628109603,1.43740867276261,-0.505715010387456,1.93170405279269,0.704598089423303,2.49142813408928,2.70849914406196,2.55306708266268,1.02810310730867,1.86443824319974,2.47757960906536,0.231291450693124,2.02993690077186
"Crhr2",5.17530941308726,5.69528957078238,4.37324197411169,4.58900106590404,5.64322224786725,5.00012430470142,5.22335741518971,4.58637837101845,5.02182185095626,5.68295996331933,5.00375464811397,5.53176179335971,2.93901231244668,2.32258001258888,2.43769740387858,1.99958931784784,2.69168220078119,3.52484678435648,1.13079125277186,1.58936885324885,3.58522430363173,0.343373019393287,3.05849285760215,1.19306584930242,4.49360391366512,5.04372095150861,5.58713477527203,4.45139113724869,5.43815733996904,5.36320528146471,3.41084056739139,4.63303299473692,4.23081232336474,4.91402381255007,5.16778637715559,4.64043730664653,3.75933676764997,2.32395007339524,3.62707278138636,3.08185755431037,3.3752122473373,5.23148901827647,4.12835514618599,4.08526017858904,2.2195332020223,3.65227528837051,3.69072306933042,4.37364193805447
"Gys2",0.0695491189957195,1.05640605302559,0.96447061927657,2.92410837048366,0.716260253353264,1.06759936377525,1.62272673773269,2.70552563631146,-0.342930143856585,0.260231227644473,1.89318939776801,0.373973771081805,-0.823488373826667,-1.01602682344512,-1.46919319172994,-0.168196772838135,-1.91782248420276,-2.0933227617546,-2.79348142106489,-0.879627629423984,-3.1677536085231,-1.24158948132787,-3.37970492659593,-4.16448615531566,1.94619974558584,1.29097236010148,1.75242620297389,2.44090569601527,1.5251243400169,1.09938014114092,3.1791826605069,2.17704397711487,1.87733298005089,0.455601424482706,0.553469156540124,1.39300616170634,-0.0994595397575027,-1.89475730113336,0.518352930141736,0.0243550852690388,-0.0277097306722866,-0.161591533343612,0.733001108855524,-1.77925181474893,0.138613206638733,-0.217007382830296,-1.14722017256061,-1.15100109339287
"Cmbl",6.47252093423914,6.24559295662853,5.46960121585043,6.17816050061306,5.94702909675519,6.22975793664552,6.17286315059695,6.23975733491169,6.14686636617915,6.12474322098244,5.86737718334235,6.33884176797674,4.32915863618381,3.89198170715998,3.74733222257451,4.07364341072654,4.71324755061612,4.47474512015071,3.93814617482947,4.4589185369138,5.12489669384201,3.53656780015845,4.25277103532786,3.77685495016964,6.10371362798136,5.78102898456579,6.41873724357631,5.84646477056194,6.51098904125943,6.1492859961084,6.30917066604677,5.96301372732705,5.95366518120479,7.12650275434746,6.33412921193231,5.818174060094,4.98591496090012,3.53469925805845,4.67094579001461,4.4166725080478,4.88391434248284,5.95619584476353,5.21488981896686,4.99171629292913,4.3269167373959,4.94091568215857,4.41436781978674,5.14012990218645
"Ces1d",7.0005095594804,6.70614511515975,7.42880022603058,8.14629253558866,6.11602578271544,7.83155094836695,7.91207788372316,8.66670472133645,6.7658623473006,6.47139374528103,8.17798929262507,7.7260697588607,3.6227678560629,5.22171118473929,4.61376222997073,5.21077717858519,5.57072654875368,5.79756735516021,3.72579741940417,4.79968081263098,4.51574234615959,5.11209528184783,4.87160840168704,4.393934557953,7.74341846185521,6.88909932002108,6.97960954119704,7.96155303152881,7.0629173740575,6.54668091919308,8.81840942159432,8.11432135485487,7.486409605793,7.83557954007264,7.73708799799258,8.2968289495781,4.88642904489085,3.79107608382253,5.75380801159167,6.32284557832326,6.24329290811983,6.89898431885318,6.64562554083383,6.02300943940392,6.24022819120184,5.45740172712773,6.24828336134603,6.95626108403645
"Prxl2a",5.66749624500794,5.74666693014797,5.99346557932064,6.43120717999181,5.36178816410402,6.20792434835321,6.44528108661029,6.90320183416406,5.10043848682383,5.4490152563381,6.22080992564,5.82662358893516,4.03733257308587,4.21681238532645,3.60665056625357,3.75906761295467,4.57497324204669,4.35157032228391,3.27651751444396,3.95880766398644,4.0788173509504,4.05459929276062,3.7183271563646,3.50652408596279,6.20678255983546,5.75720792225188,5.38758117692979,6.35847167361726,5.8556827400477,5.54284720623542,7.09412802602619,6.04375565837635,5.97837822268469,6.38852025697872,6.112144965741,6.29264939339205,4.17315112565937,3.07705993109594,4.19579267499849,4.61004164876117,4.86898509783034,5.38889875012041,4.93171776756199,4.1564560532807,4.75170440922783,4.36478783881218,4.57446496147687,4.7248806311581
