"gene_id","logFC","logCPM","F","PValue","FDR","comparison","direction","FDR_lt_0_05","strict_DE_FDR_0_05_abslogFC_1","strict_direction"
"ENSSSCG00000014337",0.517772738567963,6.69076662085627,20.8691464542903,0.000457659425913834,0.00265776470219088,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000037647",-0.546716004058505,5.35279989832812,20.8638604291367,0.000458161225473773,0.00265958835967644,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000013761",-0.560398323950806,4.65893083568784,20.8618452900275,0.000458385034997924,0.00265979747468685,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000024975",1.37754952803077,1.62903649152502,20.8780377279917,0.000458725582428161,0.00266068351740887,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000001556",0.40830534575234,6.74948734819568,20.8397907139818,0.000460442822507747,0.00266955060908708,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000038807",-0.650382114744885,4.10600203534563,20.8270382767984,0.000461721787941389,0.00267587046006621,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000016522",3.32962901974722,6.11595528511434,20.7591767050974,0.000468235959974904,0.00271251293950288,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000035045",0.758611812323314,6.32456584308104,20.7563741668155,0.000468459235788918,0.00271269689931081,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000057040",-0.993446213267606,3.48811874011784,20.7468886891777,0.000469529425290409,0.00271778290960905,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000027628",-0.885527181420978,5.41493906244217,20.7397610255044,0.000470076700875056,0.00271983921208917,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000015212",-1.81539560751504,1.98020898676367,20.7372728198772,0.0004719261157127,0.00272942486849926,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000008762",0.752544221420418,2.9115221890564,20.7130037700529,0.000472926430912485,0.00273400785520703,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000013028",-0.88312867260272,3.68222720965049,20.7099591889629,0.000473104578728639,0.00273400785520703,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000022508",0.3889354532995,5.43135589709694,20.7044377576042,0.00047353676109025,0.00273527233695196,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000025488",0.831232740831192,3.54950114047689,20.7038902583691,0.000473709618931315,0.00273527233695196,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000000576",-0.739625791498351,7.16294171641624,20.6940588365376,0.000474551673932652,0.00273901789306524,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000005066",0.541806668456393,5.33650365762295,20.6858766343298,0.000475365059625617,0.00274259499166486,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000060280",-2.45564311412577,1.94446176613865,20.7210934817057,0.000475806434366315,0.00274378276564565,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000007668",-0.584825079963373,6.02913149572317,20.6798101094488,0.000475958363117153,0.00274378276564565,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000020931",0.566784449477786,4.71366969598039,20.6561850424656,0.000478322426395041,0.00275628919750178,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000031631",0.452721851866288,5.45110162348707,20.636360097933,0.000480280690010671,0.00276644802493336,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000008400",0.594376582607386,4.38590815258024,20.6297351150008,0.000480984934614571,0.00276848953158454,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000009393",-0.487642474939691,3.22699883842497,20.6292329474786,0.000481150422282104,0.00276848953158454,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000047147",-0.826708474117925,3.9978108135266,20.6276268974756,0.000481221492993586,0.00276848953158454,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000013629",0.934928863424347,5.66386598507406,20.6225382801752,0.000481663211775788,0.00276907190803245,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000017777",-0.562900063373836,6.01354384487301,20.6219810033797,0.000481713723622702,0.00276907190803245,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000036236",-1.57219116225783,6.52452101389645,20.5978426712789,0.00048413962089451,0.00278188786626768,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000011896",0.774294078048503,2.53974532770031,20.5901935245894,0.000485300797724149,0.00278680047499267,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000017047",0.498646818889889,5.97285810550575,20.5854752645827,0.000485388080472107,0.00278680047499267,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000028345",-0.520909229194727,3.95218445320978,20.5756062549049,0.000486467728778306,0.00279076245009103,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000007149",0.826398440685862,1.99580813244023,20.5824004916055,0.000486472217542697,0.00279076245009103,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000029570",0.605463724654389,6.58173521158179,20.5726535291782,0.000486685640907344,0.00279085644445815,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000026044",-0.384787401910798,5.72152791376019,20.5658952027495,0.000487372448845842,0.00279366384680393,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000056610",-2.4744539488626,13.9221599365168,20.5617536696906,0.000487791864897958,0.00279423446800663,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000026612",-0.576096701634532,4.27084816602901,20.5615618767555,0.000487866551777774,0.00279423446800663,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000029034",-0.730893256722273,7.14963733347756,20.5451743279459,0.000489480980702071,0.00280234786203077,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000009967",0.395321949673699,6.25520508411179,20.5180116214591,0.000492262970217717,0.00281713644855101,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000013830",-0.527212012261943,5.25563124403777,20.5152349500979,0.000492550511114952,0.00281764355389022,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000023933",-1.11969621387213,1.19679257946303,20.5434870047817,0.000492758244635961,0.00281769389464019,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000036135",1.2522896468078,12.9164911555231,20.50703353866,0.000493391606747515,0.00282008846905897,"ACLT_t28_vs_Control_t0","up",TRUE,TRUE,"strict_up"
"ENSSSCG00000026082",0.482706462879946,6.67571116923389,20.5052552986121,0.000493575212849278,0.00282008846905897,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000051794",0.537163041889459,3.49973932646962,20.4905975904913,0.000495209226308606,0.00282828366186899,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000001518",-1.17717221777414,4.57546867104678,20.483895349239,0.000495823280622547,0.00282949437407304,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000035123",-1.07425149946741,3.29082779491779,20.4828816405175,0.000496073521632872,0.00282949437407304,"ACLT_t28_vs_Control_t0","down",TRUE,TRUE,"strict_down"
"ENSSSCG00000010107",-0.833614137016968,5.5635758903237,20.4796872089867,0.00049621987717639,0.00282949437407304,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000010600",-0.58991662635986,5.45807672403519,20.4796839914002,0.000496220278536955,0.00282949437407304,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000034348",-0.718848264281612,3.30701638406375,20.4604793096883,0.000498389071291769,0.00284071742687188,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000006173",-0.784356963591963,2.46525047583782,20.4601026464796,0.000498680467332937,0.00284123497156224,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
"ENSSSCG00000011235",0.513656864415061,5.93494849157804,20.4483071337991,0.000499484749264472,0.00284384194996608,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000011237",0.391167342939004,7.22671014944185,20.4477730857682,0.000499539591324174,0.00284384194996608,"ACLT_t28_vs_Control_t0","up",TRUE,FALSE,"not_strict"
"ENSSSCG00000011347",-0.490962339659948,4.73185360383293,20.4317910833566,0.000501249630250759,0.00285243059978777,"ACLT_t28_vs_Control_t0","down",TRUE,FALSE,"not_strict"
