"sample_id","geo_accession","label_from_sample_id","total_estimated_counts","detected_genes_count_gt0","detected_genes_count_ge1","tissue_from_sample_id","inferred_group_from_sample_id","tpm_sum_gene_level","genes_with_tpm_gt0","effective_length_na_n","effective_length_nonpositive_n","effective_length_median"
"GSM7140486_CON1_synovium","GSM7140486","CON1_synovium",7108677.116,16731,16728,"synovium","Control_52W",981863.043931,16731,0,0,2068.9815
"GSM7140487_ACLT1_synovium","GSM7140487","ACLT1_synovium",10334100.022,16660,16658,"synovium","ACLT_alone_52W",980475.263179,16660,0,0,2037.95531106996
"GSM7140488_ACLT2_synovium","GSM7140488","ACLT2_synovium",10521456.74,16880,16877,"synovium","ACLT_alone_52W",979505.05989,16880,0,0,2062.31214592531
"GSM7140489_ACLT3_synovium","GSM7140489","ACLT3_synovium",18669779.773,16495,16493,"synovium","ACLT_alone_52W",979341.430609,16495,0,0,2065.7685
"GSM7140490_ACLT4_synovium","GSM7140490","ACLT4_synovium",9298836.883,16367,16362,"synovium","ACLT_alone_52W",976777.647923,16367,0,0,2087.92252978312
"GSM7140491_CON2_synovium","GSM7140491","CON2_synovium",8959038.859,16672,16664,"synovium","Control_52W",979800.471957,16672,0,0,2070.90054166667
"GSM7140492_ACLT5_synovium","GSM7140492","ACLT5_synovium",9066421.989,16613,16605,"synovium","ACLT_alone_52W",977392.226415,16613,0,0,2090.1855
"GSM7140493_ACLT6_synovium","GSM7140493","ACLT6_synovium",10831988.018,16291,16289,"synovium","ACLT_alone_52W",975265.836718,16291,0,0,1959.06640140907
"GSM7140494_ACLT7_synovium","GSM7140494","ACLT7_synovium",10627442.631,16710,16701,"synovium","ACLT_alone_52W",986966.072494,16710,0,0,2012.78023897871
"GSM7140495_CON3_synovium","GSM7140495","CON3_synovium",9719015.249,16993,16984,"synovium","Control_52W",978064.348262,16993,0,0,2001.26614240395
"GSM7140496_ACLT8_synovium","GSM7140496","ACLT8_synovium",12200496.595,16912,16905,"synovium","ACLT_alone_52W",978661.867805,16912,0,0,2080.26872828308
"GSM7140497_ACLT9_synovium","GSM7140497","ACLT9_synovium",7706255.524,16517,16516,"synovium","ACLT_alone_52W",979277.1305,16517,0,0,2037.70745999056
"GSM7140498_ACLT10_synovium","GSM7140498","ACLT10_synovium",9007486.319,16511,16511,"synovium","ACLT_alone_52W",974016.532623,16511,0,0,2017.821
"GSM7140499_ACLT11_synovium","GSM7140499","ACLT11_synovium",8387249.214,15741,15737,"synovium","ACLT_alone_52W",988328.28969,15741,0,0,1973.05
"GSM7140500_CON4_synovium","GSM7140500","CON4_synovium",8391254.347,16672,16671,"synovium","Control_52W",981488.074192,16672,0,0,2120.24623850432
"GSM7140501_ACLT12_synovium","GSM7140501","ACLT12_synovium",10569945.072,15555,15555,"synovium","ACLT_alone_52W",982363.945739,15555,0,0,1840.09138113214
"GSM7140502_CON5_synovium","GSM7140502","CON5_synovium",12170230.764,16538,16532,"synovium","Control_52W",973601.740262,16538,0,0,2014.14721161888
"GSM7140503_RECON1_synovium","GSM7140503","RECON1_synovium",14094628.713,16784,16781,"synovium","Reconstruction_52W",984855.826685,16784,0,0,2032.1966341482
"GSM7140504_RECON2_synovium","GSM7140504","RECON2_synovium",17333103.416,16919,16913,"synovium","Reconstruction_52W",976979.006371,16919,0,0,2038.82187739849
"GSM7140505_RECON3_synovium","GSM7140505","RECON3_synovium",17336699.904,16681,16677,"synovium","Reconstruction_52W",983562.087811,16681,0,0,2033.74177209975
"GSM7140506_RECON4_synovium","GSM7140506","RECON4_synovium",16300659.472,16561,16558,"synovium","Reconstruction_52W",980960.397098,16561,0,0,2042.54890538812
"GSM7140507_CON6_synovium","GSM7140507","CON6_synovium",16132991.143,17390,17383,"synovium","Control_52W",978012.259285,17390,0,0,2095.8009900274
"GSM7140508_RECON5_synovium","GSM7140508","RECON5_synovium",15637431.341,16424,16422,"synovium","Reconstruction_52W",986033.348687,16424,0,0,2097.53852505833
"GSM7140509_RECON6_synovium","GSM7140509","RECON6_synovium",8900906.406,16066,16064,"synovium","Reconstruction_52W",984638.562524,16066,0,0,1854.64304908243
"GSM7140510_RECON7_synovium","GSM7140510","RECON7_synovium",13919113.6,16006,16005,"synovium","Reconstruction_52W",983773.525034,16006,0,0,2036.75502366842
"GSM7140511_CON7_synovium","GSM7140511","CON7_synovium",11920148.361,17215,17210,"synovium","Control_52W",979716.821622,17215,0,0,2075.1615
"GSM7140512_RECON8_synovium","GSM7140512","RECON8_synovium",15195224.629,17139,17136,"synovium","Reconstruction_52W",983263.7635,17139,0,0,1951.32909485032
"GSM7140513_RECON9_synovium","GSM7140513","RECON9_synovium",10735154.558,16596,16594,"synovium","Reconstruction_52W",976122.315347,16596,0,0,2095.95851558923
"GSM7140514_RECON10_synovium","GSM7140514","RECON10_synovium",14154126.179,16572,16568,"synovium","Reconstruction_52W",984848.563827,16572,0,0,2001.16093651422
"GSM7140515_RECON11_synovium","GSM7140515","RECON11_synovium",9371263.441,16219,16217,"synovium","Reconstruction_52W",978270.325574,16219,0,0,2053.44782637952
"GSM7140516_CON8_synovium","GSM7140516","CON8_synovium",9996314.29,16810,16803,"synovium","Control_52W",976774.548033,16810,0,0,2150.80078990739
"GSM7140517_RECON12_synovium","GSM7140517","RECON12_synovium",12986421.667,16005,16004,"synovium","Reconstruction_52W",989178.247004,16005,0,0,2009.72110323323
