"quant_file","basename","geo_accession","label_from_filename","tissue_from_filename","inferred_group_from_filename","file_size_bytes"
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140499_ACLT11_synovium_quant.sf.txt.gz","GSM7140499_ACLT11_synovium_quant.sf.txt.gz","GSM7140499","ACLT11_synovium","synovium","ACLT_alone_52W",739742
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140500_CON4_synovium_quant.sf.txt.gz","GSM7140500_CON4_synovium_quant.sf.txt.gz","GSM7140500","CON4_synovium","synovium","Control_52W",765768
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140501_ACLT12_synovium_quant.sf.txt.gz","GSM7140501_ACLT12_synovium_quant.sf.txt.gz","GSM7140501","ACLT12_synovium","synovium","ACLT_alone_52W",737529
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140502_CON5_synovium_quant.sf.txt.gz","GSM7140502_CON5_synovium_quant.sf.txt.gz","GSM7140502","CON5_synovium","synovium","Control_52W",768978
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140503_RECON1_synovium_quant.sf.txt.gz","GSM7140503_RECON1_synovium_quant.sf.txt.gz","GSM7140503","RECON1_synovium","synovium","Reconstruction_52W",776909
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140504_RECON2_synovium_quant.sf.txt.gz","GSM7140504_RECON2_synovium_quant.sf.txt.gz","GSM7140504","RECON2_synovium","synovium","Reconstruction_52W",784900
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140505_RECON3_synovium_quant.sf.txt.gz","GSM7140505_RECON3_synovium_quant.sf.txt.gz","GSM7140505","RECON3_synovium","synovium","Reconstruction_52W",776207
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140506_RECON4_synovium_quant.sf.txt.gz","GSM7140506_RECON4_synovium_quant.sf.txt.gz","GSM7140506","RECON4_synovium","synovium","Reconstruction_52W",777376
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140507_CON6_synovium_quant.sf.txt.gz","GSM7140507_CON6_synovium_quant.sf.txt.gz","GSM7140507","CON6_synovium","synovium","Control_52W",793844
"E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140508_RECON5_synovium_quant.sf.txt.gz","GSM7140508_RECON5_synovium_quant.sf.txt.gz","GSM7140508","RECON5_synovium","synovium","Reconstruction_52W",768486
