"matrix_geo_accession","matrix_sample_id","quant_file","basename","label_from_filename","tissue_from_filename","inferred_group_from_filename","has_matching_synovium_quant_file"
"GSM7140503","GSM7140503_RECON1_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140503_RECON1_synovium_quant.sf.txt.gz","GSM7140503_RECON1_synovium_quant.sf.txt.gz","RECON1_synovium","synovium","Reconstruction_52W",TRUE
"GSM7140504","GSM7140504_RECON2_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140504_RECON2_synovium_quant.sf.txt.gz","GSM7140504_RECON2_synovium_quant.sf.txt.gz","RECON2_synovium","synovium","Reconstruction_52W",TRUE
"GSM7140505","GSM7140505_RECON3_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140505_RECON3_synovium_quant.sf.txt.gz","GSM7140505_RECON3_synovium_quant.sf.txt.gz","RECON3_synovium","synovium","Reconstruction_52W",TRUE
"GSM7140506","GSM7140506_RECON4_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140506_RECON4_synovium_quant.sf.txt.gz","GSM7140506_RECON4_synovium_quant.sf.txt.gz","RECON4_synovium","synovium","Reconstruction_52W",TRUE
"GSM7140507","GSM7140507_CON6_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140507_CON6_synovium_quant.sf.txt.gz","GSM7140507_CON6_synovium_quant.sf.txt.gz","CON6_synovium","synovium","Control_52W",TRUE
"GSM7140508","GSM7140508_RECON5_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140508_RECON5_synovium_quant.sf.txt.gz","GSM7140508_RECON5_synovium_quant.sf.txt.gz","RECON5_synovium","synovium","Reconstruction_52W",TRUE
"GSM7140509","GSM7140509_RECON6_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140509_RECON6_synovium_quant.sf.txt.gz","GSM7140509_RECON6_synovium_quant.sf.txt.gz","RECON6_synovium","synovium","Reconstruction_52W",TRUE
"GSM7140510","GSM7140510_RECON7_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140510_RECON7_synovium_quant.sf.txt.gz","GSM7140510_RECON7_synovium_quant.sf.txt.gz","RECON7_synovium","synovium","Reconstruction_52W",TRUE
"GSM7140511","GSM7140511_CON7_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140511_CON7_synovium_quant.sf.txt.gz","GSM7140511_CON7_synovium_quant.sf.txt.gz","CON7_synovium","synovium","Control_52W",TRUE
"GSM7140512","GSM7140512_RECON8_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140512_RECON8_synovium_quant.sf.txt.gz","GSM7140512_RECON8_synovium_quant.sf.txt.gz","RECON8_synovium","synovium","Reconstruction_52W",TRUE
"GSM7140513","GSM7140513_RECON9_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140513_RECON9_synovium_quant.sf.txt.gz","GSM7140513_RECON9_synovium_quant.sf.txt.gz","RECON9_synovium","synovium","Reconstruction_52W",TRUE
"GSM7140514","GSM7140514_RECON10_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140514_RECON10_synovium_quant.sf.txt.gz","GSM7140514_RECON10_synovium_quant.sf.txt.gz","RECON10_synovium","synovium","Reconstruction_52W",TRUE
"GSM7140515","GSM7140515_RECON11_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140515_RECON11_synovium_quant.sf.txt.gz","GSM7140515_RECON11_synovium_quant.sf.txt.gz","RECON11_synovium","synovium","Reconstruction_52W",TRUE
"GSM7140516","GSM7140516_CON8_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140516_CON8_synovium_quant.sf.txt.gz","GSM7140516_CON8_synovium_quant.sf.txt.gz","CON8_synovium","synovium","Control_52W",TRUE
"GSM7140517","GSM7140517_RECON12_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140517_RECON12_synovium_quant.sf.txt.gz","GSM7140517_RECON12_synovium_quant.sf.txt.gz","RECON12_synovium","synovium","Reconstruction_52W",TRUE
"GSM7140518","GSM7140518_CON9_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140518_CON9_synovium_quant.sf.txt.gz","GSM7140518_CON9_synovium_quant.sf.txt.gz","CON9_synovium","synovium","Control_52W",TRUE
"GSM7140519","GSM7140519_REPAIR1_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140519_REPAIR1_synovium_quant.sf.txt.gz","GSM7140519_REPAIR1_synovium_quant.sf.txt.gz","REPAIR1_synovium","synovium","Repair_52W",TRUE
"GSM7140520","GSM7140520_REPAIR2_synovium","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140520_REPAIR2_synovium_quant.sf.txt.gz","GSM7140520_REPAIR2_synovium_quant.sf.txt.gz","REPAIR2_synovium","synovium","Repair_52W",TRUE
