"geo_accession","label_from_filename","inferred_group_from_filename","quant_file","read_status","error_message","n_transcripts","has_standard_columns","missing_standard_columns","tpm_sum","numreads_sum","effective_length_na_n","effective_length_nonpositive_n"
"GSM7140520","REPAIR2_synovium","Repair_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140520_REPAIR2_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999954,12550451.966,0,0
"GSM7140521","REPAIR3_synovium","Repair_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140521_REPAIR3_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",1000000.000051,13526306.013,0,0
"GSM7140522","REPAIR4_synovium","Repair_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140522_REPAIR4_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999977,17012321.93,0,0
"GSM7140523","CON10_synovium","Control_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140523_CON10_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999945,15311434.941,0,0
"GSM7140524","REPAIR5_synovium","Repair_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140524_REPAIR5_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999999,13206278.996,0,0
"GSM7140525","REPAIR6_synovium","Repair_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140525_REPAIR6_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",1000000.000013,14388470.002,0,0
"GSM7140526","REPAIR7_synovium","Repair_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140526_REPAIR7_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999867,11927583.024,0,0
"GSM7140527","CON11_synovium","Control_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140527_CON11_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",1000000.000025,17481506.933,0,0
"GSM7140528","REPAIR8_synovium","Repair_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140528_REPAIR8_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",1000000.000055,15891428.943,0,0
"GSM7140529","REPAIR9_synovium","Repair_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140529_REPAIR9_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999952,17434828.974,0,0
"GSM7140530","REPAIR10_synovium","Repair_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140530_REPAIR10_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999917,16284350.917,0,0
"GSM7140531","REPAIR11_synovium","Repair_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140531_REPAIR11_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999979,18404485.059,0,0
"GSM7140532","CON12_synovium","Control_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140532_CON12_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999986,12343766.958,0,0
"GSM7140533","REPAIR12_synovium","Repair_52W","E:/R/ACLsenescence2/rebuild_submission/raw data/GSE228848_synovium_quant/GSM7140533_REPAIR12_synovium_quant.sf.txt.gz","PASS",NA,46295,TRUE,"none",999999.999972,14764155.993,0,0
