"panel","timepoint","gene_id","ENTREZID","SYMBOL","label_final","logFC","AveExpr","t","P.Value","FDR","B","strict_DEG","direction","label_score","neg_log10_FDR","DEG_class"
"Figure1D","1W","G10090_3741","26561","Mmp23","Mmp23",2.48020096614291,4.15254559844538,14.1600083946462,1.55471439465641e-13,5.18684455624478e-11,21.0303102773596,TRUE,"Up",25.509106938676,10.2850967671166,"Up strict"
"Figure1D","1W","G10090_8783","72599","Pdia5","Pdia5",2.0827375191169,3.57631573886858,14.1584904914028,1.55848169882276e-13,5.18684455624478e-11,21.0319654774868,TRUE,"Up",21.4211569246217,10.2850967671166,"Up strict"
"Figure1D","1W","G10090_18820","383435","Ms4a14","Ms4a14",2.97741809545019,1.79144729001061,14.1146299615827,1.67152014881741e-13,5.38690409158797e-11,20.7674412937209,TRUE,"Up",30.5740963526266,10.2686607565619,"Up strict"
"Figure1D","1W","G10090_6445","80891","Fcrl2","Fcrl2",2.17331538523794,4.69717865606877,14.1063196376813,1.69387662722003e-13,5.38690409158797e-11,20.9298354263189,TRUE,"Up",22.3170384080249,10.2686607565619,"Up strict"
"Figure1D","1W","G10090_8619","19141","Lgmn","Lgmn",1.59961225281325,7.00471163773449,14.0804043906985,1.76560189671141e-13,5.42689302692082e-11,20.9077568829666,TRUE,"Up",16.420737583534,10.265448739002,"Up strict"
"Figure1D","1W","G10090_2861","72244","1600014C10Rik","1600014C10Rik",-0.988729144472263,5.26763388182197,-14.0745299130125,1.78229314698678e-13,5.42689302692082e-11,20.837587139297,FALSE,"Not_strict",10.1497483493374,10.265448739002,"Not strict"
"Figure1D","1W","G10090_19126","22403","Ccn5","Ccn5",2.84831106531839,4.97876522443958,14.0213252063933,1.94110842488418e-13,5.78733388927448e-11,20.8039960551019,TRUE,"Up",29.1596456591299,10.2375214611156,"Up strict"
"Figure1D","1W","G10090_12417","13008","Csrp2","Csrp2",2.59510810008103,4.0667277078911,13.9067767462318,2.33472764647425e-13,6.81883415279447e-11,20.6279347864653,TRUE,"Up",26.3826211953951,10.1662898723068,"Up strict"
"Figure1D","1W","G10090_17143","53418","B4galt2","B4galt2",1.65684361727996,3.98891400186782,13.8777607370065,2.44697581104451e-13,7.0037341663716e-11,20.5678812000987,TRUE,"Up",16.8247007489331,10.1546703463506,"Up strict"
"Figure1D","1W","G10090_14112","217707","Coq6","Coq6",-1.06689997803166,3.86663833467588,-13.8288120114507,2.64915720158818e-13,7.43374288469186e-11,20.4683277815334,TRUE,"Down",10.8064084575245,10.1287924641833,"Down strict"
"Figure1D","1W","G10090_2628","110842","Etfa","Etfa",-1.16852251711084,6.76509531532327,-13.8100042060842,2.73137032372703e-13,7.51704628901106e-11,20.4630309961512,TRUE,"Down",11.83006678024,10.1239527754157,"Down strict"
"Figure1D","1W","G10090_10600","17357","Marcksl1","Marcksl1",2.5276422811049,3.83003244912982,13.7406985766769,3.05781682611489e-13,8.06808549420564e-11,20.3625783330353,TRUE,"Up",25.5120736583116,10.0932295083937,"Up strict"
"Figure1D","1W","G10090_1651","58859","Efemp2","Efemp2",2.09699816085256,5.57170441802318,13.7380482992609,3.07107359345337e-13,8.06808549420564e-11,20.3326315288452,TRUE,"Up",21.1654837161644,10.0932295083937,"Up strict"
"Figure1D","1W","G10090_9256","244281","Myo16","Myo16",4.2334326586106,-1.13885042670644,13.7231612797259,3.14665193937331e-13,8.06808549420564e-11,18.9431452048946,TRUE,"Up",42.7290074316861,10.0932295083937,"Up strict"
"Figure1D","1W","G10090_10384","226841","Vash2","Vash2",2.69591261045172,1.60311264721519,13.7211321461122,3.15710144417243e-13,8.06808549420564e-11,20.1576080729091,TRUE,"Up",27.210464711862,10.0932295083937,"Up strict"
"Figure1D","1W","G10090_17402","72039","Mccc1","Mccc1",-1.35199417307607,5.05037260409609,-13.701642681488,3.25931419957692e-13,8.18316587897286e-11,20.2291505901843,TRUE,"Down",13.6376715517468,10.0870786452565,"Down strict"
"Figure1D","1W","G10090_14929","545260","Arsi","Arsi",2.28796807836823,4.28981393098179,13.6853193038728,3.34755460490862e-13,8.2598024053185e-11,20.2585822301694,TRUE,"Up",23.0696515555813,10.0830303419419,"Up strict"
"Figure1D","1W","G10090_33113","105785","Kdelr3","Kdelr3",2.40532110510862,4.85805612105815,13.6675229209157,3.44657858571316e-13,8.31505645580612e-11,20.2217041314925,TRUE,"Up",24.2459609713773,10.0801347977539,"Up strict"
"Figure1D","1W","G10090_10005","12896","Cpt2","Cpt2",-1.18348297117176,5.8596071359858,-13.6605581214899,3.48615322023875e-13,8.31505645580612e-11,20.1819445757151,TRUE,"Down",11.9296678802577,10.0801347977539,"Down strict"
"Figure1D","1W","G10090_26526","216197","Ckap4","Ckap4",2.37196801979401,6.13478141782615,13.6383122066349,3.6157345732035e-13,8.41028695765544e-11,20.182911847139,TRUE,"Up",23.8980265423067,10.0751891858905,"Up strict"
"Figure1D","1W","G10090_5280","14081","Acsl1","Acsl1",-1.53381571498251,8.3124616462362,-13.6336336443671,3.64361534046983e-13,8.41028695765544e-11,20.1812302279295,TRUE,"Down",15.4534835047407,10.0751891858905,"Down strict"
"Figure1D","1W","G10090_31451","81840","Sorcs2","Sorcs2",3.03549106071771,4.00244729079732,13.6124885906901,3.77242568974082e-13,8.41321205093056e-11,20.1558551899461,TRUE,"Up",30.5826882855327,10.0750381647646,"Up strict"
"Figure1D","1W","G10090_2822","80884","Maged2","Maged2",1.45180380598263,5.39028353738249,13.5930312368853,3.89511727674095e-13,8.41321205093056e-11,20.0776300772977,TRUE,"Up",14.6269787530255,10.0750381647646,"Up strict"
"Figure1D","1W","G10090_15395","50706","Postn","Postn",4.97092728617747,8.72887820514792,13.5864871286534,3.93730377232148e-13,8.41321205093056e-11,19.9736922754166,TRUE,"Up",50.0822821225077,10.0750381647646,"Up strict"
"Figure1D","1W","G10090_12266","11364","Acadm","Acadm",-1.69983922449781,7.28529704452882,-13.586314112521,3.93842550930485e-13,8.41321205093056e-11,20.1115666345515,TRUE,"Down",17.1259450607792,10.0750381647646,"Down strict"
"Figure1D","1W","G10090_22533","56357","Ivd","Ivd",-1.59311996188837,6.64798085290185,-13.5862525488999,3.9388247321106e-13,8.41321205093056e-11,20.0940531768334,TRUE,"Down",16.0507444170737,10.0750381647646,"Down strict"
"Figure1D","1W","G10090_16467","100129","Gpr153","Gpr153",2.3719707845313,5.06392754675578,13.5613360707247,4.10388851085071e-13,8.63687477629183e-11,20.0444833317383,TRUE,"Up",23.870668076363,10.0636433770747,"Up strict"
"Figure1D","1W","G10090_24559","73230","Bmper","Bmper",1.85992596439469,3.8716737181171,13.5141445690021,4.43641637260378e-13,9.20138474033808e-11,19.9803996233392,TRUE,"Up",18.666490033706,10.0361468096291,"Up strict"
"Figure1D","1W","G10090_24389","227095","Hibch","Hibch",-1.49311563001828,5.03581286423325,-13.3786943437104,5.55464649541517e-13,1.13560779994124e-10,19.692740243907,TRUE,"Down",14.848693962459,9.944771633177,"Down strict"
"Figure1D","1W","G10090_23861","12825","Col3a1","Col3a1",3.29434855580595,12.2721951478529,13.3608738884752,5.72211269954578e-13,1.15336837807323e-10,18.9912505130086,TRUE,"Up",32.7393412343979,9.93803195982348,"Up strict"
"Figure1D","1W","G10090_17412","11640","Akap1","Akap1",-1.35675690663502,5.77241675178791,-13.3221564396465,6.10419867722072e-13,1.19786597333246e-10,19.6150332729453,TRUE,"Down",13.4611881608111,9.92159177151128,"Down strict"
"Figure1D","1W","G10090_3735","17476","Mpeg1","Mpeg1",2.73663193206916,5.38591921165546,13.3215606750056,6.11027992825584e-13,1.19786597333246e-10,19.6540104444802,TRUE,"Up",27.1517448588724,9.92159177151128,"Up strict"
"Figure1D","1W","G10090_932","66904","Pccb","Pccb",-0.911016016766606,6.5797938127579,-13.2897179702188,6.44460240957378e-13,1.24633385247852e-10,19.5963214874068,FALSE,"Not_strict",9.02303570540645,9.90436560866533,"Not strict"
"Figure1D","1W","G10090_30231","320982","Arl4c","Arl4c",2.81228395134172,3.78120654055309,13.2619373598551,6.75171795769006e-13,1.28831780923337e-10,19.57852268978,TRUE,"Up",27.8134235670995,9.8899769896386,"Up strict"
"Figure1D","1W","G10090_13518","11489","Adam12","Adam12",3.97758920559781,4.24843170177376,13.2531174488186,6.85235675054317e-13,1.29031680864504e-10,19.5666691625106,TRUE,"Up",39.3355874301865,9.8893036452402,"Up strict"
"Figure1D","1W","G10090_14937","12036","Bcat2","Bcat2",-1.20595791856152,5.86346476238121,-13.215661720112,7.29733356061049e-13,1.35320310605554e-10,19.437923940941,TRUE,"Down",11.9011609524803,9.86863701403124,"Down strict"
"Figure1D","1W","G10090_587","214951","Rhbdl1","Rhbdl1",-1.70372414739441,4.13572294184894,-13.20933194832,7.37543444010429e-13,1.35320310605554e-10,19.4308205134192,TRUE,"Down",16.8134351826753,9.86863701403124,"Down strict"
"Figure1D","1W","G10090_23782","83433","Trem2","Trem2",2.88858877890269,3.37009409824836,13.1929531857633,7.58156415664703e-13,1.37341474235159e-10,19.4663712151862,TRUE,"Up",28.4878353307199,9.86219829516259,"Up strict"
"Figure1D","1W","G10090_24302","269209","Stk36","Stk36",1.75917149912587,1.01077336376522,13.1779843870037,7.77515971483192e-13,1.390878883487e-10,19.2436875495113,TRUE,"Up",17.3396445145457,9.85671068634396,"Up strict"
"Figure1D","1W","G10090_16358","56620","Clec4n","Clec4n",4.22669596059578,1.02110223534072,13.153675631898,8.10051383526621e-13,1.43119078390734e-10,18.9394680893536,TRUE,"Up",41.608873480828,9.84430246905267,"Up strict"
"Figure1D","1W","G10090_14746","12831","Col5a1","Col5a1",2.97638608671909,8.89026918565945,13.135746221875,8.34948410084576e-13,1.45718862155126e-10,19.3106291100068,TRUE,"Up",29.277174800245,9.83648422860278,"Up strict"
"Figure1D","1W","G10090_31856","74488","Lrrc15","Lrrc15",5.28112209479834,3.3742649245178,13.1252623190838,8.49871831863623e-13,1.46536334768678e-10,19.2828879531532,TRUE,"Up",51.9348434278469,9.83405467542595,"Up strict"
"Figure1D","1W","G10090_3548","217830","Dglucy","Dglucy",-1.27302620570385,4.41158641940534,-13.0983887865804,8.89398163739114e-13,1.51525918110363e-10,19.2246413534929,TRUE,"Down",12.5004974728433,9.81951307587723,"Down strict"
"Figure1D","1W","G10090_24063","11655","Alas1","Alas1",-1.30420377894177,6.46682660627096,-13.0287546368127,1.00091140227979e-12,1.68198546353332e-10,19.1501647153534,TRUE,"Down",12.747519573103,9.77417776188801,"Down strict"
"Figure1D","1W","G10090_24166","68738","Acss1","Acss1",-1.52569949341774,3.83162559478118,-13.020823027895,1.01449967435736e-12,1.68198546353332e-10,19.1238766366911,TRUE,"Down",14.9124580598875,9.77417776188801,"Down strict"
"Figure1D","1W","G10090_17727","80294","Pofut2","Pofut2",1.14557562159324,6.07250543289438,13.0161932788,1.02251928815176e-12,1.68198546353332e-10,19.1197994106993,TRUE,"Up",11.1970597651377,9.77417776188801,"Up strict"
"Figure1D","1W","G10090_9136","72148","Tdrp","Tdrp",-1.7992722140435,3.55206361242278,-12.9294102351719,1.18560518261499e-12,1.92809042822764e-10,18.9875793337816,TRUE,"Down",17.4797003346124,9.71487260136716,"Down strict"
