"st_gene_id","ENTREZID","SYMBOL"
"G10090_24224","100216455","Zfp1005"
"G10090_8712","100216474","Ttll2"
"G10090_27442","100226","Stx12"
"G10090_32328","100233175","Gon7"
"G10090_7859","100233207","Spmip2"
"G10090_23892","100233208","Gm10778"
"G10090_28963","100270744","Btbd18"
"G10090_1810","100271704","Scpppq1"
"G10090_27790","100271882","Zfp1004"
"G10090_14875","100273","Osbpl9"
"G10090_2155","100294583","Alkal2"
"G10090_10658","100302688","Gm17455"
"G10090_6497","100303732","Zfp967"
"G10090_20946","100303744","Sprr2a2"
"G10090_5897","100310872","Dynlt1a"
"G10090_4917","100312470","Vmn1r2"
"G10090_14997","100312471","Vmn1r3"
"G10090_6985","100312956","Pate3"
"G10090_7251","100317","AU040320"
"G10090_25011","100328588","Il4i1b"
"G10090_5814","100336","Ppp1r8"
"G10090_25277","100340","Smpdl3b"
"G10090_33781","100342","Tent5b"
"G10090_3266","100383","Bsdc1"
"G10090_33536","100384868","Pcdha4b"
"G10090_33715","100415785","Krtap9-20"
"G10090_5893","100416706","Zfp729b"
"G10090_21136","100417514","Adh6b"
"G10090_8203","100434","Slc44a1"
"G10090_26695","100463512","Mtrnr2l7"
"G10090_4248","100465","Mob3c"
"G10090_30920","100470","Lao1"
"G10090_9729","100494","Zfand2a"
"G10090_31777","100502590","Tex50"
"G10090_4697","100502698","Rubcn"
"G10090_23895","100502710","Gm19334"
"G10090_29189","100502723","Tsga8"
"G10090_29554","100502736","Gm19345"
"G10090_9771","100502766","Kifc1"
"G10090_10304","100502777",""
"G10090_17903","100502803","Krtap2-20"
"G10090_11724","100502825","Rpl37rt"
"G10090_18446","100502831","Krtap10-33"
"G10090_6030","100502841","Epg5"
"G10090_3576","100502846","Gm19410"
"G10090_6451","100502861","Ccdc13"
"G10090_11695","100502876","Kcnmb3"
"G10090_28767","100502880","Gm19428"
"G10090_32773","100502921","Krtap12-21"
"G10090_9512","100502936","Ube2q2l"
"G10090_14665","100502940","Pou2af3"
"G10090_25816","100502941","Gm17353"
"G10090_18112","100502950","Gm3336"
"G10090_7651","100502953","Krtap12-20"
"G10090_25934","100502955","Gm19470"
"G10090_18862","100502967","Speer4c1"
"G10090_6719","100503041","Pdzd7"
"G10090_14594","100503043","Armcx4"
"G10090_24194","100503071","Gm19536"
"G10090_5932","100503085","Klhl3"
"G10090_21302","100503185","Btbd8"
"G10090_8077","100503240","Trpc5os"
"G10090_25476","100503280","Gm38425"
"G10090_19632","100503311","Cimap3"
"G10090_33657","100503353","Zfp1009"
"G10090_24767","100503355","Zfp648"
"G10090_16274","100503361","Tmem95"
"G10090_27800","100503386","Tpbgl"
"G10090_29138","100503388","Krtap10-34"
"G10090_25355","100503433","Gm15433"
"G10090_3824","100503481","4930453H23Rik"
"G10090_10439","100503545","Nuggc"
"G10090_12788","100503549","Speer4e2"
"G10090_11166","100503572","Bbip1"
"G10090_3981","100503583","Fsbp"
"G10090_20339","100503584","Zfp534"
"G10090_24471","100503605","Hbb-bs"
"G10090_23272","100503609","Lnp1"
"G10090_11176","100503659","Cbarp"
"G10090_10380","100503670","Rpl5"
"G10090_31744","100503710","Gng14"
"G10090_24596","100503724","Dnajc19-ps"
"G10090_18718","100503884","Ccdc149"
"G10090_27779","100503890","Pet100"
"G10090_7672","100503915","Smpd5"
"G10090_21894","100503923","LOC100503923"
"G10090_18315","100503949","Zfp965"
"G10090_15762","100503991","Acp4"
"G10090_16771","100504112","Ccer2"
"G10090_14343","100504156","Fam181a"
"G10090_4018","100504162","Prss51"
"G10090_23464","100504164","Cmtm1"
"G10090_10582","100504180","LOC100504180"
"G10090_11693","100504183","Krtap16-1"
"G10090_1064","100504195",""
"G10090_26351","100504200","Gm8050"
"G10090_28031","100504232","Mptx2"
"G10090_17769","100504234","Ccdc170"
"G10090_28981","100504239","Ccl21e"
"G10090_11506","100504263","2210418O10Rik"
"G10090_8009","100504285","Abhd12b"
"G10090_33628","100504323","Gm20172"
"G10090_28795","100504346","Ccl21f"
"G10090_25682","100504362",""
"G10090_26717","100504446","Prr22"
"G10090_33909","100504474","Smlr1"
"G10090_1165","100504491","Dcdc2b"
"G10090_17162","100504518","3425401B19Rik"
"G10090_16583","100504524","Cisd3b"
"G10090_27074","100504608","Eef1akmt3"
"G10090_32490","100504663","Atg14"
"G10090_23604","100504689","Plscr5"
"G10090_24320","100504710","Nat8f6"
"G10090_25203","100504715","Tmppe"
"G10090_12893","100504950","Gm20997"
"G10090_11700","100505397","Gm20385"
"G10090_18037","100515","Zfp518b"
"G10090_29813","100529082","H2-T27"
"G10090_6931","100532","Rell1"
"G10090_20636","100534273","Fer1l5"
"G10090_19479","100535","Oas1d"
"G10090_20890","100559","Ugt2b38"
"G10090_27475","100561","Slc15a4"
"G10090_14337","100604","Lrrc8c"
"G10090_21513","100608","Noc4l"
"G10090_2874","100609","Nsun5"
"G10090_33703","100637","N4bp2l1"
"G10090_17582","100647","Upk3b"
"G10090_15578","100678","Psph"
"G10090_804","100683","Trrap"
"G10090_19950","100689","Spon2"
"G10090_12014","100702","Gbp6"
"G10090_8498","100705","Acacb"
"G10090_712","100710","Pds5b"
"G10090_2883","100715","Tent2"
"G10090_4318","100727","Ugt2b34"
"G10090_17353","100732","Mapre3"
"G10090_17","100737","Dcun1d4"
"G10090_12883","100756","Usp30"
"G10090_30965","100763","Ube3c"
"G10090_27573","100764","Rita1"
"G10090_8906","100855","Tbc1d14"
"G10090_27084","100859931","Gm20604"
"G10090_398","100861598","Gm21064"
"G10090_25161","100861615","Gm3411"
"G10090_30009","100861618","Ccl19-ps1"
"G10090_9520","100861623","Rhox3a2"
"G10090_5929","100861640","Rhox4a2"
"G10090_17968","100861647","Ccl19-ps6"
"G10090_2611","100861668","Potefam3b"
"G10090_31630","100861679","Gm21129"
"G10090_25893","100861686","Gm21136"
"G10090_14404","100861702","Gm21149"
"G10090_17945","100861719","Gm21162"
"G10090_16743","100861753","Anxa2r1"
"G10090_21889","100861755","Gm21190"
"G10090_23266","100861880","Alyreffm11"
"G10090_26145","100861891","Alyreffm16"
"G10090_12493","100861898","Eif1ad13"
"G10090_15265","100861906","Gm21317"
"G10090_31533","100861908","Eif1ad19"
"G10090_26727","100861909","Mup22"
