"branch","timepoint","pathway","n_genes_in_pathway","n_genes_present_in_rank"
"trimmed","t28","HALLMARK_ADIPOGENESIS",193,175
"trimmed","t28","HALLMARK_ALLOGRAFT_REJECTION",198,143
"trimmed","t28","HALLMARK_ANDROGEN_RESPONSE",97,82
"trimmed","t28","HALLMARK_ANGIOGENESIS",34,31
"trimmed","t28","HALLMARK_APICAL_JUNCTION",194,148
"trimmed","t28","HALLMARK_APICAL_SURFACE",42,29
"trimmed","t28","HALLMARK_APOPTOSIS",159,137
"trimmed","t28","HALLMARK_BILE_ACID_METABOLISM",109,74
"trimmed","t28","HALLMARK_CHOLESTEROL_HOMEOSTASIS",72,66
"trimmed","t28","HALLMARK_COAGULATION",132,96
"trimmed","t28","HALLMARK_COMPLEMENT",188,151
"trimmed","t28","HALLMARK_DNA_REPAIR",145,134
"trimmed","t28","HALLMARK_E2F_TARGETS",200,182
"trimmed","t28","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",195,170
"trimmed","t28","HALLMARK_ESTROGEN_RESPONSE_EARLY",194,149
"trimmed","t28","HALLMARK_ESTROGEN_RESPONSE_LATE",192,138
"trimmed","t28","HALLMARK_FATTY_ACID_METABOLISM",154,128
"trimmed","t28","HALLMARK_G2M_CHECKPOINT",197,184
"trimmed","t28","HALLMARK_GLYCOLYSIS",197,156
"trimmed","t28","HALLMARK_HEDGEHOG_SIGNALING",36,26
"trimmed","t28","HALLMARK_HEME_METABOLISM",189,144
"trimmed","t28","HALLMARK_HYPOXIA",195,166
"trimmed","t28","HALLMARK_IL2_STAT5_SIGNALING",192,159
"trimmed","t28","HALLMARK_IL6_JAK_STAT3_SIGNALING",82,68
"trimmed","t28","HALLMARK_INFLAMMATORY_RESPONSE",196,147
"trimmed","t28","HALLMARK_INTERFERON_ALPHA_RESPONSE",89,77
"trimmed","t28","HALLMARK_INTERFERON_GAMMA_RESPONSE",183,151
"trimmed","t28","HALLMARK_KRAS_SIGNALING_DN",189,76
"trimmed","t28","HALLMARK_KRAS_SIGNALING_UP",197,150
"trimmed","t28","HALLMARK_MITOTIC_SPINDLE",196,182
"trimmed","t28","HALLMARK_MTORC1_SIGNALING",197,182
"trimmed","t28","HALLMARK_MYC_TARGETS_V1",198,176
"trimmed","t28","HALLMARK_MYC_TARGETS_V2",57,53
"trimmed","t28","HALLMARK_MYOGENESIS",195,154
"trimmed","t28","HALLMARK_NOTCH_SIGNALING",32,32
"trimmed","t28","HALLMARK_OXIDATIVE_PHOSPHORYLATION",192,171
"trimmed","t28","HALLMARK_P53_PATHWAY",188,164
"trimmed","t28","HALLMARK_PANCREAS_BETA_CELLS",37,17
"trimmed","t28","HALLMARK_PEROXISOME",102,80
"trimmed","t28","HALLMARK_PI3K_AKT_MTOR_SIGNALING",103,88
"trimmed","t28","HALLMARK_PROTEIN_SECRETION",93,85
"trimmed","t28","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",47,41
"trimmed","t28","HALLMARK_SPERMATOGENESIS",126,62
"trimmed","t28","HALLMARK_TGF_BETA_SIGNALING",53,50
"trimmed","t28","HALLMARK_TNFA_SIGNALING_VIA_NFKB",193,168
"trimmed","t28","HALLMARK_UNFOLDED_PROTEIN_RESPONSE",112,103
"trimmed","t28","HALLMARK_UV_RESPONSE_DN",141,133
"trimmed","t28","HALLMARK_UV_RESPONSE_UP",155,127
"trimmed","t28","HALLMARK_WNT_BETA_CATENIN_SIGNALING",42,36
"trimmed","t28","HALLMARK_XENOBIOTIC_METABOLISM",191,144
