"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000016657","AOAH",0.755530372583142,0.0647506894852085,0.121393615601389,1.18875560272119
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000011496","ADAMTS9",0.853583900291475,0.0648076545274637,0.121484332811937,1.18837369593942
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000010012","SLC35E4",0.417072261451574,0.0648655486734628,0.121555108194073,1.18798590402572
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000033954","VPS33B",0.172831980166305,0.0648711566534171,0.121555108194073,1.18794835852548
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000003743","GALNT1",0.201038387707053,0.0649203857888414,0.121631262475284,1.18761890804687
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000011420","RBM15B",0.333485365309893,0.0649545101718921,0.121679100922455,1.18739068793568
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000009238","COQ2",0.21796419600783,0.064972217558206,0.121696176870461,1.18727231013387
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000006381","CD84",0.639144727107401,0.0651529783183631,0.122018614954554,1.18606572672552
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000015294","ENSSSCG00000015294",0.694720007415418,0.0651815784241864,0.122056038709701,1.18587512695442
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000010174","EXOC8",0.249426475497415,0.0651936307289614,0.122062470012559,1.18579483178931
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000001499","DST",0.420485657800138,0.0653533935891688,0.122280775006207,1.18473185599799
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000016894","ARL15",0.338295639621824,0.0654342995441358,0.122415835469581,1.18419454222732
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000017732","ZNF207",0.158587137417092,0.0654428626218348,0.122415835469581,1.18413771187837
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000030048","PLEKHG2",0.302736024274506,0.0654651442543944,0.122441344674401,1.18398987080443
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000001718","CYP39A1",0.286866717974885,0.0655063917646304,0.122486142964254,1.18371632179944
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000057079","SHAS2",0.611199573217049,0.0655298980611767,0.122497753218755,1.18356050763524
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000011485","PTPRG",0.49027089765939,0.065557441381849,0.122533069376156,1.18337800469623
"ACLT_untreated_t28_vs_Control","trimmed","ENSSSCG00000062483","GVQW3",0.414661749504424,0.0656040927917554,0.122587911649396,1.18306906578549
