"branch","contrast","pathway","pval","padj","log2err","ES","NES","size","leadingEdge_size","leadingEdge_genes"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_INTERFERON_GAMMA_RESPONSE",0.000517412301314427,0.00235187409688376,0.477270815362862,0.399502140544913,1.62594809765512,154,65,"IL6;IL4R;CASP7;SOCS3;PTPN1;AUTS2;ITGB7;SELP;NFKB1;HIF1A;STAT3;TNFAIP6;SLAMF7;TAP1;CIITA;STAT1;NUP93;STAT2;MTHFD2;CASP3;ICAM1;JAK2;TRIM21;NCOA3;ST8SIA4;CMKLR1;PSME2;PTPN2;IL2RB;CD74;RIPK1;ZNFX1;UPP1;PNP;SLA-DMA;BST2;PARP12;PDE4B;IFI30;CSF2RB;MYD88;PIM1;DDX60;CDKN1A;TRIM25;CCL2;IL7;BPGM;OAS2;CD40;MARCHF1;BANK1;HERC6;PSMB9;PSMB8;SP110;FCGR1A;IRF1;WARS1;MX1;TRIM26;NLRC5;UBE2L6;RIGI;PSME1"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_IL6_JAK_STAT3_SIGNALING",0.000574442618965601,0.00239351091235667,0.477270815362862,0.490571215199171,1.75505877295671,68,31,"IL6;IL4R;SOCS3;PTPN1;OSMR;HMOX1;MAP3K8;ITGA4;STAT3;IL1R1;TNFRSF1A;STAT1;IL13RA1;STAT2;TNFRSF12A;IFNAR1;CSF3R;BAK1;CBL;PTPN2;IL10RB;CCR1;TNFRSF21;PTPN11;IL1R2;TLR2;CSF2RB;MYD88;PIM1;ACVR1B;IL7"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.0009990850458329,0.003842634791665,0.45505986738723,0.448343425737507,1.68985290927934,89,28,"E2F1;CDK1;CDK2;PRKCB;CLTC;CALR;HSP90B1;PRKAR2A;TNFRSF1A;RALB;STAT2;PPP2R1B;SLA;LCK;ACTR3;GSK3B;CDK4;AP2M1;CSNK2B;MAPKAP1;RIPK1;PFN1;PTPN11;CFL1;MAP2K3;SMAD2;MYD88;CDKN1A"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_SPERMATOGENESIS",0.00253150772174054,0.00904109900621621,0.431707695803346,0.470171676153354,1.67029336756001,65,22,"EZH2;KIF2C;CCNB2;BUB1;TTK;NCAPH;NEK2;CDK1;IL13RA2;TOPBP1;CHFR;PRKAR2A;IDE;MTOR;MAST2;CSNK2A2;DBF4;ZC3H14;PGS1;SLC2A5;AGFG1;PHF7"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_ESTROGEN_RESPONSE_LATE",0.00314558058438464,0.0104852686146155,0.431707695803346,0.372516763267176,1.48939815522338,141,32,"TOP2A;KIF20A;CA12;CDC20;PLK4;PAPSS2;CDC6;STIL;IDH2;DLG5;ALDH3A2;RAB31;IGFBP4;FARP1;ABHD2;MYOF;CXCL14;GALE;SCARB1;GFUS;MDK;ASS1;SLC7A5;LARGE1;WFS1;JAK2;RET;PLXNB1;BTG3;RBBP8;METTL3;FGFR3"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_ALLOGRAFT_REJECTION",0.00377843219495961,0.0118076006092488,0.431707695803346,0.364005355077348,1.47430006976414,149,41,"IL6;ETS1;IL27RA;IL4R;PRKCB;BRCA1;CCR2;MMP9;HIF1A;EIF3A;SLA-DOA;TAP1;TAP2;STAT1;AARS1;CD2;ICAM1;JAK2;EIF4G3;LCK;BCL3;INHBA;DYRK3;ST8SIA4;IL2RB;RARS1;CD74;GPR65;CCR1;SLA-DMA;TIMP1;NOS2;LYN;NPM1;HCLS1;F2R;CCL19;ELF4;TLR2;CD3E;PTPRC"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_FATTY_ACID_METABOLISM",0.00493541278947748,0.0145159199690514,0.407017918923954,-0.365321243702988,-1.48357921785396,129,42,"AUH;RETSAT;HPGD;INMT;ALDH1A1;GABARAPL1;LTC4S;ADH1C;ADIPOR2;ACAA1;ACAA2;FMO1;CIDEA;GPD1;FASN;BCKDHB;ALAD;ECH1;ACADL;HADH;GLUL;MGLL;HIBCH;DECR1;GRHPR;PCBD1;CBR3;D2HGDH;MDH1;CRAT;ELOVL5;ACOT8;PDHB;PTS;NTHL1;SERINC1;EPHX1;SDHD;HSD17B4;ADSL;ECHS1;MLYCD"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_XENOBIOTIC_METABOLISM",0.00564462874914694,0.0156795243031859,0.407017918923954,-0.347602630908447,-1.4415332012375,148,39,"NDRG2;ESR1;PC;RETSAT;FBP1;GABARAPL1;HACL1;PINK1;MPP2;CAT;ADH1C;DDAH2;CYB5A;PTGR1;ABCD2;TGFB2;FBLN1;FMO1;DHRS7;APOE;ECH1;PROS1;PTGDS;RBP4;MCCC2;ACOX2;ATOH8;PDK4;CSAD;JUP;ELOVL5;PTGES3;NQO1;PTS;CDO1;BCAT1;ARPP19;MAN1A1;EPHX1"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_MYOGENESIS",0.00822551831863807,0.0216461008385212,0.380730400722792,-0.335920621515277,-1.39914749122076,157,43,"SGCA;GSN;PC;CFD;APOD;FOXO4;AKT2;GPX3;PRNP;PPP1R3C;FXYD7;KLF5;LPIN1;DMD;FHL1;FGF2;CTF1;MEF2A;MYBPH;ERBB3;AGL;VIPR1;SORBS1;SCD;MAPRE3;PICK1;CHRNB1;GABARAPL2;BIN1;ITGB5;MRAS;CRAT;HSPB8;NQO1;HBEGF;PKIA;COX7A1;DTNA;CRYAB;SSPN;SGCD;ABLIM1;SH3BGR"
"trimmed","ACLT_untreated_t7_vs_Control","HALLMARK_DNA_REPAIR",0.0111170845393182,0.0277927113482955,0.380730400722792,0.349608962788047,1.39024310038665,134,37,"TYMS;RAD51;ZWINT;DUT;AAAS;FEN1;LIG1;PCNA;POLA2;UMPS;POLA1;IMPDH2;SSRP1;DCTN4;DGCR8;CLP1;POLD3;ERCC4;SF3A3;SEC61A1;NT5C;POLR1C;MRPL40;POLR2A;SDCBP;DDB1;PNP;TP53;RNMT;ELL;RALA;HCLS1;RFC4;SUPT5H;STX3;PDE4B;CSTF3"
