"contrast","branch","gene_id","gene_symbol","logFC","PValue","FDR","rank_stat"
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000000577","GYS2",-4.9367349366627,0.000134509846996933,0.00110528572632104,-3.87124592131292
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000016916","IL6ST",-0.572254824413993,0.000134021837094768,0.00110192235055839,-3.87282443329868
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000033673","SLC25A6",-0.841161216467919,0.000134014891738693,0.00110192235055839,-3.87284694013819
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000004954","C15orf61",-1.01928324413377,0.00013364003176179,0.00110007508802386,-3.87406342981654
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000014441","CSF1R",-1.74554973779203,0.000132793931132738,0.00109439707105391,-3.87682177237605
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000003201","ATF5",-0.683216538593441,0.000132650105374963,0.00109385558036527,-3.87729240068545
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000034448","FLT3LG",-0.782389151719646,0.000131903066563095,0.00109026371783734,-3.87974510759276
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000007935","DNAAF8",-1.73514332138333,0.000131888389095504,0.00109026371783734,-3.87979343624824
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000027266","PNPLA3",-2.84392574160056,0.000131685128719759,0.00108974891981918,-3.88046326740432
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000010756","MGMT",-0.856909020808256,0.000131544263305425,0.00108922695139123,-3.88092808691027
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000003787","ZRANB2",-0.460225558845269,0.000131220719877927,0.00108719084007735,-3.88199758402916
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000008250","ENSSSCG00000008250",-2.40098474276993,0.000130934310243012,0.00108546016105545,-3.88294653529238
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000003341","TAS1R3",-1.04482842169915,0.000129426180663144,0.00107456478501051,-3.88797786456786
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000057932","ENSSSCG00000057932",-1.68930399398376,0.000129123722894346,0.00107299131630067,-3.88899396086579
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000022774","NOP53",-0.649725572870999,0.000128956427429169,0.00107223746844609,-3.88955700693856
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000000182","WNT10B",-0.824355411810808,0.000128773375724027,0.00107198858911286,-3.89017391936267
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000040786","SPTBN1",-0.79046710923108,0.0001285865564355,0.00107107017442586,-3.89080443398622
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000002012","CARMIL3",-1.39989622114832,0.000128365269969083,0.00107050060161233,-3.89155246147751
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000022195","ZKSCAN7",-0.894575215553325,0.000128322633657872,0.00107050060161233,-3.89169673562987
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000009472","FBXL3",-0.572358052101838,0.000127527958901148,0.00106542152776484,-3.89439459118801
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000024377","RPS6KA5",-0.657162284945398,0.00012679634187279,0.00105994171874794,-3.89689327585002
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000030156","APBB1IP",-0.921072038604971,0.000126700702899284,0.00105977493548135,-3.89722097576823
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000036223","ACKR1",-1.72653658254717,0.000126372579536526,0.00105892810213671,-3.89834714953346
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000033169","RPS15",-1.04271145634062,0.00012583156766467,0.00105565824472182,-3.90021039273224
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000050765","ENSSSCG00000050765",-2.99967287756987,0.000125109119417703,0.0010514873289836,-3.90271103268517
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000003262","TFPT",-0.686948107759886,0.000125050439762764,0.0010514873289836,-3.90291477665474
"ACLT_untreated_t28_vs_Control","untrimmed","ENSSSCG00000000915","DCN",-0.845175848820934,0.000124738010101591,0.00105089146657189,-3.90400118836563
