"pathway","NES_untrimmed","pval_untrimmed","padj_untrimmed","size_untrimmed","NES_trimmed","pval_trimmed","padj_trimmed","size_trimmed","contrast","timepoint","delta_NES","abs_delta_NES","direction_same","is_target"
"HALLMARK_ESTROGEN_RESPONSE_LATE",1.49938180821229,0.00462154375479913,0.0128376215411087,141,1.48939815522338,0.00314558058438464,0.0104852686146155,141,"ACLT_untreated_t7_vs_Control","t7",-0.00998365298891013,0.00998365298891013,TRUE,FALSE
"HALLMARK_FATTY_ACID_METABOLISM",-1.47992008384307,0.00415152764141087,0.0122103754159143,129,-1.48357921785396,0.00493541278947748,0.0145159199690514,129,"ACLT_untreated_t7_vs_Control","t7",-0.00365913401088491,0.00365913401088491,TRUE,FALSE
"HALLMARK_G2M_CHECKPOINT",3.02156102902316,6.2722637284337e-38,1.56806593210842e-36,184,3.05731538545748,4.17519735069732e-39,1.04379933767433e-37,184,"ACLT_untreated_t7_vs_Control","t7",0.0357543564343117,0.0357543564343117,TRUE,FALSE
"HALLMARK_GLYCOLYSIS",1.32659320800267,0.0474109479642685,0.0884741252926031,156,1.32908266002253,0.0429170196794978,0.0784928199777992,156,"ACLT_untreated_t7_vs_Control","t7",0.00248945201986572,0.00248945201986572,TRUE,FALSE
"HALLMARK_HEDGEHOG_SIGNALING",-0.689092702026464,0.924731182795699,0.924731182795699,26,-0.700817001587551,0.911157024793388,0.911157024793388,26,"ACLT_untreated_t7_vs_Control","t7",-0.0117242995610876,0.0117242995610876,TRUE,FALSE
"HALLMARK_HEME_METABOLISM",-1.19562852922367,0.0778588807785888,0.130830489192264,145,-1.2147726804429,0.0897435897435897,0.143086080586081,145,"ACLT_untreated_t7_vs_Control","t7",-0.0191441512192383,0.0191441512192383,TRUE,FALSE
"HALLMARK_HYPOXIA",-1.09895221486841,0.191747572815534,0.266316073354908,166,-1.09277091987567,0.235807860262009,0.327510917030568,166,"ACLT_untreated_t7_vs_Control","t7",0.00618129499274001,0.00618129499274001,TRUE,FALSE
"HALLMARK_IL2_STAT5_SIGNALING",1.39946929041908,0.0134724828579379,0.0306192792225862,161,1.39795425438894,0.0138533591727704,0.0329841885065961,161,"ACLT_untreated_t7_vs_Control","t7",-0.00151503603013392,0.00151503603013392,TRUE,FALSE
"HALLMARK_IL6_JAK_STAT3_SIGNALING",1.74205184717466,0.000723061166884388,0.00301275486201828,68,1.75505877295671,0.000574442618965601,0.00239351091235667,68,"ACLT_untreated_t7_vs_Control","t7",0.013006925782048,0.013006925782048,TRUE,FALSE
"HALLMARK_INTERFERON_ALPHA_RESPONSE",0.790168752063529,0.885764499121265,0.903841325633944,77,0.777755631197938,0.905555555555556,0.911157024793388,77,"ACLT_untreated_t7_vs_Control","t7",-0.0124131208655911,0.0124131208655911,TRUE,FALSE
"HALLMARK_INTERFERON_GAMMA_RESPONSE",1.59602780031912,0.000529039937741516,0.00240472698973416,154,1.62594809765512,0.000517412301314427,0.00235187409688376,154,"ACLT_untreated_t7_vs_Control","t7",0.029920297336,0.029920297336,TRUE,FALSE
"HALLMARK_KRAS_SIGNALING_DN",-1.35453691233658,0.0265322208963092,0.0558897681944719,78,-1.37798522136524,0.0331552759471337,0.0663105518942673,78,"ACLT_untreated_t7_vs_Control","t7",-0.0234483090286566,0.0234483090286566,TRUE,FALSE
"HALLMARK_KRAS_SIGNALING_UP",-1.12977204281701,0.162679425837321,0.234032179424671,155,-1.11021327441659,0.194690265486726,0.278128950695322,155,"ACLT_untreated_t7_vs_Control","t7",0.0195587684004255,0.0195587684004255,TRUE,FALSE
"HALLMARK_MITOTIC_SPINDLE",2.48645522903213,1.96899880912761e-18,3.28166468187935e-17,184,2.50056174576949,8.21120054521776e-19,1.36853342420296e-17,184,"ACLT_untreated_t7_vs_Control","t7",0.0141065167373582,0.0141065167373582,TRUE,FALSE
"HALLMARK_MTORC1_SIGNALING",1.98013345311634,6.66021036697621e-09,4.75729311926872e-08,183,1.97806059391187,1.75864449724089e-08,1.25617464088635e-07,183,"ACLT_untreated_t7_vs_Control","t7",-0.00207285920447542,0.00207285920447542,TRUE,FALSE
"HALLMARK_MYC_TARGETS_V1",2.43341438374199,1.92348798135044e-16,2.40435997668804e-15,176,2.4199727655316,7.28550401497166e-16,9.10688001871458e-15,176,"ACLT_untreated_t7_vs_Control","t7",-0.0134416182103947,0.0134416182103947,TRUE,FALSE
"HALLMARK_MYC_TARGETS_V2",2.31947222019232,2.45327156610555e-09,2.04439297175462e-08,53,2.21180401753704,7.23235483721024e-08,4.5202217732564e-07,53,"ACLT_untreated_t7_vs_Control","t7",-0.107668202655284,0.107668202655284,TRUE,FALSE
