"","M130L","M135L","M142L","M143L","M147L","M153L","M158L","M160L","M163L","M167L","M174L","M178L","M130R","M135R","M142R","M143R","M147R","M153R","M158R","M160R","M163R","M167R","M174R","M178R","M131L","M137L","M140L","M146L","M150L","M154L","M157L","M161L","M166L","M169L","M173L","M176L","M131R","M137R","M140R","M146R","M150R","M154R","M157R","M161R","M166R","M169R","M173R","M176R"
"Timp1",-1.26853042231314,-1.15689084398486,-0.524428014645078,-0.719707068406722,-0.982781137153355,-0.141255079458476,-1.27748422999557,-0.56990005880948,-1.35513197253428,-1.58010071912185,-0.188428182200414,-1.1251962145233,0.626765107125981,0.905961777334032,0.849140119978992,0.702142298027885,0.583911419954286,0.847259102077195,1.13187066605147,0.968707830407009,0.59328419852418,0.992642719200612,1.01161703074626,0.943565954086886,-0.508347908698843,-0.51368795828151,-1.01105840131142,-0.499213049418902,-1.4984246292439,-1.33234150864927,-0.871480702538773,-0.211445089813668,-1.24866546609886,-1.16611268406667,-0.785842194294682,-0.538158044863785,1.35675620359978,1.76108417764398,0.909547571485309,1.08643325970235,1.12273986100399,-1.11289500537759,0.655545730524064,1.16995878818896,1.03281155928675,1.07489000711255,1.1301491511918,0.73072205255008
"Clec4d",-1.2906207882503,-1.59089285793922,0.127305619052303,-0.494090626082535,-1.87959787751973,-1.1291065187823,-1.1161431593582,-0.953916791459135,-0.948090342456505,-0.92322752456163,-1.37843315513096,-1.64472983581338,0.834965190969426,1.18344813767699,1.07180191025543,0.901388851705248,0.672576237070808,0.868664769900507,1.37179019466504,1.05826455209208,0.717359943101633,1.27113540478697,1.03395843675243,1.32566102282157,-0.200519621949889,0.148724368147861,-1.09282232826634,-0.430718109593369,-1.35531207337426,-0.141761882915345,-0.756091115087338,-1.26193861250119,-1.09877164979211,0.165919831273247,0.163468251216993,-0.778111383537626,1.21945630479516,1.60263181335506,0.655623570157739,0.789289507330208,0.661695297840167,-0.959305029258542,0.585992038542063,0.719081345726104,0.546447181797535,0.718661055597869,0.59786355141456,0.411026895584905
"C1qtnf6",-1.12402583841175,-1.21826732254913,-0.405582325114622,-0.789643676612107,-1.06799952481505,-0.148689292412395,-1.2118041803905,-0.910107526412557,-0.803921088529078,-1.03994495140443,-0.669105073016614,-1.45181873881279,0.910748877725522,1.35430521780542,1.35890748586792,1.43355838935165,0.921508806566577,1.12588283853789,1.32911606598719,1.12458216930763,0.917578306925087,1.58796346282087,1.34319790330523,1.38321644522611,-0.670061150206188,-0.640752597483475,-0.955031078581236,-0.463923111932771,-1.0306102347885,-1.33103870080748,-0.836881174300587,-0.71098465378175,-0.785944017095809,-0.935411984054157,-1.05960560322488,-0.712827896660731,0.849848218856575,1.57102650733892,0.608773332688704,0.461751294002964,0.716985627439922,-1.05417948341511,0.039089617683158,0.664478026512064,0.932362283263806,0.948618685080541,0.404575491284396,0.0400861712355228
"Ptn",-1.12137562316026,-1.35457351485016,-0.364389190969619,-0.496535163410029,-1.08470427704383,-0.425180896191988,-0.871847915411325,-0.948198986420773,-0.541741059475329,-1.03264398272458,-0.764066512979501,-1.42499287786073,0.882093493486555,1.4137283403889,1.82664014335681,1.8835442832425,1.15608953216011,0.904792278874496,1.87046111705841,1.8273425045068,1.22036669288193,1.84549734851522,1.62492217575571,1.57484582441352,-0.730577085865806,-0.469406754193932,-0.686119946967864,-0.395379594003086,-0.754737930514278,-1.08602582845595,-0.416494230180317,-0.598646676191312,-0.690274485018639,-0.5690124850332,-0.874147903517133,-0.967251120658196,-0.0311214478461888,0.302916130292221,0.124024974487637,-0.0204428550101266,0.348813546559847,-0.903198633060456,-0.139793609394595,0.182989634417534,0.57351781995918,0.454576170016412,0.0122128709068358,-0.26649429487142
"Acan",-1.75650568068609,-0.112089025820117,0.466620048876211,-0.637642596639689,-2,-0.196794664928713,-0.4056359865953,-0.67508426512772,-1.01512088328041,-0.646804602170187,-0.281364324452547,-0.986395872095269,0.501527252366868,0.958181131194148,1.17378094090105,1.45907608151743,0.537588549921353,0.377715050683942,1.71135528935491,0.884470141089185,0.79854672504891,1.40418847939014,1.27488772439584,1.01481392966341,-1.06828905352864,0.0389701537614919,-0.216369898877279,-0.706045565084668,-1.69215067128916,-0.871116120002091,-1.29551938304231,0.489875320292079,-1.46131716914535,-1.04307060990798,-0.838259410997047,-0.867051131367241,0.555103129658685,1.43956871076627,1.19756320170937,0.480708144048339,0.106083714965538,-0.94297303634421,0.13384690167278,0.64684295023949,1.28439070126631,0.338596021278845,0.12661575675384,0.822376851274974
"Wnt16",-1.71679002787469,-1.3239921564699,0.00746007777843541,-0.715298703326567,-0.525115708065785,-0.47284541667104,-1.1470891997027,-1.46999128376681,-0.897044576041996,-0.415054413025982,-0.536582253391797,-0.886272701577344,0.103541558060491,0.664307116643732,1.19581660964137,1.48252780906911,0.550594245065717,0.787172285851588,1.15912163501758,1.10710938488004,0.822365652419641,0.831899697409781,1.36910584178392,1.2241003749049,-1.00551840267633,-0.577663147796668,0.00262873864763762,-0.59779596595613,-0.816265916241952,-0.371072288885727,-1.24597467353481,-0.363558008900219,-1.44302105018267,-2,-1.19795115728769,-0.80604884489427,0.937776483029526,1.10585277424851,0.957104781845364,1.0281771917982,0.279265083789942,-0.225648040174853,0.733866192839193,0.670372358876564,1.3141889250874,0.924829481612905,1.03815074335261,0.818825430013552
"Mmp14",-1.22578006640639,-1.12555467984842,-0.455673208078709,-0.488760320360836,-1.12248261277168,-0.542305685803569,-1.29228314771941,-1.07820271972896,-0.968630642793648,-1.15838510800463,-0.573652366059262,-1.24061947758521,1.02170516733113,1.42631923149616,1.29145464795562,1.39687345894335,0.651231366105336,1.08809309611903,1.37233467099115,1.01202108338108,0.837372854192812,1.48569053683121,1.34854888107132,1.35959878616746,-0.708650713836717,-0.677815716014016,-1.22380457294276,-0.33797902960463,-1.09909216139467,-1.22226289967146,-0.416317011081956,-0.846174776873923,-0.775753909490058,-0.825160506352538,-0.818289173543215,-0.77053476088917,0.720800558420069,1.6023339490408,0.586044322043842,0.771117729990433,0.68013753248503,-1.18682527143219,0.330105510617246,0.749234933274789,0.925924555518143,0.904611851326016,0.707087995812469,-0.0876521808264634
"Gdf3",-1.74236364216467,-1.6671461326451,0.175996561964806,-1.13879456383994,-1.62838984718353,-0.820198144305626,-0.704541593355504,-1.81242503859811,-1.72949793764435,-0.503261645298094,-0.468901067197793,-0.724296436069073,0.629773902609824,0.809256097238088,1.67852931776283,1.64189525880771,0.607282162622069,0.650169667017187,1.21518100120137,1.29279907384386,0.575248390491731,1.04606091978954,1.23652024754055,1.66263930686025,-0.252536792332277,-0.267729157267367,-0.474266929266852,0.141660202220558,-1.64911776320513,-0.0769878989910931,-0.0714795680467182,-0.636460148061826,-1.78558785058921,-0.708646440059134,0.00102661733003021,-0.0799359295849512,0.574542085512877,0.283004179992103,1.06480222830863,0.90369846524062,-0.0272447226920167,-0.537862255401125,1.08639633493105,0.619214197769489,-0.0578383710569909,0.211829916401103,0.752405598079449,0.705578141320777
"Gpr88",-1.3094026713396,-1.12077928454286,-0.691978302499669,-0.57806758987223,-0.771662398947299,-0.291687749499996,-1.06837785297312,-0.924406205191745,-1.41355575309851,-1.52899649185951,-0.554457349343625,-1.18029513757609,0.444206721869361,1.33964562438585,1.00594666312476,0.867537116544809,0.682530342249652,1.00749110942451,1.16451121852694,1.20740400515935,0.498635164535033,0.939846585265468,0.952404337796803,1.08863101310302,-0.473936815251337,-0.746054113491189,-0.827299853974166,-0.791093693537696,-1.09999853662537,-1.65754650265432,-0.427813177639139,-0.475567574241158,-0.507205506058967,-1.0731093837348,-0.465764233471938,-0.839642567181366,0.854465653636741,1.32589222565822,0.828766862611736,1.07929470948149,0.982084050472071,-1.42595339646333,0.450222830014797,1.19501085422282,1.18383881860831,1.3454954215932,1.46489982701097,0.335890985773121
"Cx3cr1",-1.50501812656293,-1.34565086098783,-0.693885999736079,-0.756958104756303,-1.34222523170283,-0.0556346482874759,-1.39118368457468,-0.290594589426333,-1.78004603379366,-1.54656293447219,-0.287013112251605,-0.395458683459164,0.917325579854753,1.20136833720222,1.01455809489091,0.96179709280182,1.07755089691102,1.3661574584786,0.830942279522547,1.13225388858276,0.92123882412578,1.01400519393449,1.29711598882306,1.21261131091118,-0.406226492196272,-0.972849123366697,-1.32623985768214,-0.971870923292039,-1.99254890900714,-1.12950842853646,-0.53634620912542,-0.382223392263099,-0.796318269681603,-0.906751512818076,-0.16159030640163,0.10402473274473,0.655202062120724,0.651888166889509,0.705908560006198,1.00823866172604,0.72791299007542,-0.458326138795143,0.812385070666228,0.806866979422077,0.636986304505867,0.921877988786222,1.08565968686584,0.367155423328791
