"gene_id","ENTREZID_1W","SYMBOL_1W","logFC_1W","FDR_1W","direction_1W","ENTREZID_4W","SYMBOL_4W","logFC_4W","FDR_4W","direction_4W","in_1W","in_4W","direction_relation","category","ENTREZID","SYMBOL","plot_class","label_name","combined_score"
"G10090_4403",102657,"Cd276",2.41675327977846,8.84067537544994e-12,"Up",102657,"Cd276",2.05039783393413,2.13848304914485e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",102657,"Cd276","Persistent_up","Cd276",38.3391563181643
"G10090_4452",26970,"Pla2g2e",1.59810308385904,0.000109428778486749,"Up",26970,"Pla2g2e",2.24424253837484,9.86362862066659e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",26970,"Pla2g2e","Persistent_up","Pla2g2e",15.3202293003639
"G10090_4458",16331,"Inpp5d",1.5713145117051,3.48995904166639e-09,"Up",16331,"Inpp5d",1.00290809938513,4.88407782205143e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",16331,"Inpp5d","Persistent_up","Inpp5d",17.6126440168719
"G10090_4490",74182,"Gpcpd1",-1.62134016946581,2.62843185813348e-06,"Down",74182,"Gpcpd1",-1.05626240519145,0.00258300062952406,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",74182,"Gpcpd1","Persistent_down","Gpcpd1",11.7810454489584
"G10090_4510",216739,"Acsl6",-1.23277157918677,0.000491137247309702,"Down",216739,"Acsl6",-1.00238658763734,0.000925571626657285,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",216739,"Acsl6","Persistent_down","Acsl6",7.11982095637886
"G10090_4518",18596,"Pdgfrb",1.3000590587899,9.06690206741042e-08,"Up",18596,"Pdgfrb",1.30366401198031,1.07182197651267e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",18596,"Pdgfrb","Persistent_up","Pdgfrb",15.6347695569366
"G10090_4527",235534,"Pxylp1",2.03707444438989,9.71993590913826e-09,"Up",235534,"Pxylp1",1.29098707781856,3.1373134787442e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",235534,"Pxylp1","Persistent_up","Pxylp1",22.1356116620435
"G10090_4573",13167,"Dbi",-1.23214791799874,8.11022542792183e-07,"Down",13167,"Dbi",-1.12818732390122,1.65815584942976e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",13167,"Dbi","Persistent_down","Dbi",12.8981304857212
"G10090_4578",319455,"Pld5",-1.35886561296203,0.00030926700116756,"Down",319455,"Pld5",-1.65774477721761,0.000252960910250242,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",319455,"Pld5","Persistent_down","Pld5",10.7319844214029
"G10090_4588",110058,"Syt17",2.51661344841477,8.67300645015681e-09,"Up",110058,"Syt17",1.91282519356282,7.13783177561204e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",110058,"Syt17","Persistent_up","Syt17",28.219913457824
"G10090_4626",329702,"Dcst2",-1.14831019607218,0.000498791007780016,"Down",329702,"Dcst2",-1.09551928630379,0.00272398223319235,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",329702,"Dcst2","Persistent_down","Dcst2",6.60159690915594
"G10090_4650",99326,"Garnl3",1.11292896615279,1.37673063962534e-05,"Up",99326,"Garnl3",1.24563176353924,7.01961658990452e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",99326,"Garnl3","Persistent_up","Garnl3",10.5840797564294
"G10090_4678",20355,"Sema4f",1.87021583692033,5.89225630058189e-06,"Up",20355,"Sema4f",1.47773139040734,0.000324151520542904,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",20355,"Sema4f","Persistent_up","Sema4f",14.9368792353309
"G10090_4684",216350,"Tspan8",-1.65727540666676,1.13701857755842e-05,"Down",216350,"Tspan8",-1.23238418119486,0.000290453249490394,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",216350,"Tspan8","Persistent_down","Tspan8",12.5528037190819
"G10090_4704",239188,"Enox1",1.2387872423617,2.65970839820163e-06,"Up",239188,"Enox1",1.15998119464113,6.79807868953892e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",239188,"Enox1","Persistent_up","Enox1",11.740798133573
"G10090_4749",66959,"Dusp26",-1.49946943739524,6.56130053170491e-05,"Down",66959,"Dusp26",-1.13269895777115,0.0030128624326819,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",66959,"Dusp26","Persistent_down","Dusp26",9.12785327241015
"G10090_4755",56489,"Ikbke",1.83107587776503,1.66898865368723e-08,"Up",56489,"Ikbke",1.09959610778232,0.000131115912678818,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",56489,"Ikbke","Persistent_up","Ikbke",18.5102890049827
"G10090_4761",19016,"Pparg",-1.45576962863612,0.000125732609514865,"Down",19016,"Pparg",-1.15131720599084,0.000423029846577313,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",19016,"Pparg","Persistent_down","Pparg",9.56242234262466
"G10090_4762",53871,"Pkd2l2",-1.56188957982284,3.26891173025872e-07,"Down",53871,"Pkd2l2",-1.30805110725063,1.42448873754275e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",53871,"Pkd2l2","Persistent_down","Pkd2l2",16.4690477559947
"G10090_4778",67052,"Ndc80",2.72546764400321,8.6384043301263e-07,"Up",67052,"Ndc80",1.13438454680867,0.0091250748929521,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",67052,"Ndc80","Persistent_up","Ndc80",18.8399304915515
"G10090_4781",54486,"Hpgds",2.05156970920294,4.3506183246762e-08,"Up",54486,"Hpgds",1.57059395804581,1.60681467949022e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",54486,"Hpgds","Persistent_up","Hpgds",22.6320069793312
"G10090_4807",13869,"Erbb4",-2.13072647232578,8.41595236748946e-08,"Down",13869,"Erbb4",-1.46150528497635,0.00080627353647533,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",13869,"Erbb4","Persistent_down","Erbb4",19.5958620675009
"G10090_4819",68792,"Srpx2",2.46749905506701,5.56403259535463e-10,"Up",68792,"Srpx2",1.60320419985762,2.13963887178402e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",68792,"Srpx2","Persistent_up","Srpx2",30.3221600107993
"G10090_4840",15251,"Hif1a",1.7628766892618,1.92898868909224e-09,"Up",15251,"Hif1a",1.18436287018642,3.50122417820682e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",15251,"Hif1a","Persistent_up","Hif1a",21.8245125157577
"G10090_4865",55987,"Cpxm2",1.45589684658988,1.85197678543716e-05,"Up",55987,"Cpxm2",1.05439292264832,9.93164113958152e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",55987,"Cpxm2","Persistent_up","Cpxm2",11.1105472037287
"G10090_4870",13844,"Ephb2",2.95034367070343,3.64081116591293e-09,"Up",13844,"Ephb2",1.95069819724753,3.96902797038139e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",13844,"Ephb2","Persistent_up","Ephb2",33.4830044890616
"G10090_4876",70370,"Fbln7",1.99855270461422,2.70969591479223e-07,"Up",70370,"Fbln7",2.53132802332902,1.74974397775968e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",70370,"Fbln7","Persistent_up","Fbln7",27.6975743433991
"G10090_4970",230718,"Nt5c1a",-1.94155363284755,1.65875813546264e-05,"Down",230718,"Nt5c1a",-1.09011601078691,0.00094851807774379,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",230718,"Nt5c1a","Persistent_down","Nt5c1a",12.5764185319067
"G10090_4973",207792,"BC034090",1.49020157582418,9.21195464921142e-08,"Up",207792,"BC034090",1.20906446783557,0.000163308403203178,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",207792,"BC034090","Persistent_up","BC034090",15.0632508711145
"G10090_5000",16516,"Kcnj15",2.88528336724525,1.45391218541128e-06,"Up",16516,"Kcnj15",2.66872545498204,0.000373059207198598,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",16516,"Kcnj15","Persistent_up","Kcnj15",25.991715455778
"G10090_5007",11539,"Adora1",-1.0473717809156,0.000579005393839964,"Down",11539,"Adora1",-1.13454946005186,9.7562559346872e-06,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",11539,"Adora1","Persistent_down","Adora1",9.07558093807469
"G10090_5034",239096,"Cdh24",2.28859303774442,2.30824118411676e-08,"Up",239096,"Cdh24",1.07457348202231,0.000928491950605546,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",239096,"Cdh24","Persistent_up","Cdh24",20.7356867090869
"G10090_5048",67622,"Mxra7",1.2346941955983,1.36677137548975e-07,"Up",67622,"Mxra7",1.07805015444137,1.72704801730143e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",67622,"Mxra7","Persistent_up","Mxra7",13.6097411739927
"G10090_5060",21827,"Thbs3",2.33890927825084,9.03365901684196e-09,"Up",21827,"Thbs3",2.16236803261168,2.19235194857039e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",21827,"Thbs3","Persistent_up","Thbs3",31.0515397578465
"G10090_5064",12950,"Hapln1",1.93802875515744,0.0254533681774443,"Up",12950,"Hapln1",2.83190260801523,0.00394348689825924,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",12950,"Hapln1","Persistent_up","Hapln1",9.89794408886307
"G10090_5066",18111,"Nnat",-2.04549884003467,1.27693802942806e-05,"Down",18111,"Nnat",-1.23741430296211,0.00083145230157645,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",18111,"Nnat","Persistent_down","Nnat",13.8217612851926
"G10090_5069",69137,"Vstm5",2.08173152362692,1.09039972804066e-07,"Up",69137,"Vstm5",1.15970835659736,0.00879367336568496,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",69137,"Vstm5","Persistent_up","Vstm5",16.878040105012
"G10090_5072",11829,"Aqp4",-2.89478641886098,9.60469229392828e-07,"Down",11829,"Aqp4",-1.53297366841416,0.00205461562919816,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",11829,"Aqp4","Persistent_down","Aqp4",21.5389384165517
"G10090_5086",11832,"Aqp7",-1.41654453852117,1.38199579921603e-06,"Down",11832,"Aqp7",-1.01167572002447,9.67992948740047e-05,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",11832,"Aqp7","Persistent_down","Aqp7",12.3612288387939
"G10090_51",11513,"Adcy7",1.8499396935861,3.9864873415333e-09,"Up",11513,"Adcy7",1.35649886675924,2.13848304914485e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",11513,"Adcy7","Persistent_up","Adcy7",23.2296062818234
"G10090_5112",53422,"Ybx2",-1.71658941375783,3.96703267905889e-09,"Down",53422,"Ybx2",-1.18596721379963,3.47364168238153e-06,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",53422,"Ybx2","Persistent_down","Ybx2",20.8964346870254
"G10090_5134",71720,"Osbpl3",1.40497765089854,2.11028961295902e-08,"Up",71720,"Osbpl3",1.26063531156674,7.41130386543595e-06,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",71720,"Osbpl3","Persistent_up","Osbpl3",17.2513198541178
"G10090_5154",78925,"Srd5a1",1.50691873551515,7.56199592907176e-07,"Up",78925,"Srd5a1",1.14215371756488,5.20601667226333e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",78925,"Srd5a1","Persistent_up","Srd5a1",14.1168065416052
"G10090_5160",13385,"Dlg4",1.57987698085171,2.55444520967496e-08,"Up",13385,"Dlg4",1.22642569144243,0.000101870217899419,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",13385,"Dlg4","Persistent_up","Dlg4",16.8913707667273
"G10090_5178",17079,"Cd180",2.22204603666513,3.78537308838998e-08,"Up",17079,"Cd180",1.24906034631793,0.000105471788683449,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",17079,"Cd180","Persistent_up","Cd180",21.4591269057739
"G10090_5184",16846,"Lep",-1.69392865426479,0.000368213147325096,"Down",16846,"Lep",-1.29454052581793,0.000659285299437229,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",16846,"Lep","Persistent_down","Lep",9.93462121006104
"G10090_519",109245,"Lrrc39",-1.63458734002745,7.58563551062561e-06,"Down",109245,"Lrrc39",-1.0320535364796,0.00101367779494698,"Down",TRUE,TRUE,"same_direction","persistent_direction_consistent",109245,"Lrrc39","Persistent_down","Lrrc39",11.4591718674998
"G10090_5196",320712,"Abi3bp",1.75484735969399,6.4631773892018e-06,"Up",320712,"Abi3bp",1.23081012352728,1.89203058694459e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",320712,"Abi3bp","Persistent_up","Abi3bp",14.9200796453089
"G10090_5197",213649,"Arhgef19",2.51349731191606,9.21195464921142e-08,"Up",213649,"Arhgef19",1.54580806755233,8.98465972238347e-05,"Up",TRUE,TRUE,"same_direction","persistent_direction_consistent",213649,"Arhgef19","Persistent_up","Arhgef19",23.9391926803305
