"zip_file","sample_id","module","status","source_filename","parse_ok","parse_note"
"CON5_R2_fastqc.zip","CON5_R2","Per base N content","PASS","CON5_R2.fastq.gz",TRUE,"OK"
"CON5_R2_fastqc.zip","CON5_R2","Per base sequence content","FAIL","CON5_R2.fastq.gz",TRUE,"OK"
"CON5_R2_fastqc.zip","CON5_R2","Per base sequence quality","PASS","CON5_R2.fastq.gz",TRUE,"OK"
"CON5_R2_fastqc.zip","CON5_R2","Per sequence GC content","PASS","CON5_R2.fastq.gz",TRUE,"OK"
"CON5_R2_fastqc.zip","CON5_R2","Per sequence quality scores","PASS","CON5_R2.fastq.gz",TRUE,"OK"
"CON5_R2_fastqc.zip","CON5_R2","Per tile sequence quality","PASS","CON5_R2.fastq.gz",TRUE,"OK"
"CON5_R2_fastqc.zip","CON5_R2","Sequence Duplication Levels","FAIL","CON5_R2.fastq.gz",TRUE,"OK"
"CON5_R2_fastqc.zip","CON5_R2","Sequence Length Distribution","PASS","CON5_R2.fastq.gz",TRUE,"OK"
"CON6_R1_fastqc.zip","CON6_R1","Adapter Content","PASS","CON6_R1.fastq.gz",TRUE,"OK"
"CON6_R1_fastqc.zip","CON6_R1","Basic Statistics","PASS","CON6_R1.fastq.gz",TRUE,"OK"
"CON6_R1_fastqc.zip","CON6_R1","Overrepresented sequences","PASS","CON6_R1.fastq.gz",TRUE,"OK"
"CON6_R1_fastqc.zip","CON6_R1","Per base N content","PASS","CON6_R1.fastq.gz",TRUE,"OK"
"CON6_R1_fastqc.zip","CON6_R1","Per base sequence content","FAIL","CON6_R1.fastq.gz",TRUE,"OK"
"CON6_R1_fastqc.zip","CON6_R1","Per base sequence quality","PASS","CON6_R1.fastq.gz",TRUE,"OK"
"CON6_R1_fastqc.zip","CON6_R1","Per sequence GC content","PASS","CON6_R1.fastq.gz",TRUE,"OK"
"CON6_R1_fastqc.zip","CON6_R1","Per sequence quality scores","PASS","CON6_R1.fastq.gz",TRUE,"OK"
"CON6_R1_fastqc.zip","CON6_R1","Per tile sequence quality","WARN","CON6_R1.fastq.gz",TRUE,"OK"
"CON6_R1_fastqc.zip","CON6_R1","Sequence Duplication Levels","WARN","CON6_R1.fastq.gz",TRUE,"OK"
"CON6_R1_fastqc.zip","CON6_R1","Sequence Length Distribution","PASS","CON6_R1.fastq.gz",TRUE,"OK"
"CON6_R2_fastqc.zip","CON6_R2","Adapter Content","PASS","CON6_R2.fastq.gz",TRUE,"OK"
"CON6_R2_fastqc.zip","CON6_R2","Basic Statistics","PASS","CON6_R2.fastq.gz",TRUE,"OK"
"CON6_R2_fastqc.zip","CON6_R2","Overrepresented sequences","PASS","CON6_R2.fastq.gz",TRUE,"OK"
"CON6_R2_fastqc.zip","CON6_R2","Per base N content","PASS","CON6_R2.fastq.gz",TRUE,"OK"
"CON6_R2_fastqc.zip","CON6_R2","Per base sequence content","FAIL","CON6_R2.fastq.gz",TRUE,"OK"
"CON6_R2_fastqc.zip","CON6_R2","Per base sequence quality","PASS","CON6_R2.fastq.gz",TRUE,"OK"
"CON6_R2_fastqc.zip","CON6_R2","Per sequence GC content","PASS","CON6_R2.fastq.gz",TRUE,"OK"
"CON6_R2_fastqc.zip","CON6_R2","Per sequence quality scores","PASS","CON6_R2.fastq.gz",TRUE,"OK"
"CON6_R2_fastqc.zip","CON6_R2","Per tile sequence quality","FAIL","CON6_R2.fastq.gz",TRUE,"OK"
"CON6_R2_fastqc.zip","CON6_R2","Sequence Duplication Levels","WARN","CON6_R2.fastq.gz",TRUE,"OK"
"CON6_R2_fastqc.zip","CON6_R2","Sequence Length Distribution","PASS","CON6_R2.fastq.gz",TRUE,"OK"
"INJL1_R1_fastqc.zip","INJL1_R1","Adapter Content","PASS","INJL1_R1.fastq.gz",TRUE,"OK"
"INJL1_R1_fastqc.zip","INJL1_R1","Basic Statistics","PASS","INJL1_R1.fastq.gz",TRUE,"OK"
"INJL1_R1_fastqc.zip","INJL1_R1","Overrepresented sequences","PASS","INJL1_R1.fastq.gz",TRUE,"OK"
"INJL1_R1_fastqc.zip","INJL1_R1","Per base N content","PASS","INJL1_R1.fastq.gz",TRUE,"OK"
"INJL1_R1_fastqc.zip","INJL1_R1","Per base sequence content","FAIL","INJL1_R1.fastq.gz",TRUE,"OK"
"INJL1_R1_fastqc.zip","INJL1_R1","Per base sequence quality","PASS","INJL1_R1.fastq.gz",TRUE,"OK"
"INJL1_R1_fastqc.zip","INJL1_R1","Per sequence GC content","PASS","INJL1_R1.fastq.gz",TRUE,"OK"
"INJL1_R1_fastqc.zip","INJL1_R1","Per sequence quality scores","PASS","INJL1_R1.fastq.gz",TRUE,"OK"
"INJL1_R1_fastqc.zip","INJL1_R1","Per tile sequence quality","PASS","INJL1_R1.fastq.gz",TRUE,"OK"
"INJL1_R1_fastqc.zip","INJL1_R1","Sequence Duplication Levels","FAIL","INJL1_R1.fastq.gz",TRUE,"OK"
"INJL1_R1_fastqc.zip","INJL1_R1","Sequence Length Distribution","PASS","INJL1_R1.fastq.gz",TRUE,"OK"
"INJL1_R2_fastqc.zip","INJL1_R2","Adapter Content","PASS","INJL1_R2.fastq.gz",TRUE,"OK"
"INJL1_R2_fastqc.zip","INJL1_R2","Basic Statistics","PASS","INJL1_R2.fastq.gz",TRUE,"OK"
"INJL1_R2_fastqc.zip","INJL1_R2","Overrepresented sequences","PASS","INJL1_R2.fastq.gz",TRUE,"OK"
"INJL1_R2_fastqc.zip","INJL1_R2","Per base N content","PASS","INJL1_R2.fastq.gz",TRUE,"OK"
"INJL1_R2_fastqc.zip","INJL1_R2","Per base sequence content","FAIL","INJL1_R2.fastq.gz",TRUE,"OK"
"INJL1_R2_fastqc.zip","INJL1_R2","Per base sequence quality","PASS","INJL1_R2.fastq.gz",TRUE,"OK"
"INJL1_R2_fastqc.zip","INJL1_R2","Per sequence GC content","PASS","INJL1_R2.fastq.gz",TRUE,"OK"
