"pathway","pval","padj","log2err","ES","NES","size","leadingEdge","timepoint"
"HALLMARK_COMPLEMENT",1.71815090073139e-06,5.3692215647856e-06,0.643551836150722,0.409136983258002,1.93841396713547,163,"Mmp14;Timp1;Lgmn;Tfpi2;F7;Casp3;Prcp;Dusp6;Lyn;Lcp2;Src;Lipa;Ctss;Cda;Was;Fcer1g;Gnai2;Ccl5;Plek;Dgkh;Dock10;Plat;Cdk5r1;Pik3r5;Rhog;Ctsh;Timp2;Pik3cg;Fn1;Col4a2;Xpnpep1;Pla2g4a;Lamp2;Ctsb;Gnb4;Csrp1;Lgals3;C1s1;Fyn;Gng2;C1qa;Prkcd;Mmp12;Ctsc;Mmp13;Ppp4c;Kcnip3;C1qc;Serpine1;Lrp1;Plscr1;Gnai3;Sirt6;Zfpm2;Dusp5;Plaur;Gnb2;Anxa5;Itgam","1W"
"HALLMARK_DNA_REPAIR",0.0726532674737879,0.0981800911807944,0.287805130535564,-0.254666207767251,-1.26272149405653,147,"Surf1;Xpc;Mpc2;Zwint;Ak3;Snapc5;Rfc4;Tarbp2;Polr2i;Poll;Eloa;Taf12;Polr2e;Nt5c3;Polr3gl;Sac3d1;Polr2c;Rbx1;Rrm2b;Mrpl40;Ak1;Vps28;Nudt9;Taf6;Polr2f;Nelfcd;Guk1;Polr2g;Adrm1;Polb;Gtf2h3;Rpa2;Polr2k;Ercc8;Polr3c;Cox17;Taf13;Nme3;Upf3b;Polr2j;Gtf2h5;Dguok;Pole4;Rnmt;Itpa;Supt4a;Pde4b;Bcam","1W"
"HALLMARK_E2F_TARGETS",2.07162203548181e-10,1.29476377217613e-09,0.826657301178302,0.451982337818867,2.17575950441104,199,"Cdk4;Racgap1;Melk;Spc25;Tacc3;Mxd3;Cdc20;Bub1b;Kif2c;Trip13;Smc4;Top2a;Diaph3;Tcf19;Stmn1;Ccnb2;Aurkb;Kif4;Hmmr;Cdk1;Dlgap5;Tubb5;Cks2;Cenpe;Chek1;Espl1;Mad2l1;Mki67;Cdca3;Cenpm;Plk1;Cit;Brca1;Hells;Rad51ap1;Cdkn3;Atad2;Mcm6;Depdc1a;Kif18b;Kif22;Cdca8;Birc5;Lig1;Mcm3;Plk4;Rrm2;E2f8;Bard1;Mms22l;Mcm5;Trp53;Tk1;Prdx4;Asf1b;Prim2;Dnmt1;Chek2;Dck;Dscc1;Pole;Donson;Spag5;Lmnb1;Mcm4;Kpna2;Mybl2;Myc;Gins3;Hmgb2;Wdr90","1W"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION",4.70510642406186e-33,7.8418440401031e-32,1.49547932629977,0.652891821997244,3.1277639872161,187,"Cthrc1;Eln;Mest;Mmp14;Basp1;Cdh11;Sfrp1;Timp1;Efemp2;Postn;Col3a1;Adam12;Col5a1;Lrrc15;Fbn2;Sdc1;Col5a2;P3h1;Lox;Tfpi2;Mmp2;Gpx7;Pmepa1;Igfbp4;Colgalt1;Col6a3;Lum;Bgn;Gja1;Col6a2;Matn2;Loxl1;Col16a1;Fstl1;Bmp1;Itga5;Itgb1;Mgp;Plod1;Serpinh1;Tpm4;Vcan;Col1a1;Glipr1;Vcam1;Tgfb1;Mfap5;Qsox1;Crlf1;Gem;Cald1;Calu;Ppib;Fap;Anpep;Dab2;Htra1;Fbn1;Col5a3;Nid2;Cd44;Plod2;Fbln2;Snai2;Sparc;Col1a2;Eno2;Pdgfrb;Mmp3;Thbs1;Col11a1;Tnc;Thbs2;Col12a1;Dpysl3;Spp1;Col4a1;Pcolce;Gas1;Igfbp2;Ptx3;Flna;Fzd8;Edil3;Fn1;Loxl2;Cdh2;Col4a2;Lamc1;Itgb5;Plod3;Vim;Magee1;Prrx1;Wipf1;Id2;Fbln5;Col8a2;Abi3bp;Thy1;Lgals1;Notch2;Fuca1;Cxcl12;Serpine1;Itgb3;Lrp1;Fstl3;Aplp1;Nt5e;Sat1;Pdlim4;Capg;Plaur;Foxc2","1W"
"HALLMARK_ESTROGEN_RESPONSE_EARLY",0.0575757575757576,0.07996632996633,0.231126709673834,0.275004536018029,1.30439694611748,165,"Ccn5;B4galt1;Ugcg;Slc39a6;Tubb2b;Igfbp4;Tsku;Gja1;Zfp185;Muc1;Rab31;Slc1a4;Farp1;Rhod;Gfra1;Rbbp8;Pmaip1;Myof;Cd44;Prss23;Tpbg;Tmem164;Fhl2;Rapgefl1;Olfml3;Mybl1;Frk;Gla;Isg20l2;Endod1;Nbl1;Ret;Kazn;Olfm1;Ccnd1;Elf1;Foxc1;Cxcl12;Myc;Rara;Elovl5;Celsr1;Sec14l2;Abhd2;Slc7a5;Anxa9;Aldh3b1","1W"
"HALLMARK_ESTROGEN_RESPONSE_LATE",0.0127302333028235,0.0227325594693277,0.380730400722792,0.301672765976815,1.42983830638528,164,"Mest;Ccn5;Tfpi2;Igfbp4;Mdk;Kif20a;Rab31;Cdc20;Top2a;Slc1a4;Farp1;Rbbp8;Ptpn6;Myof;Dlg5;Cd44;Prss23;Tpbg;Stil;Rapgefl1;Frk;Plk4;Gla;Slc29a1;Dnajc1;Scube2;Gins2;Ass1;Cxcl14;Nbl1;Serpina3n;Ret;Olfm1;Gper1;Id2;Nab2;Lsr;Cdc6;Ccnd1;Btg3;Foxc1;Cxcl12;Elovl5;Abhd2;Slc7a5;Anxa9;Aldh3b1;Zfp36;Emp2;Ckb;Fos;Egr3;Car12;Batf;St14;Cd9;Flnb;Sema3b;Ugdh;Scnn1a","1W"
"HALLMARK_FATTY_ACID_METABOLISM",2.87229862623386e-28,3.59037328279233e-27,1.38026491759359,-0.652533086924521,-3.24726264105262,145,"Retsat;Hadh;Echs1;Cpt2;Acsl1;Acadm;Hibch;Acss1;Hsdl2;Ech1;Ehhadh;Acox1;Auh;Alad;Inmt;Adipor2;Acaa2;Eci1;Acads;Mdh1;Gcdh;Prdx6;Decr1;Bckdhb;Suclg2;Etfdh;Acadvl;Hadhb;Hmgcl;Idh3g;Adh1;Dlst;Eci2;Ppara;Fh1;Sdha;Sdhd;Gstz1;Pdhb;Hsd17b10;Adsl;Acot2;Kmt5a;Dld;Idh3b;Car4;Hsd17b4;Cpox;Crat;Mdh2;Mlycd;Pdha1;Suclg1;Bphl;Cidea;Cd36;Urod;Sdhc;D2hgdh;Mcee;Acadl;Gpd1;Aco2;Hccs;Aqp7;Reep6;Grhpr;Nbn;Sucla2;Glul;Ldha;Acsm3;G0s2;Eno3;Cbr1;Mgll","1W"
"HALLMARK_G2M_CHECKPOINT",3.99100275202986e-16,3.99100275202986e-15,1.03769615548758,0.515723046801238,2.48015588258729,198,"Cdk4;Marcks;Racgap1;Prc1;Hif1a;Bcl3;Pbk;Tacc3;Nek2;Ccna2;Dbf4;Cdc20;Kif2c;Smc4;Top2a;Tgfb1;Troap;Stmn1;Ccnb2;Aurkb;Ttk;Kif11;Exo1;Kif15;Kif4;Bub1;Cenpf;E2f1;Hmmr;Cdk1;Incenp;Cks2;Uck2;Cenpe;Nsd2;Chek1;Mt2;Espl1;Mad2l1;Mki67;Plk1;Cdkn3;Cenpa;Mcm6;Nusap1;Kif22;Kif20b;Stil;Kif23;Birc5;Smc2;Cdc7;Mcm3;Plk4;Bard1;Knl1;Odf2;Rasal2;Hmgn2;Rad54l;Ube2c;Mcm5;Slc38a1;Gins2;Ndc80;Chaf1a;Prim2;Tpx2;Pole;Lmnb1;Kpna2;Mybl2;Cdc6;Ccnd1;Ccnf;Ss18;Notch2;Sfpq;Tle3;Myc;Traip;Fbxo5","1W"
"HALLMARK_GLYCOLYSIS",0.0244372877045877,0.035726436657121,0.352487857583619,0.280618530138575,1.340972587226,188,"B4galt2;Kdelr3;Col5a1;Sdc1;B4galt1;Ext1;Il13ra1;Chpf;Pdk3;Kif20a;Plod1;Ppfia4;Vcan;Stmn1;Qsox1;Galk2;Hmmr;Cdk1;Tpst1;Gusb;Egfr;Chpf2;Gmppb;Gnpda1;Pgm2;Cd44;Plod2;Eno2;Cenpa;Depdc1a;Tpbg;Galk1;Sdc3;Hs2st1;B4galt7;Srd5a3;Adora2b;Pgam1;Casp6;B4galt4;Cxcr4;Xylt2;Chst5;Artn;Dpysl4;B3galt6;Mertk;Nt5e;Sdc2;Agrn;Me2;Copb2;Capn5;P4ha2;B3gnt3;Ndst3","1W"
"HALLMARK_HEDGEHOG_SIGNALING",0.387978142076503,0.432950191570881,0.0878312634480124,0.295618065307226,1.03536295270609,31,"Cdk6;Nrp2;Cdk5r1;Thy1;Dpysl2;Myh9;Tle3;Celsr1;Pml","1W"
