"gene_id","logFC","logCPM","F","PValue","FDR","gene_name","contrast","target_group","reference_group","significant_FDR05","strict_sig","direction"
"ENSSSCG00000032715",0.345091141784604,4.28179585376621,7.01928053695914,0.0192672608424339,0.0464897787895501,"CERS6","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015923",0.332096815741096,3.66275663225773,3.95778053675895,0.066903425205247,0.125254948485609,"NOSTRIN","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000015924",0.515891192158337,2.99430174592995,8.94308221723384,0.00988594206401142,0.0272808357864186,"SPC25","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000027516",0.122165809304309,5.73157689230157,1.34405272781197,0.266033934913554,0.373022947792868,"CIR1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000023297",-0.116476111205296,3.45210477980271,1.18468169249112,0.295094643939679,0.402877847547132,"SCRN3","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015965",0.51361967532168,3.15193809455514,7.05028650674786,0.0190512551352601,0.0460638360220882,"GPR155","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000027348",0.52217947641612,6.60596019005536,6.05168425688545,0.027762326083563,0.0623261327276013,"ENSSSCG00000027348","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000022345",1.57624480519211,3.75146098564641,30.951146687497,7.4350512664634e-05,0.00073313794248606,"CHN1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,TRUE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000038076",-0.302573990465536,4.93488198624473,6.26983492398608,0.0255174634785328,0.0583339630410475,"ATF2","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015973",-0.101995635422309,6.92636460512182,0.74846482902949,0.401787093395045,0.511116175064207,"ATP5MC3","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015976",-0.409530865962919,4.93511653998722,5.01036922103491,0.0422619602984897,0.0866446943330916,"LNPK","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015930",-0.984288569989418,2.74226435206331,6.01552304265815,0.0281610594640232,0.063019203230822,"DHRS9","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000040746",-1.23605013881661,2.71062032171135,25.4501924298217,0.000188627418504406,0.00140040355986145,"LRP2","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,TRUE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015931",-0.00240955330367824,2.73155642903426,0.000332555467264681,0.985712218816656,0.990025284260154,"BBS5","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t28"
"ENSSSCG00000015933",0.366315203297404,3.62928582717264,7.03137395554838,0.0191826896939705,0.0463416185464069,"FASTKD1","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t28"
"ENSSSCG00000031123",0.30016477362913,5.79832210183347,6.71085567915082,0.0215942401493474,0.0509714346883281,"PPIG","ACLT_untreated_t28_vs_CON_t0","ACLT_untreated_t28","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t28"
