"gene_id","logFC","logCPM","F","PValue","FDR","gene_name","contrast","target_group","reference_group","significant_FDR05","strict_sig","direction"
"ENSSSCG00000015001",0.584364351424203,3.99078284056791,10.6141134992356,0.00577380293192145,0.0181089768907091,"SLC35F2","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000029198",-0.396235546009691,4.45529483879571,9.57402217503505,0.00798629950374332,0.0232481437910928,"CUL5","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000026153",-0.726102515122332,6.05074791709368,51.3715415751675,5.02203471575774e-06,9.4174730051884e-05,"ACAT1","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000026959",0.109355494451966,3.1598225847834,0.644626852489007,0.435566231825138,0.544086424142862,"NPAT","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015009",-0.393321069399432,5.91238165800071,6.57350496729748,0.0226115146638488,0.0530022543166271,"POGLUT3","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000015011",0.0254564426371652,3.94411866674747,0.0548234009418568,0.818289424472741,0.869676924919393,"ENSSSCG00000015011","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015083",-0.461504221572622,7.84243623003327,7.20259909268778,0.0179109778446826,0.0440516584868441,"ENSSSCG00000015083","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",TRUE,FALSE,"Down_in_ACLT_untreated_t7"
"ENSSSCG00000015085",0.185033279938836,6.81629915509767,0.499943421079251,0.491217964458311,0.596036256448008,"IL10RA","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000029199",0.21222499303831,0.235719458225487,0.409844415507147,0.532581890125534,0.631476011509224,"ENSSSCG00000029199","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000021651",0.519856038825907,3.05010967773409,2.81744788751228,0.115594854140702,0.192046405857898,"SCN2B","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015089",0.457554768060853,4.14613139322127,4.08851484048656,0.062875499020755,0.118175386662042,"JAML","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Up_in_ACLT_untreated_t7"
"ENSSSCG00000015090",-0.182706001873199,0.958430272373862,0.422201276710131,0.526472321544807,0.625848204505741,"MPZL3","ACLT_untreated_t7_vs_CON_t0","ACLT_untreated_t7","CON_t0",FALSE,FALSE,"Down_in_ACLT_untreated_t7"
