"","GSM7140486_CON1_synovium","GSM7140491_CON2_synovium","GSM7140495_CON3_synovium","GSM7140500_CON4_synovium","GSM7140502_CON5_synovium","GSM7140507_CON6_synovium","GSM7140511_CON7_synovium","GSM7140516_CON8_synovium","GSM7140518_CON9_synovium","GSM7140523_CON10_synovium","GSM7140527_CON11_synovium","GSM7140532_CON12_synovium","GSM7140487_ACLT1_synovium","GSM7140488_ACLT2_synovium","GSM7140489_ACLT3_synovium","GSM7140490_ACLT4_synovium","GSM7140492_ACLT5_synovium","GSM7140493_ACLT6_synovium","GSM7140494_ACLT7_synovium","GSM7140496_ACLT8_synovium","GSM7140497_ACLT9_synovium","GSM7140498_ACLT10_synovium","GSM7140499_ACLT11_synovium","GSM7140501_ACLT12_synovium"
"HTRA1",-1.2490405884634,-0.399653723775619,-0.986270078381129,-0.811279286600409,-0.142309335001945,-1.27000546589154,-1.15408397041941,-1.56119875120029,-0.434762993013456,-0.716471711033152,1.80269878508931,-1.26910125372334,1.09764318328071,0.31770221967946,1.09063114161294,0.970308610744005,0.734132186301664,0.790992067579576,1.12571202284814,0.2757074573936,0.20800586976162,-0.539508263299263,1.34089125395891,0.779260622552993
"KIF20A",-0.208454418455881,-1.64164250188775,-0.519339913628776,-0.755394301720171,0.387884207590872,-0.11065878144948,0.412608041821453,-1.15995609223526,0.432654661215683,1.44759512799915,1.09315543909852,-0.00575871224275162,0.762314838046277,0.421572503994502,-1.37286564507772,1.98341461469677,0.795148159713196,1.1764761973485,-1.09808517453598,-0.349252415211681,0.449987389042175,0.560404873983022,-1.6483461422127,-1.05346195589197
"KIF2C",0.20794283265861,-0.0835256245294461,1.68820912598343,-2,0.629085456159334,-1.10389837347403,0.55621839824228,-0.791773769706666,-0.412378177031344,0.096277414621147,-0.0311332059671427,-0.637557370893005,0.2856465493437,-0.269187748915048,-1.51936938222232,1.62360147767999,-0.551688821667658,1.90167587972166,0.883360090423286,-0.187388286122259,-0.566717537165065,0.222579143000782,-0.958211371597439,1.14568780371787
"KIFC1",-0.0987393668179898,-1.74300494182977,0.630733846912569,0.669319120558335,-1.52067992999308,-0.649498657541974,-0.572893654708714,-0.449955597853256,0.441313610784025,0.633229536867349,0.106768921658781,-0.0215964988797224,-0.436490862311153,-0.751510348431148,-1.42640998889743,1.91829249537448,1.05860257284966,1.5759689142792,0.454900755849791,0.461808349588509,-0.829441199936565,0.346246187010939,-1.29687548823288,1.49991222370004
"LOXL2",-0.6622411956259,-0.205676565153017,-0.794254220838103,-0.976587481064691,0.262922060703494,-0.371573411694312,-1.32893961492086,-0.921066758347822,-0.584009132125609,-1.80193435297779,1.27074899103459,-1.99977680437846,0.822681891034052,0.807086792706505,1.28424613034757,0.180414395251392,0.726181891051519,0.872914116913014,1.6714226743458,0.694522163725883,0.32731173139466,-0.311039965968337,1.06349496282562,-0.0268482982391989
"NEK2",-0.135807563895952,0.320534230327002,-0.169496681463993,-0.309338093848559,0.0580465603462989,0.669816557571199,-2,0.628007786962721,0.193214922776663,0.905514328196648,-0.680452996875759,-1.41465828715597,0.410123861168677,-0.342093541240356,-0.100487016844126,0.841109003986433,-0.716180123581279,0.692096824852872,-1.13947871444749,-0.266254117747873,0.0204209895814917,0.950269792269052,-0.0192415911709684,2
"RACGAP1",-1.68268274247894,-1.0610314714765,0.935147800177803,-0.877803966946462,-0.094398497517013,-0.493392094148887,0.217772097617273,-1.26270062255945,-0.0529084692314183,0.349405300142503,0.0117613470759691,-1.09941789125258,0.808679668222333,0.636946339570337,-0.627518727365752,2,0.899490498732885,1.89402389337463,-0.539011490357517,0.705957270834558,-0.414093284803244,-0.894407445819179,0.14685216276353,-0.062859665037453
"RUNX1",-0.629065728453457,-0.76596518853995,-0.646838707284915,-1.81304455505646,-0.0515446819227361,-0.851704452536897,-0.368473152168402,-0.833340842947293,-1.19391004166687,0.226955966037475,2,-1.0638797622558,0.246800174270507,0.149498973846458,0.769924037479278,1.4047249116813,1.26739963204994,0.982875917165461,-0.35666424022168,0.726032204433368,0.418471688827295,0.455953429671753,-1.42004583746625,1.30403973473697
"SDC1",-0.280602455242,0.0896645041921891,-0.512373713098136,-0.560983404640557,-1.26544307639591,-1.27129948720325,-0.85416811175018,-1.4971198106981,-0.875903725319776,-1.5491506257982,0.883764663183402,-1.74553282253179,1.36808034973858,1.03291144270469,0.638743658417789,0.0060267930855884,0.781750066020584,0.644592467309268,1.27253309262935,0.80686742600674,0.692877569691708,0.251478778296824,1.16834641751881,0.774940003882385
"SERPINE1",-0.877627173688226,-0.24228487624766,0.534591785539051,-1.43537099779633,0.621967789408701,-1.27968619373218,-1.08757360830421,-1.5472887536044,0.199018484066153,-1.47486127367359,0.873062601487821,-0.478665299382382,0.446056820040324,-0.544898214948437,1.53974876988683,0.713084829369616,-0.461941083784657,1.05254459209962,-0.910173160081842,0.0939111916946105,1.54767069485859,1.28264482142896,0.264069173676921,1.1719990816867
